domain,split_regime,n_rows,mean_auc_directed_signed,mean_auc_distance_only,mean_delta_auc_directed_minus_distance,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,12,0.520536148766548,0.5200188670399745,0.0005172817265735411,0.5833333333333334,0.0,2.855735126043491e-05
external_lung,target_disjoint,12,0.5171134266487423,0.5015241370850346,0.015589289563707675,0.9166666666666666,0.0,4.5106320122082466e-05
immune,source_disjoint,12,0.5571467210463664,0.5401053540816646,0.01704136696470181,1.0,0.0,4.378037469849439e-06
immune,target_disjoint,12,0.5512161729633321,0.5253095361071091,0.02590663685622292,1.0,0.0,4.378037469849439e-06
lung,source_disjoint,12,0.5147063235073474,0.5182961097328822,-0.0035897862255348245,0.3333333333333333,0.0,0.016323817141292055
lung,target_disjoint,12,0.536974983657766,0.5047833787164395,0.03219160494132634,1.0,0.0,7.04343789868199e-06
