domain,split_regime,n_rows,mean_auc_path_homology,mean_auc_distance_only,mean_delta_auc_path_minus_distance,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,0.5091421736158579,0.5200406318827372,-0.010898458266879352,0.0,0.0,0.09983306730838008
external_lung,target_disjoint,2,0.5103688009794412,0.5104801011241314,-0.00011130014469024063,0.5,0.0,0.09983306730838008
immune,source_disjoint,2,0.5335606706450697,0.5288332724394106,0.004727398205659095,1.0,0.0,0.09983306730838008
immune,target_disjoint,2,0.5076171501772913,0.5079887184786225,-0.00037156830133122654,0.5,0.0,0.09983306730838008
lung,source_disjoint,2,0.5340966666666667,0.5207666666666666,0.013330000000000009,1.0,0.0,0.09983306730838008
lung,target_disjoint,2,0.5150756633499171,0.5052005597014926,0.009875103648424477,1.0,0.0,0.09983306730838008
