domain,split_regime,n_rows,mean_interaction_coef,fraction_interaction_positive,fraction_p_interaction_lt_0_05,combined_fisher_p_interaction,mean_auc_delta_full_minus_base,mean_top_bottom_uplift_gap,fraction_top_bottom_uplift_positive
external_lung,source_disjoint,4,0.26722923991398734,1.0,1.0,2.5048645952094885e-05,-9.90279327064969e-05,,0.0
external_lung,target_disjoint,4,0.16997011108143095,1.0,1.0,2.5048645952094885e-05,-0.00019447937225441914,0.006187331865981915,0.75
immune,source_disjoint,4,0.44358898929298163,1.0,0.5,0.002125987237775171,-0.00011068004147590793,0.2568190263842438,1.0
immune,target_disjoint,4,0.11107754299951661,0.75,0.0,0.8830065015787767,8.446698061317925e-05,0.08557629420938768,0.75
lung,source_disjoint,4,0.3180671577139291,1.0,0.5,0.00103922642341975,0.00019039988922189832,,0.0
lung,target_disjoint,4,0.08524963651979392,1.0,0.0,0.5483739391451975,1.9004490489638037e-05,,0.0
