domain,seed_tag,split_regime,layer,perm_idx,null_interaction_coef_mean
external_lung,seed42_main,source_disjoint,0,0,0.12875513648080247
external_lung,seed42_main,source_disjoint,0,1,0.10513140753692847
external_lung,seed42_main,source_disjoint,0,2,-0.18332949777165106
external_lung,seed42_main,source_disjoint,0,3,0.103289197392832
external_lung,seed42_main,source_disjoint,0,4,0.19990579885306278
external_lung,seed42_main,source_disjoint,0,5,-0.10394705449971019
external_lung,seed42_main,source_disjoint,0,6,0.22923964796847118
external_lung,seed42_main,source_disjoint,0,7,0.08283222813796759
external_lung,seed42_main,source_disjoint,0,8,-0.012588018209971361
external_lung,seed42_main,source_disjoint,0,9,0.22036157612826546
external_lung,seed42_main,source_disjoint,0,10,-0.04464960350894669
external_lung,seed42_main,source_disjoint,0,11,0.19817856321306962
external_lung,seed42_main,source_disjoint,0,12,-0.3729560810682295
external_lung,seed42_main,source_disjoint,0,13,0.20710233702551725
external_lung,seed42_main,source_disjoint,0,14,0.08178175926797193
external_lung,seed42_main,source_disjoint,0,15,-0.2111321040340699
external_lung,seed42_main,source_disjoint,0,16,0.028601057626650838
external_lung,seed42_main,source_disjoint,0,17,0.2761441189334845
external_lung,seed42_main,source_disjoint,0,18,0.016623326140023043
external_lung,seed42_main,source_disjoint,0,19,0.21596107191035532
external_lung,seed42_main,source_disjoint,0,20,-0.12293154731135124
external_lung,seed42_main,source_disjoint,0,21,0.18415272747434366
external_lung,seed42_main,source_disjoint,0,22,0.031475636611033975
external_lung,seed42_main,source_disjoint,0,23,0.12134948429666957
external_lung,seed42_main,source_disjoint,0,24,0.2229606193341842
external_lung,seed42_main,source_disjoint,0,25,0.2824645542575458
external_lung,seed42_main,source_disjoint,0,26,0.20744297723636915
external_lung,seed42_main,source_disjoint,0,27,0.2374747148614368
external_lung,seed42_main,source_disjoint,0,28,-0.217829837874339
external_lung,seed42_main,source_disjoint,0,29,-0.07768734043751042
external_lung,seed42_main,source_disjoint,0,30,0.12035536766700683
external_lung,seed42_main,source_disjoint,0,31,-0.012280191233229447
external_lung,seed42_main,source_disjoint,0,32,-0.17668042901845585
external_lung,seed42_main,source_disjoint,0,33,0.10738887187647801
external_lung,seed42_main,source_disjoint,0,34,-0.056723355192444196
external_lung,seed42_main,source_disjoint,0,35,-0.04820945983774153
external_lung,seed42_main,source_disjoint,0,36,0.0375874480566469
external_lung,seed42_main,source_disjoint,0,37,-0.13512044595697856
external_lung,seed42_main,source_disjoint,0,38,-0.0590968765024009
external_lung,seed42_main,source_disjoint,0,39,0.012449498008045392
external_lung,seed42_main,source_disjoint,0,40,-0.16896092145191047
external_lung,seed42_main,source_disjoint,0,41,-0.003976891754111718
external_lung,seed42_main,source_disjoint,0,42,0.02990317712865213
external_lung,seed42_main,source_disjoint,0,43,0.2096012139683607
external_lung,seed42_main,source_disjoint,0,44,0.03158935746888153
external_lung,seed42_main,source_disjoint,0,45,-0.22165367035084416
external_lung,seed42_main,source_disjoint,0,46,-0.025808766127033107
external_lung,seed42_main,source_disjoint,0,47,-0.08239918554268061
external_lung,seed42_main,source_disjoint,0,48,0.3316993048523424
external_lung,seed42_main,source_disjoint,0,49,0.15502016098516475
external_lung,seed42_main,source_disjoint,0,50,0.008047091686276327
external_lung,seed42_main,source_disjoint,0,51,-0.07935045679987579
external_lung,seed42_main,source_disjoint,0,52,-0.23361391836272208
external_lung,seed42_main,source_disjoint,0,53,-0.13640851915274102
external_lung,seed42_main,source_disjoint,0,54,-0.23428614770457848
external_lung,seed42_main,source_disjoint,0,55,0.07193591382785879
external_lung,seed42_main,source_disjoint,0,56,0.1300635539764183
external_lung,seed42_main,source_disjoint,0,57,0.07539778031470012
external_lung,seed42_main,source_disjoint,0,58,0.23602653079265
external_lung,seed42_main,source_disjoint,0,59,0.19102517218802237
external_lung,seed42_main,source_disjoint,0,60,-0.1211889301501467
external_lung,seed42_main,source_disjoint,0,61,0.01816369260256302
external_lung,seed42_main,source_disjoint,0,62,-0.12330315917222774
external_lung,seed42_main,source_disjoint,0,63,-0.13710503466818694
external_lung,seed42_main,source_disjoint,0,64,0.2686747432285206
external_lung,seed42_main,source_disjoint,0,65,0.0869398885169913
external_lung,seed42_main,source_disjoint,0,66,0.06417379693010096
external_lung,seed42_main,source_disjoint,0,67,-0.23757029801761742
external_lung,seed42_main,source_disjoint,0,68,-0.009949698710404816
external_lung,seed42_main,source_disjoint,0,69,0.10817240169535652
external_lung,seed42_main,source_disjoint,0,70,-0.23635813251696067
external_lung,seed42_main,source_disjoint,0,71,0.013089129586786596
external_lung,seed42_main,source_disjoint,0,72,0.031183175766110276
external_lung,seed42_main,source_disjoint,0,73,0.3403950542816973
external_lung,seed42_main,source_disjoint,0,74,0.029654188672432153
external_lung,seed42_main,source_disjoint,0,75,-0.1897227881417536
external_lung,seed42_main,source_disjoint,0,76,-0.12269211022741484
external_lung,seed42_main,source_disjoint,0,77,0.14598218986954223
external_lung,seed42_main,source_disjoint,0,78,-0.029300850233720106
external_lung,seed42_main,source_disjoint,0,79,-0.0744151506371465
external_lung,seed42_main,source_disjoint,3,0,-0.1563794318997949
external_lung,seed42_main,source_disjoint,3,1,-0.04495833111714289
external_lung,seed42_main,source_disjoint,3,2,-0.1705105490730382
external_lung,seed42_main,source_disjoint,3,3,-0.0916154276893456
external_lung,seed42_main,source_disjoint,3,4,-0.24476175822963087
external_lung,seed42_main,source_disjoint,3,5,-0.04573142951564369
external_lung,seed42_main,source_disjoint,3,6,-0.1758676887743087
external_lung,seed42_main,source_disjoint,3,7,-0.11520285194429443
external_lung,seed42_main,source_disjoint,3,8,-0.22109462263995203
external_lung,seed42_main,source_disjoint,3,9,-0.07052953693556012
external_lung,seed42_main,source_disjoint,3,10,-0.0725947334306063
external_lung,seed42_main,source_disjoint,3,11,-0.10136606038955799
external_lung,seed42_main,source_disjoint,3,12,-0.1205269777821308
external_lung,seed42_main,source_disjoint,3,13,-0.14871260033872014
external_lung,seed42_main,source_disjoint,3,14,-0.11849375948434697
external_lung,seed42_main,source_disjoint,3,15,-0.026546054586176093
external_lung,seed42_main,source_disjoint,3,16,-0.20069202377864828
