domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,knn_k,used_component_bridging,coexp_missing_fraction,ontology_missing_fraction,n_ontology_classes_used,mean_support_score,mean_dorothea_norm,mean_string_score,mean_go_jaccard,mean_omnipath_support,mean_ontology_similarity_edge,mean_trrust_support_bookkeeping,auc_base,auc_full,auc_delta_full_minus_base,interaction_coef_mean,p_interaction_upper,delta_auc_low_support_decile,delta_auc_high_support_decile,top_bottom_uplift_gap
external_lung,seed42_main,source_disjoint,0,948,403,220,24,True,0.0,0.0,16,0.2661256183903402,0.23074894514767932,0.35570991561181436,0.11631104861242704,0.04008438818565401,0.6291731162144129,0.42510548523206754,0.9440298677351058,0.9436838390966832,-0.0003460286384225908,0.4620806087237779,0.012345679012345678,,-0.05319148936170215,
external_lung,seed42_main,source_disjoint,3,948,403,220,24,True,0.0,0.0,16,0.2661256183903402,0.23074894514767932,0.35570991561181436,0.11631104861242704,0.04008438818565401,0.6291731162144129,0.42510548523206754,0.943802217315091,0.9437703462562889,-3.187105880209096e-05,0.19031139457583032,0.012345679012345678,,-0.4255319148936171,
external_lung,seed42_main,source_disjoint,7,948,403,220,24,True,0.0,0.0,16,0.2661256183903402,0.23074894514767932,0.35570991561181436,0.11631104861242704,0.04008438818565401,0.6291731162144129,0.42510548523206754,0.9435244838026726,0.9435973319370775,7.284813440489035e-05,0.17360019305659644,0.012345679012345678,,-0.43617021276595747,
external_lung,seed42_main,source_disjoint,11,948,403,220,24,True,0.0,0.0,16,0.2661256183903402,0.23074894514767932,0.35570991561181436,0.11631104861242704,0.04008438818565401,0.6291731162144129,0.42510548523206754,0.9437794522730896,0.9436883921050834,-9.106016800619621e-05,0.24292476329974458,0.012345679012345678,,-0.37234042553191493,
external_lung,seed42_main,target_disjoint,0,1460,904,220,24,True,0.0,0.0,16,0.30277300974811283,0.3493150684931507,0.3913082191780822,0.08528790507308297,0.05136986301369863,0.583914561307565,0.6191780821917808,0.9524992837588337,0.9523440981727891,-0.00015518558604465937,0.17512313557698148,0.012345679012345678,-0.004255319148936176,0.006896551724137945,0.011151870873074121
external_lung,seed42_main,target_disjoint,3,1460,904,220,24,True,0.0,0.0,16,0.30277300974811283,0.3493150684931507,0.3913082191780822,0.08528790507308297,0.05136986301369863,0.583914561307565,0.6191780821917808,0.9523381294964028,0.9521152989113134,-0.00022283058508942855,0.18195564742836,0.012345679012345678,0.0014184397163120588,0.006896551724137945,0.005478112007825886
external_lung,seed42_main,target_disjoint,7,1460,904,220,24,True,0.0,0.0,16,0.30277300974811283,0.3493150684931507,0.3913082191780822,0.08528790507308297,0.05136986301369863,0.583914561307565,0.6191780821917808,0.9520973928821543,0.9519879671484052,-0.00010942573374916886,0.17304200652604,0.012345679012345678,0.0014184397163120588,0.0,-0.0014184397163120588
external_lung,seed42_main,target_disjoint,11,1460,904,220,24,True,0.0,0.0,16,0.30277300974811283,0.3493150684931507,0.3913082191780822,0.08528790507308297,0.05136986301369863,0.583914561307565,0.6191780821917808,0.9517551887693385,0.9514647131852041,-0.00029047558413441976,0.14975965479434242,0.012345679012345678,0.004255319148936176,0.01379310344827589,0.009537784299339713
immune,seed42_main,source_disjoint,0,1180,289,220,24,True,0.0,0.0,16,0.17485226307015447,0.17436440677966103,0.22446186440677968,0.048303953710443374,0.030508474576271188,0.4249274351450646,0.24491525423728813,0.958947413388013,0.958912461795968,-3.49515920450294e-05,0.4135378032076473,0.06172839506172839,-0.23076923076923073,0.02898550724637672,0.25975473801560744
immune,seed42_main,source_disjoint,3,1180,289,220,24,True,0.0,0.0,16,0.17485226307015447,0.17436440677966103,0.22446186440677968,0.048303953710443374,0.030508474576271188,0.4249274351450646,0.24491525423728813,0.9594600367380068,0.9592347931448277,-0.00022524359317910303,0.4701138580994863,0.024691358024691357,-0.24786324786324787,0.008695652173913104,0.256558900037161
immune,seed42_main,source_disjoint,7,1180,289,220,24,True,0.0,0.0,16,0.17485226307015447,0.17436440677966103,0.22446186440677968,0.048303953710443374,0.030508474576271188,0.4249274351450646,0.24491525423728813,0.9604425648254944,0.9603881956823134,-5.436914318102115e-05,0.4535773368653127,0.037037037037037035,-0.23076923076923084,0.023188405797101574,0.2539576365663324
immune,seed42_main,source_disjoint,11,1180,289,220,24,True,0.0,0.0,16,0.17485226307015447,0.17436440677966103,0.22446186440677968,0.048303953710443374,0.030508474576271188,0.4249274351450646,0.24491525423728813,0.960089165394817,0.9599610095573186,-0.00012815583749847814,0.4371269589994801,0.09876543209876543,-0.2222222222222222,0.034782608695652195,0.2570048309178744
immune,seed42_main,target_disjoint,0,1443,349,220,24,True,0.0,0.0,16,0.15847251307978394,0.17169092169092168,0.19942480942480942,0.04323203733712435,0.013167013167013167,0.371746849609384,0.24185724185724186,0.9548226062450564,0.9548121297203293,-1.047652472718763e-05,-0.11539768740928792,0.9506172839506173,-0.0664335664335664,0.029976019184652314,0.09640958561821872
immune,seed42_main,target_disjoint,3,1443,349,220,24,True,0.0,0.0,16,0.15847251307978394,0.17169092169092168,0.19942480942480942,0.04323203733712435,0.013167013167013167,0.371746849609384,0.24185724185724186,0.9550347558707826,0.9554171490233259,0.0003823931525432922,0.14333580987404868,0.7530864197530864,0.11888111888111891,0.0539568345323741,-0.06492428434874481
immune,seed42_main,target_disjoint,7,1443,349,220,24,True,0.0,0.0,16,0.15847251307978394,0.17169092169092168,0.19942480942480942,0.04323203733712435,0.013167013167013167,0.371746849609384,0.24185724185724186,0.9551683315610546,0.9551080915438731,-6.0240017181523164e-05,0.2196538407916242,0.4444444444444444,-0.06293706293706297,0.07314148681055144,0.1360785497476144
immune,seed42_main,target_disjoint,11,1443,349,220,24,True,0.0,0.0,16,0.15847251307978394,0.17169092169092168,0.19942480942480942,0.04323203733712435,0.013167013167013167,0.371746849609384,0.24185724185724186,0.9550635663137823,0.9550897576256004,2.619131181813561e-05,0.19671820874168153,0.49382716049382713,-0.09440559440559437,0.08033573141486805,0.17474132582046242
lung,seed42_main,source_disjoint,0,905,402,219,24,True,0.0,0.0,16,0.2509973051700197,0.20027624309392264,0.34449502762430945,0.10901510862310551,0.051933701657458566,0.6056953206418316,0.44419889502762433,0.9361591644164862,0.9366784368416368,0.0005192724251505965,0.6880008301375696,0.012345679012345678,-0.03932584269662931,,
lung,seed42_main,source_disjoint,3,905,402,219,24,True,0.0,0.0,16,0.2509973051700197,0.20027624309392264,0.34449502762430945,0.10901510862310551,0.051933701657458566,0.6056953206418316,0.44419889502762433,0.9367031640999772,0.9368861458116969,0.00018298171171970967,0.4557784758795144,0.012345679012345678,0.016853932584269704,,
lung,seed42_main,source_disjoint,7,905,402,219,24,True,0.0,0.0,16,0.2509973051700197,0.20027624309392264,0.34449502762430945,0.10901510862310551,0.051933701657458566,0.6056953206418316,0.44419889502762433,0.9363569824832102,0.9363273097732017,-2.9672710008532555e-05,0.061162415302543384,0.14814814814814814,-0.08988764044943831,,
lung,seed42_main,source_disjoint,11,905,402,219,24,True,0.0,0.0,16,0.2509973051700197,0.20027624309392264,0.34449502762430945,0.10901510862310551,0.051933701657458566,0.6056953206418316,0.44419889502762433,0.9362284007398396,0.9363174188698654,8.901813002581971e-05,0.0673269095360891,0.09876543209876543,-0.101123595505618,,
lung,seed42_main,target_disjoint,0,1231,718,218,24,True,0.0,0.0,16,0.3080750592022888,0.3515434606011373,0.39579285134037373,0.09966618863656788,0.0479285134037368,0.5914807655214825,0.5832656376929326,0.9523340229248454,0.9522688646717382,-6.515825310715595e-05,0.09280177853333156,0.41975308641975306,-0.0073260073260073,,
lung,seed42_main,target_disjoint,3,1231,718,218,24,True,0.0,0.0,16,0.3080750592022888,0.3515434606011373,0.39579285134037373,0.09966618863656788,0.0479285134037368,0.5914807655214825,0.5832656376929326,0.9513783685459393,0.9515385492514945,0.00016018070555523511,0.1011831678654951,0.38271604938271603,0.00366300366300365,,
lung,seed42_main,target_disjoint,7,1231,718,218,24,True,0.0,0.0,16,0.3080750592022888,0.3515434606011373,0.39579285134037373,0.09966618863656788,0.0479285134037368,0.5914807655214825,0.5832656376929326,0.9531322115254088,0.9529720308198537,-0.0001601807055551241,0.0919416424408318,0.38271604938271603,-0.010989010989011061,,
lung,seed42_main,target_disjoint,11,1231,718,218,24,True,0.0,0.0,16,0.3080750592022888,0.3515434606011373,0.39579285134037373,0.09966618863656788,0.0479285134037368,0.5914807655214825,0.5832656376929326,0.9511204504607231,0.9512616266757887,0.00014117621506559708,0.055071957239517216,0.5185185185185185,-0.004884004884004867,,
