domain,n_rows,mean_module_role_graph_concordance,mean_top_role_graph_jaccard,mean_null_gap_q95_concordance,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,2,0.0041791096429492644,0.11022653967290252,-0.013355149513139253,0.0,0.0,0.941056861276993
immune,2,0.07059740155622733,0.14572842998585572,-0.042123817665529015,0.0,0.0,1.0
lung,2,0.043235596215109064,0.13522027550307877,-0.019436752956422446,0.0,0.0,0.6889116677209014
