domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_graph_bridge_calibrated,delta_auc_graph_bridge_calibrated_minus_h70,q95_null_delta_auc,null_gap_q95_delta_auc,p_degree_swap_upper,p_length_swap_upper,p_length_bridge_swap_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,300,144,0.888888888888889,0.9298433048433048,0.040954415954415846,0.05920917913105417,-0.018254763176638322,0.5789473684210527,0.7894736842105263,0.8421052631578947,0.2631578947368421,0.2631578947368421
external_lung,seed42_main,source_disjoint,3,300,144,0.8928507834757834,0.9479611823361823,0.055110398860398924,0.06118567485754988,-0.006075275997150957,0.7894736842105263,0.8421052631578947,0.7368421052631579,0.3157894736842105,0.3157894736842105
external_lung,seed42_main,source_disjoint,7,300,144,0.8381410256410257,0.932647792022792,0.09450676638176636,0.09858551460113958,-0.004078748219373221,0.5263157894736842,0.10526315789473684,0.3684210526315789,0.21052631578947367,0.10526315789473684
external_lung,seed42_main,source_disjoint,11,300,144,0.8340233262108262,0.920138888888889,0.08611556267806275,0.09608818554131057,-0.009972622863247821,0.8947368421052632,0.8947368421052632,1.0,0.21052631578947367,0.21052631578947367
external_lung,seed42_main,target_disjoint,0,300,199,0.8616846609284045,0.9511916015722175,0.08950694064381304,0.0952908104880839,-0.005783869844270859,0.631578947368421,0.7368421052631579,0.6842105263157895,0.10526315789473684,0.10526315789473684
external_lung,seed42_main,target_disjoint,3,300,199,0.8478531270212448,0.9552714065376388,0.10741827951639393,0.10915219662669788,-0.001733917110303948,0.05263157894736842,0.10526315789473684,0.3157894736842105,0.15789473684210525,0.05263157894736842
external_lung,seed42_main,target_disjoint,7,300,199,0.8989501965271904,0.9420866709786556,0.04313647445146518,0.04709065127618287,-0.003954176824717694,0.42105263157894735,0.3157894736842105,0.05263157894736842,0.2631578947368421,0.05263157894736842
external_lung,seed42_main,target_disjoint,11,300,199,0.8737748146673965,0.9433305139559182,0.06955569928852168,0.07223493706154525,-0.0026792377730235767,0.3157894736842105,0.42105263157894735,0.42105263157894735,0.21052631578947367,0.21052631578947367
immune,seed42_main,source_disjoint,0,300,76,0.9312147556390977,0.9578829887218044,0.026668233082706716,0.030063439849624004,-0.003395206766917288,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.2631578947368421
immune,seed42_main,source_disjoint,3,300,76,0.8904487781954887,0.9891917293233082,0.0987429511278195,0.09862546992481203,0.00011748120300747456,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.05263157894736842
immune,seed42_main,source_disjoint,7,300,76,0.9302161654135338,0.9726268796992481,0.0424107142857143,0.07551251174812032,-0.03310179746240602,0.8947368421052632,0.8947368421052632,1.0,0.42105263157894735,0.42105263157894735
immune,seed42_main,source_disjoint,11,300,76,0.884281015037594,0.9619360902255639,0.07765507518796988,0.08754846099624058,-0.009893385808270705,0.8421052631578947,0.6842105263157895,0.5263157894736842,0.2631578947368421,0.2631578947368421
immune,seed42_main,target_disjoint,0,300,75,0.9585777777777778,0.9826962962962963,0.02411851851851854,0.07290814814814808,-0.048789629629629544,0.631578947368421,0.47368421052631576,0.631578947368421,0.7368421052631579,0.47368421052631576
