hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_response_value,null_jacobian_value
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,51,0.7826340563491095,0.35375576857617114
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,52,0.7830003119955509,0.4142977475901322
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,53,0.8028866370949146,0.4343698408269596
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,54,0.7104545639523054,0.3323209774250179
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,55,0.8283481870345502,0.45039083415886566
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,56,0.7896336087033196,0.2433940334976688
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,57,0.7169522104206515,0.22282109528472638
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,58,0.8128162346206541,0.4524961408982826
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,59,0.7622593903878242,0.35018539660764736
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,60,0.7147004164462352,0.14857357304737148
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,61,0.76002116143735,0.3969180818871856
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,62,0.7872732945373649,0.4657058373789545
H109,module_size_variance_matched_shuffle,external_lung,seed42_main,other,-1,63,0.7444892090234542,0.19637472068186015
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,0,0.7457337420982664,0.6922459446283122
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,1,0.808242220353238,0.3786738641325398
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,2,0.8394286334409505,0.4818165643316339
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,3,0.803779266936162,0.5824807322630806
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,4,0.7968610108792966,0.5405227733786316
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,5,0.740090615589137,0.41923851163081943
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,6,0.8094630890691553,0.3691438226252576
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,7,0.860468270978594,0.5880895768954342
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,8,0.847432106134187,0.3783587727201802
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,9,0.8281423804226917,0.6225738416607537
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,10,0.7957893594508804,0.5315347297107132
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,11,0.8183889959033073,0.6880832867759142
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,12,0.7255215822458558,0.25472408315548284
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,13,0.7289535798583792,0.5329863836024348
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,14,0.8040912667191187,0.4651648508219105
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,15,0.8575246208524376,0.42975144900287293
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,16,0.8025177025963807,0.4847524337635532
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,17,0.7938766651292763,0.455978710215942
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,18,0.8330394204943161,0.5876112310930154
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,19,0.7869448438644564,0.5559596127053176
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,20,0.7998317914213624,0.3226640857013377
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,21,0.680213787677365,0.1747750082450144
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,22,0.8652432241786266,0.46436936552851565
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,23,0.8370411568409343,0.6545366020663861
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,24,0.6963156895195204,0.4242781763106472
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,25,0.8274912504408692,0.6163980474560998
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,26,0.6166879188257955,0.47028441766838536
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,27,0.8201253425215008,0.6307553201063645
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,28,0.8387368078352642,0.33957039575383363
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,29,0.8252665563363086,0.7469031496505069
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,30,0.7587970373585827,0.5244712904141005
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,31,0.7451368729482623,0.5339914428200072
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,32,0.8245340351067582,0.5164040356971018
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,33,0.7812474565235086,0.47826108627094566
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,34,0.8202474293930925,0.5525120344707967
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,35,0.7096502889389293,0.4628316155256567
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,36,0.7916112754008519,0.5912246905924652
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,37,0.7531132152255894,0.5700504712325064
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,38,0.7882064082042378,0.3838655848428611
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,39,0.8178463875851216,0.5184561971798002
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,40,0.7859545836837678,0.2773578205242342
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,41,0.7854933666133102,0.36300235011414356
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,42,0.816218562630565,0.44105152723793073
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,43,0.711427331180987,0.48807109667283716
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,44,0.8582164464581241,0.6881243330502687
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,45,0.8321576819772647,0.20301906902021752
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,46,0.7240701049947095,0.3477615234416133
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,47,0.8772619984264358,0.6461197121753245
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,48,0.6830624813478391,0.5316859329808531
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,49,0.7541170406142326,0.36936761446482635
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,50,0.8894164247537915,0.6793306511147246
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,51,0.863656094847934,0.6722372981199101
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,52,0.7295097533845194,0.43758144695174306
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,53,0.8434168045796142,0.42230135718576217
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,54,0.7836484983314793,0.695844796335057
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,55,0.8557068829865161,0.5710291366981411
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,56,0.8289562928999701,0.40858177603467766
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,57,0.805841178545267,0.7139641654832277
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,58,0.8060989174964052,0.5872233687376848
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,59,0.727461406983369,0.697857211711171
H109,module_size_variance_matched_shuffle,immune,seed42_main,other,-1,60,0.7770693724734801,0.6285150095728425
