domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_deep_layer,auc_bio_anchored_fsm,delta_auc_biofsm_minus_h70,q95_null_delta_auc,null_gap_q95_delta_auc,p_state_shuffle_upper,p_layer_order_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,-1,280,131,0.7956862544187714,0.9246375326604847,0.12895127824171326,0.13477765254367546,-0.0058263743019622005,0.04,0.48,0.04,0.04
external_lung,seed42_main,target_disjoint,-1,280,176,0.8112434440559441,0.940149694055944,0.1289062499999999,0.1267482517482518,0.002157998251748089,0.04,0.16,0.04,0.04
immune,seed42_main,source_disjoint,-1,280,69,0.8399615358197678,0.9390754859537057,0.09911395013393787,0.1095301875128786,-0.010416237378940735,0.04,0.6,0.2,0.04
immune,seed42_main,target_disjoint,-1,280,68,0.8804800221975583,0.9536972807991122,0.07321725860155393,0.08095345449500552,-0.007736195893451592,0.04,0.56,0.2,0.04
lung,seed42_main,source_disjoint,-1,280,134,0.7503066857493355,0.8934011449601308,0.14309445921079533,0.1503552443263137,-0.0072607851155183645,0.04,0.64,0.04,0.04
lung,seed42_main,target_disjoint,-1,280,173,0.814380638539247,0.9132137647885041,0.09883312624925711,0.10588433904165091,-0.0070512127923938045,0.04,0.56,0.04,0.04
