summary_type,domain,split_regime,n_rows,mean_delta_auc_bif_minus_distance,fraction_delta_positive,fraction_p_delta_lt_0_05,combined_fisher_p_delta,spearman_utility_vs_delta,p_layer_placebo_upper
domain_split,external_lung,source_disjoint,12,0.0032239834221200656,0.75,0.5833333333333334,8.754430145592865e-05,,
domain_split,external_lung,target_disjoint,12,0.00772506906139372,1.0,0.5833333333333334,1.4333745421962008e-05,,
domain_split,immune,source_disjoint,12,0.005932088754826158,1.0,0.9166666666666666,1.2125982611627908e-06,,
domain_split,immune,target_disjoint,12,0.00846600837685671,1.0,1.0,7.428625927115866e-07,,
domain_split,lung,source_disjoint,12,0.0039050732802868027,1.0,0.4166666666666667,8.914847087092074e-05,,
domain_split,lung,target_disjoint,12,0.006668314317602546,1.0,0.5,4.362759152689322e-05,,
domain_utility,external_lung,all,24,0.005474526241756893,0.875,0.5833333333333334,1.3962363948818132e-08,0.2580653988352777,0.07960199004975124
domain_utility,immune,all,24,0.007199048565841433,1.0,0.9583333333333334,1.2248546216147054e-11,-0.371404932107528,0.9900497512437811
domain_utility,lung,all,24,0.005286693798944674,1.0,0.4583333333333333,4.09165721796955e-08,-0.4010475792710397,0.43781094527363185
