domain,split_regime,n_rows,mean_auc_directed_signed,mean_auc_distance_only,mean_delta_auc_directed_minus_distance,fraction_delta_positive,fraction_p_degree_lt_0_05,fraction_p_sign_lt_0_05,combined_fisher_p_best_null
external_lung,source_disjoint,2,0.5230997480701092,0.5175104746251364,0.005589273444972731,1.0,0.5,0.5,0.021582734301364648
external_lung,target_disjoint,2,0.5333882783882784,0.5060091575091576,0.027379120879120866,1.0,1.0,0.5,0.011900402639578249
immune,source_disjoint,2,0.5438634907071138,0.5249425870540483,0.01892090365306548,1.0,1.0,1.0,0.011900402639578249
immune,target_disjoint,2,0.5356305645912556,0.522769963806295,0.012860600784960485,1.0,0.5,1.0,0.011900402639578249
lung,source_disjoint,2,0.5169042254987248,0.5134430788219462,0.00346114667677877,0.5,0.0,0.0,0.03872932664714566
lung,target_disjoint,2,0.5337916764008943,0.5069228238637177,0.02686885253717669,1.0,0.5,1.0,0.011900402639578249
