domain,variant,n_rows,mean_overlap_total,mean_delta_degree,fraction_delta_degree_positive,fraction_p_degree_lt_0_05,mean_delta_module,fraction_p_module_lt_0_05,combined_fisher_p_best,fraction_nondegenerate_degree_null
external_lung,gene,6,12.833333333333334,12.814814814814815,0.6666666666666666,0.6666666666666666,,0.0,0.004094568437227666,0.16666666666666666
external_lung,module,6,66.16666666666667,18.972222222222225,1.0,0.16666666666666666,-38.10648148148148,0.0,0.010491827603156959,1.0
immune,gene,6,83.83333333333333,83.20370370370371,1.0,1.0,,0.0,1.984334983885361e-05,0.6666666666666666
immune,module,6,34.166666666666664,8.833333333333334,1.0,0.16666666666666666,-9.004629629629632,0.0,0.0226434688568475,1.0
lung,gene,6,10.0,9.99537037037037,0.6666666666666666,0.6666666666666666,,0.0,0.004094568437227666,0.16666666666666666
lung,module,6,33.166666666666664,-12.078703703703704,0.16666666666666666,0.0,-78.38425925925925,0.0,0.9816352076328223,1.0
