null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_spearman
layer_placebo,external_lung,all,all,-1,89,,0.13600743992670042
layer_placebo,external_lung,all,all,-1,90,,0.07672214559967715
layer_placebo,external_lung,all,all,-1,91,,0.10113373738139261
layer_placebo,external_lung,all,all,-1,92,,0.06800371996335021
layer_placebo,external_lung,all,all,-1,93,,0.22319169628996988
layer_placebo,external_lung,all,all,-1,94,,0.06451634970881942
layer_placebo,external_lung,all,all,-1,95,,0.03836107279983857
layer_placebo,external_lung,all,all,-1,96,,0.1848306234901313
layer_placebo,external_lung,all,all,-1,97,,0.21970432603543907
layer_placebo,external_lung,all,all,-1,98,,0.12554532916310804
layer_placebo,external_lung,all,all,-1,99,,0.18831799374466207
layer_placebo,external_lung,all,all,-1,100,,0.12380164403584266
layer_placebo,external_lung,all,all,-1,101,,0.04533581330890013
layer_placebo,external_lung,all,all,-1,102,,0.13775112505396578
layer_placebo,external_lung,all,all,-1,103,,0.08892794149053489
layer_placebo,external_lung,all,all,-1,104,,0.15867534658115046
layer_placebo,external_lung,all,all,-1,105,,0.19006167887192746
layer_placebo,external_lung,all,all,-1,106,,0.23016643679903145
layer_placebo,external_lung,all,all,-1,107,,0.14123849530849658
layer_placebo,external_lung,all,all,-1,108,,0.14298218043576197
layer_placebo,external_lung,all,all,-1,109,,0.1569316614538851
layer_placebo,external_lung,all,all,-1,110,,0.05928529432702325
layer_placebo,external_lung,all,all,-1,111,,0.11159584814498494
layer_placebo,external_lung,all,all,-1,112,,0.11159584814498494
layer_placebo,external_lung,all,all,-1,113,,0.16216271683568126
layer_placebo,external_lung,all,all,-1,114,,0.21970432603543907
layer_placebo,external_lung,all,all,-1,115,,0.19354904912645826
layer_placebo,external_lung,all,all,-1,116,,0.09764636712686184
layer_placebo,external_lung,all,all,-1,117,,0.25980908396254304
layer_placebo,external_lung,all,all,-1,118,,0.09067162661780026
layer_placebo,external_lung,all,all,-1,119,,0.09764636712686184
layer_placebo,external_lung,all,all,-1,120,,0.3243254336713625
layer_placebo,external_lung,all,all,-1,121,,0.19529273425372368
layer_placebo,external_lung,all,all,-1,122,,0.2109859003991122
layer_placebo,external_lung,all,all,-1,123,,0.18831799374466207
layer_placebo,external_lung,all,all,-1,124,,0.10113373738139261
layer_placebo,external_lung,all,all,-1,125,,0.1848306234901313
layer_placebo,external_lung,all,all,-1,126,,0.06974740509061558
layer_placebo,external_lung,all,all,-1,127,,0.1865743086173967
layer_placebo,external_lung,all,all,-1,128,,0.14123849530849658
layer_placebo,external_lung,all,all,-1,129,,0.14646955069029274
layer_placebo,external_lung,all,all,-1,130,,0.10985216301771954
layer_placebo,external_lung,all,all,-1,131,,0.11508321839951573
layer_placebo,external_lung,all,all,-1,132,,0.26329645421707387
layer_placebo,external_lung,all,all,-1,133,,0.06277266458155402
layer_placebo,external_lung,all,all,-1,134,,0.12554532916310804
layer_placebo,external_lung,all,all,-1,135,,0.16739377221747742
layer_placebo,external_lung,all,all,-1,136,,0.11159584814498494
layer_placebo,external_lung,all,all,-1,137,,0.19529273425372368
layer_placebo,external_lung,all,all,-1,138,,0.10113373738139261
layer_placebo,external_lung,all,all,-1,139,,0.12380164403584266
layer_placebo,external_lung,all,all,-1,140,,0.1534442911993543
layer_placebo,external_lung,all,all,-1,141,,0.1499569209448235
layer_placebo,external_lung,all,all,-1,142,,0.15518797632661968
layer_placebo,external_lung,all,all,-1,143,,0.24411591781715453
layer_placebo,external_lung,all,all,-1,144,,0.08195320098147331
layer_placebo,external_lung,all,all,-1,145,,0.19180536399919287
layer_placebo,external_lung,all,all,-1,146,,0.19180536399919287
layer_placebo,external_lung,all,all,-1,147,,0.14123849530849658
layer_placebo,external_lung,all,all,-1,148,,0.102877422508658
layer_placebo,external_lung,all,all,-1,149,,0.1499569209448235
layer_placebo,external_lung,all,all,-1,150,,0.0
