null_kind,domain,layer,top_k,variant,perm_idx,null_overlap_total
degree_rewire,external_lung,7,100,gene,0,0.0
degree_rewire,external_lung,7,100,gene,1,0.0
degree_rewire,external_lung,7,100,gene,2,0.0
degree_rewire,external_lung,7,100,gene,3,0.0
degree_rewire,external_lung,7,100,gene,4,0.0
degree_rewire,external_lung,7,100,gene,5,0.0
degree_rewire,external_lung,7,100,gene,6,0.0
degree_rewire,external_lung,7,100,gene,7,0.0
degree_rewire,external_lung,7,100,gene,8,0.0
degree_rewire,external_lung,7,100,gene,9,0.0
degree_rewire,external_lung,7,100,gene,10,0.0
degree_rewire,external_lung,7,100,gene,11,0.0
degree_rewire,external_lung,7,100,gene,12,0.0
degree_rewire,external_lung,7,100,gene,13,0.0
degree_rewire,external_lung,7,100,gene,14,0.0
degree_rewire,external_lung,7,100,gene,15,0.0
degree_rewire,external_lung,7,100,gene,16,0.0
degree_rewire,external_lung,7,100,gene,17,0.0
degree_rewire,external_lung,7,100,gene,18,0.0
degree_rewire,external_lung,7,100,gene,19,0.0
degree_rewire,external_lung,7,100,gene,20,0.0
degree_rewire,external_lung,7,100,gene,21,0.0
degree_rewire,external_lung,7,100,gene,22,0.0
degree_rewire,external_lung,7,100,gene,23,0.0
degree_rewire,external_lung,7,100,gene,24,0.0
degree_rewire,external_lung,7,100,gene,25,0.0
degree_rewire,external_lung,7,100,gene,26,0.0
degree_rewire,external_lung,7,100,gene,27,0.0
degree_rewire,external_lung,7,100,gene,28,0.0
degree_rewire,external_lung,7,100,gene,29,0.0
degree_rewire,external_lung,7,100,gene,30,0.0
degree_rewire,external_lung,7,100,gene,31,0.0
degree_rewire,external_lung,7,100,gene,32,0.0
degree_rewire,external_lung,7,100,gene,33,0.0
degree_rewire,external_lung,7,100,gene,34,0.0
degree_rewire,external_lung,7,100,gene,35,0.0
degree_rewire,external_lung,7,200,gene,0,0.0
degree_rewire,external_lung,7,200,gene,1,0.0
degree_rewire,external_lung,7,200,gene,2,0.0
degree_rewire,external_lung,7,200,gene,3,0.0
degree_rewire,external_lung,7,200,gene,4,0.0
degree_rewire,external_lung,7,200,gene,5,0.0
degree_rewire,external_lung,7,200,gene,6,0.0
degree_rewire,external_lung,7,200,gene,7,0.0
degree_rewire,external_lung,7,200,gene,8,0.0
degree_rewire,external_lung,7,200,gene,9,0.0
degree_rewire,external_lung,7,200,gene,10,0.0
degree_rewire,external_lung,7,200,gene,11,0.0
degree_rewire,external_lung,7,200,gene,12,0.0
degree_rewire,external_lung,7,200,gene,13,0.0
degree_rewire,external_lung,7,200,gene,14,0.0
degree_rewire,external_lung,7,200,gene,15,0.0
degree_rewire,external_lung,7,200,gene,16,0.0
degree_rewire,external_lung,7,200,gene,17,0.0
degree_rewire,external_lung,7,200,gene,18,0.0
degree_rewire,external_lung,7,200,gene,19,0.0
degree_rewire,external_lung,7,200,gene,20,0.0
degree_rewire,external_lung,7,200,gene,21,0.0
degree_rewire,external_lung,7,200,gene,22,0.0
degree_rewire,external_lung,7,200,gene,23,0.0
degree_rewire,external_lung,7,200,gene,24,0.0
degree_rewire,external_lung,7,200,gene,25,0.0
degree_rewire,external_lung,7,200,gene,26,0.0
degree_rewire,external_lung,7,200,gene,27,0.0
degree_rewire,external_lung,7,200,gene,28,0.0
degree_rewire,external_lung,7,200,gene,29,0.0
degree_rewire,external_lung,7,200,gene,30,0.0
degree_rewire,external_lung,7,200,gene,31,0.0
degree_rewire,external_lung,7,200,gene,32,0.0
degree_rewire,external_lung,7,200,gene,33,0.0
degree_rewire,external_lung,7,200,gene,34,0.0
degree_rewire,external_lung,7,200,gene,35,0.0
degree_rewire,external_lung,7,400,gene,0,0.0
degree_rewire,external_lung,7,400,gene,1,0.0
degree_rewire,external_lung,7,400,gene,2,0.0
degree_rewire,external_lung,7,400,gene,3,0.0
degree_rewire,external_lung,7,400,gene,4,0.0
degree_rewire,external_lung,7,400,gene,5,0.0
degree_rewire,external_lung,7,400,gene,6,2.0
degree_rewire,external_lung,7,400,gene,7,0.0
degree_rewire,external_lung,7,400,gene,8,0.0
degree_rewire,external_lung,7,400,gene,9,0.0
degree_rewire,external_lung,7,400,gene,10,0.0
degree_rewire,external_lung,7,400,gene,11,0.0
degree_rewire,external_lung,7,400,gene,12,0.0
degree_rewire,external_lung,7,400,gene,13,0.0
degree_rewire,external_lung,7,400,gene,14,0.0
degree_rewire,external_lung,7,400,gene,15,0.0
degree_rewire,external_lung,7,400,gene,16,0.0
degree_rewire,external_lung,7,400,gene,17,0.0
degree_rewire,external_lung,7,400,gene,18,0.0
degree_rewire,external_lung,7,400,gene,19,1.0
degree_rewire,external_lung,7,400,gene,20,0.0
degree_rewire,external_lung,7,400,gene,21,0.0
degree_rewire,external_lung,7,400,gene,22,0.0
degree_rewire,external_lung,7,400,gene,23,0.0
degree_rewire,external_lung,7,400,gene,24,0.0
degree_rewire,external_lung,7,400,gene,25,0.0
degree_rewire,external_lung,7,400,gene,26,0.0
degree_rewire,external_lung,7,400,gene,27,0.0
degree_rewire,external_lung,7,400,gene,28,0.0
degree_rewire,external_lung,7,400,gene,29,0.0
degree_rewire,external_lung,7,400,gene,30,1.0
degree_rewire,external_lung,7,400,gene,31,0.0
degree_rewire,external_lung,7,400,gene,32,0.0
degree_rewire,external_lung,7,400,gene,33,0.0
degree_rewire,external_lung,7,400,gene,34,0.0
degree_rewire,external_lung,7,400,gene,35,0.0
degree_rewire,external_lung,11,100,gene,0,0.0
degree_rewire,external_lung,11,100,gene,1,0.0
degree_rewire,external_lung,11,100,gene,2,0.0
degree_rewire,external_lung,11,100,gene,3,0.0
degree_rewire,external_lung,11,100,gene,4,0.0
degree_rewire,external_lung,11,100,gene,5,0.0
degree_rewire,external_lung,11,100,gene,6,0.0
degree_rewire,external_lung,11,100,gene,7,0.0
degree_rewire,external_lung,11,100,gene,8,0.0
degree_rewire,external_lung,11,100,gene,9,0.0
degree_rewire,external_lung,11,100,gene,10,0.0
degree_rewire,external_lung,11,100,gene,11,0.0
degree_rewire,external_lung,11,100,gene,12,0.0
degree_rewire,external_lung,11,100,gene,13,0.0
degree_rewire,external_lung,11,100,gene,14,0.0
degree_rewire,external_lung,11,100,gene,15,0.0
degree_rewire,external_lung,11,100,gene,16,0.0
degree_rewire,external_lung,11,100,gene,17,0.0
degree_rewire,external_lung,11,100,gene,18,0.0
degree_rewire,external_lung,11,100,gene,19,0.0
degree_rewire,external_lung,11,100,gene,20,0.0
degree_rewire,external_lung,11,100,gene,21,0.0
degree_rewire,external_lung,11,100,gene,22,0.0
degree_rewire,external_lung,11,100,gene,23,0.0
degree_rewire,external_lung,11,100,gene,24,0.0
degree_rewire,external_lung,11,100,gene,25,0.0
degree_rewire,external_lung,11,100,gene,26,0.0
degree_rewire,external_lung,11,100,gene,27,0.0
degree_rewire,external_lung,11,100,gene,28,0.0
degree_rewire,external_lung,11,100,gene,29,0.0
