domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_bifiltration,auc_distance_only,delta_auc_bif_minus_distance,p_delta_auc_upper,null_mean_delta_auc,mean_beta_bif,mean_beta_distance_only,utility_delta_auc_mean
external_lung,seed43,target_disjoint,3,1125,735,180,1374,0.5072475143903714,0.49536717251002965,0.01188034188034176,0.047619047619047616,0.0026172161172161117,274.3125,652.5,0.0008138334391328121
external_lung,seed43,target_disjoint,7,1125,735,180,1304,0.5099145299145298,0.5065567765567766,0.003357753357753235,0.14285714285714285,-0.0011737310308738702,255.0,604.0,0.0007596996821398
external_lung,seed43,target_disjoint,11,1125,735,180,1341,0.5138287109715681,0.5117338217338218,0.002094889237746367,0.14285714285714285,-0.003142508285365436,274.0625,625.0,0.00089849749857815
external_lung,seed44,source_disjoint,0,810,362,180,1370,0.5115645964877663,0.513140045382794,-0.001575448895027698,0.23809523809523808,-0.004319227259273878,249.6875,651.5,0.0018745433127586
external_lung,seed44,source_disjoint,3,810,362,180,1369,0.513272617403315,0.5164851765982637,-0.003212559194948672,0.6666666666666666,-0.0010510186464088688,249.125,652.25,0.0028517329398131
external_lung,seed44,source_disjoint,7,810,362,180,1310,0.5224909974348856,0.5228178028808208,-0.00032680544593521876,0.19047619047619047,-0.006050987815706349,239.4375,613.0,0.0024919474250836
external_lung,seed44,source_disjoint,11,810,362,180,1322,0.5209124654696132,0.5203914265982637,0.0005210388713495773,0.09523809523809523,-0.0031652340666930233,245.5625,619.25,0.0005963910933693
external_lung,seed44,target_disjoint,0,1118,723,180,1359,0.4921074286114467,0.4809916487210463,0.011115779890400357,0.047619047619047616,0.0044438608470332595,260.75,640.25,0.0018745433127586
external_lung,seed44,target_disjoint,3,1118,723,180,1359,0.5042246616594009,0.4924085648756062,0.01181609678379475,0.047619047619047616,0.0010786630950505444,259.0625,639.75,0.0028517329398131
external_lung,seed44,target_disjoint,7,1118,723,180,1305,0.5059999649841552,0.4956230194162859,0.010376945567869333,0.047619047619047616,-0.00011310117828317312,249.875,608.0,0.0024919474250836
external_lung,seed44,target_disjoint,11,1118,723,180,1328,0.5106430659873592,0.5009541817672497,0.009688884220109495,0.047619047619047616,-0.001488260938074501,266.875,620.0,0.0005963910933693
immune,seed42_main,source_disjoint,0,1003,248,180,1284,0.5525288399914549,0.5444776757103184,0.008051164281136503,0.047619047619047616,-0.006737743003631752,235.125,580.25,0.00618916072082115
immune,seed42_main,source_disjoint,3,1003,248,180,1295,0.5473563341166418,0.5408139286477248,0.006542405468916934,0.047619047619047616,-0.005901516769920951,233.6875,586.0,0.00585921555500765
immune,seed42_main,source_disjoint,7,1003,248,180,1281,0.5325357829523606,0.5264553514206366,0.006080431531723995,0.047619047619047616,-0.00362796411023284,249.875,581.5,0.0070714481334101
immune,seed42_main,source_disjoint,11,1003,248,180,1313,0.5326986754966888,0.5255233924375134,0.007175283059175364,0.047619047619047616,-0.0026944029053621865,275.3125,609.75,0.0027926317999691502
immune,seed42_main,target_disjoint,0,1189,292,180,1372,0.5366594890120798,0.5284357294482368,0.008223759563843025,0.047619047619047616,-0.005604965562529496,257.625,644.25,0.00618916072082115
immune,seed42_main,target_disjoint,3,1189,292,180,1367,0.5396508147401536,0.5343152975672332,0.0053355171729204676,0.047619047619047616,-0.005839575602082958,258.3125,639.25,0.00585921555500765
immune,seed42_main,target_disjoint,7,1189,292,180,1346,0.5324941586108948,0.5261908034391656,0.006303355171729197,0.047619047619047616,-0.0036208976649715506,258.1875,628.75,0.0070714481334101
immune,seed42_main,target_disjoint,11,1189,292,180,1362,0.5281436599929751,0.519114323238802,0.009029336754173056,0.047619047619047616,-0.0032318535147599138,275.875,645.25,0.0027926317999691502
immune,seed43,source_disjoint,0,970,243,180,1321,0.5514742925716485,0.5445740712437946,0.006900221327853839,0.047619047619047616,-0.007906668704467901,244.0625,604.0,0.00805284321913665
immune,seed43,source_disjoint,3,970,243,180,1299,0.5530224554372499,0.5483666457225986,0.004655809714651293,0.047619047619047616,-0.010614255551593154,235.6875,590.75,0.0093284975177175
immune,seed43,source_disjoint,7,970,243,180,1291,0.5321293324502862,0.5291235756618609,0.0030057567884252956,0.047619047619047616,-0.003657711662449592,251.5,592.75,0.0099120668945286
immune,seed43,source_disjoint,11,970,243,180,1299,0.5349001760433825,0.5307368349550834,0.004163341088299077,0.09523809523809523,-0.002872167597828534,270.1875,603.25,0.0082742934993265
immune,seed43,target_disjoint,0,1162,289,180,1369,0.5275488808824521,0.5196018977633504,0.007946983119101692,0.047619047619047616,-0.004858757733940644,255.4375,642.5,0.00805284321913665
immune,seed43,target_disjoint,3,1162,289,180,1369,0.5258524675283496,0.5182225710174913,0.007629896510858325,0.047619047619047616,-0.0026085328006277943,259.25,640.25,0.0093284975177175
immune,seed43,target_disjoint,7,1162,289,180,1362,0.529045133315101,0.5214033460564336,0.007641787258667376,0.047619047619047616,-0.0033053306222429303,259.0,638.5,0.0099120668945286
immune,seed43,target_disjoint,11,1162,289,180,1382,0.5297585781836486,0.5236903332183894,0.006068244965259151,0.047619047619047616,-0.0028405014724709244,273.5625,654.5,0.0082742934993265
immune,seed44,source_disjoint,0,995,252,180,1317,0.5544046016791643,0.5465508769681043,0.00785372471105994,0.047619047619047616,-0.00878450191202539,228.0,606.25,0.0045200250310772
immune,seed44,source_disjoint,3,995,252,180,1317,0.5588882479864984,0.5544126129590463,0.004475635027452074,0.047619047619047616,-0.009468531692623216,236.125,604.75,0.0120140221589262
immune,seed44,source_disjoint,7,995,252,180,1324,0.546003439509496,0.5410845136619026,0.004918925847593458,0.047619047619047616,-0.009973909931850666,244.0625,610.75,0.0096442424134335
immune,seed44,source_disjoint,11,995,252,180,1346,0.5539719925655323,0.5466096263539062,0.007362366211626115,0.047619047619047616,-0.010620153175671243,258.125,628.5,0.00237084170276145
immune,seed44,target_disjoint,0,1183,289,180,1403,0.5315695563657757,0.5171152551032258,0.014454301262549984,0.047619047619047616,-0.0003096382650969121,250.1875,669.25,0.0045200250310772
immune,seed44,target_disjoint,3,1183,289,180,1405,0.5348923619980956,0.5251774614306836,0.009714900567412088,0.047619047619047616,-0.0030263269934897806,250.375,669.5,0.0120140221589262
immune,seed44,target_disjoint,7,1183,289,180,1376,0.5213147240736009,0.5117972179001881,0.009517506173412849,0.047619047619047616,-6.0572985609508304e-05,246.8125,653.75,0.0096442424134335
immune,seed44,target_disjoint,11,1183,289,180,1403,0.5246704287715875,0.5149439167692342,0.009726512002353305,0.047619047619047616,-5.321907681221649e-06,267.5625,671.0,0.00237084170276145
lung,seed42_main,source_disjoint,0,734,353,179,1417,0.5247708059155495,0.5207668800606724,0.004003925854877077,0.09523809523809523,-0.004831478218197316,252.375,682.75,0.0022431883346988504
lung,seed42_main,source_disjoint,3,734,353,179,1407,0.5233246339958213,0.5228227491393604,0.0005018848564608547,0.14285714285714285,-0.005894730580773738,252.75,681.25,0.0024268129741031002
lung,seed42_main,source_disjoint,7,734,353,179,1379,0.5218301324232488,0.5185697396890544,0.0032603927341944283,0.09523809523809523,-0.004813447540020643,242.4375,660.75,0.00278624113922435
lung,seed42_main,source_disjoint,11,734,353,179,1359,0.5134096198315153,0.5112273501223112,0.002182269709204099,0.19047619047619047,-0.0025618433673128605,249.625,649.0,0.0022288920365283
lung,seed42_main,target_disjoint,0,942,581,177,1362,0.5161365684344025,0.5106559995422927,0.005480568892109794,0.047619047619047616,-0.0017112772419317717,239.75,650.75,0.0022431883346988504
lung,seed42_main,target_disjoint,3,942,581,177,1328,0.5131304799729188,0.5118336424447294,0.0012968375281894318,0.19047619047619047,-0.0025215623077986028,235.4375,628.75,0.0024268129741031002
lung,seed42_main,target_disjoint,7,942,581,177,1320,0.5111017874426078,0.5075855459829027,0.003516241459705083,0.09523809523809523,-0.002276140573373847,244.8125,619.5,0.00278624113922435
lung,seed42_main,target_disjoint,11,942,581,177,1302,0.5108610142985874,0.505180198435213,0.005680815863374433,0.047619047619047616,-0.0006999108424199652,248.3125,607.25,0.0022288920365283
lung,seed43,source_disjoint,0,799,391,179,1381,0.5312829095832707,0.5242966751918159,0.006986234391454849,0.047619047619047616,-0.004673787673637275,261.125,660.25,0.00037455238073499995
lung,seed43,source_disjoint,3,799,391,179,1376,0.5272616719322,0.5206139361115291,0.006647735820670908,0.047619047619047616,-0.005086411162930696,256.8125,657.5,0.0014093872051848901
lung,seed43,source_disjoint,7,799,391,179,1334,0.529781605736924,0.5246602477308059,0.005121358006118126,0.047619047619047616,-0.005918553482774191,248.8125,627.75,0.0017061164456826498
lung,seed43,source_disjoint,11,799,391,179,1351,0.5213254099593803,0.5144896193771626,0.006835790582217616,0.047619047619047616,-0.0032803018905772307,262.875,641.25,0.00079894207314465
lung,seed43,target_disjoint,0,922,593,180,1404,0.501119955714337,0.4945898706797132,0.006530085034623767,0.19047619047619047,0.0013600926718503464,263.0625,674.0,0.00037455238073499995
lung,seed43,target_disjoint,3,922,593,180,1369,0.49962582715264714,0.49271131795978407,0.006914509192863072,0.09523809523809523,0.0026261295663183386,254.75,652.25,0.0014093872051848901
lung,seed43,target_disjoint,7,922,593,180,1336,0.5026781549690666,0.49399529464830305,0.008682860320763597,0.14285714285714285,0.002157772800196947,251.25,625.25,0.0017061164456826498
lung,seed43,target_disjoint,11,922,593,180,1371,0.5036981604022615,0.49624033173242027,0.007457828669841182,0.09523809523809523,0.0009104445480966145,276.625,646.25,0.00079894207314465
lung,seed44,source_disjoint,0,799,385,178,1395,0.5204372921764227,0.5173567977915805,0.0030804943848421473,0.14285714285714285,-0.0025928540058975822,267.9375,670.0,0.0005240955689123
lung,seed44,source_disjoint,3,799,385,178,1391,0.5114624505928853,0.5089685676642198,0.0024938829286654807,0.19047619047619047,-0.0021826965305225985,265.1875,669.75,0.0005229902319175
lung,seed44,source_disjoint,7,799,385,178,1340,0.5235209235209235,0.5204247443377878,0.00309617918313565,0.09523809523809523,-0.004245561202082998,253.75,631.5,0.0011905198321839
lung,seed44,source_disjoint,11,799,385,178,1344,0.5280287345504736,0.5253780036388732,0.0026507309116003963,0.047619047619047616,-0.005339732731037083,262.625,636.25,0.0010124147809266373
lung,seed44,target_disjoint,0,914,565,180,1401,0.5232598828511296,0.5171919770773639,0.006067905773765703,0.047619047619047616,-0.004587570048431649,262.75,674.5,0.0005240955689123
lung,seed44,target_disjoint,3,914,565,180,1359,0.5230189923168598,0.5153637447067475,0.00765524761011227,0.047619047619047616,-0.002733600425995947,249.1875,646.25,0.0005229902319175
lung,seed44,target_disjoint,7,914,565,180,1336,0.5164135202981971,0.5070973958465401,0.00931612445165697,0.047619047619047616,-0.002395085833100971,253.375,628.5,0.0011905198321839
lung,seed44,target_disjoint,11,914,565,180,1355,0.5154499581611177,0.5040292111468925,0.011420747014225241,0.047619047619047616,-0.0024651976570225303,266.6875,637.25,0.0010124147809266373
