domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_bifiltration,auc_distance_only,delta_auc_bif_minus_distance,p_delta_auc_upper,null_mean_delta_auc,mean_beta_bif,mean_beta_distance_only,utility_delta_auc_mean
external_lung,seed42_main,source_disjoint,0,771,373,179,1369,0.5352802888436823,0.5305212389022863,0.004759049941395976,0.047619047619047616,-0.004445653198970789,247.3125,655.5,0.001754234576202
external_lung,seed42_main,source_disjoint,3,771,373,179,1337,0.5280726689749013,0.5225894889999596,0.005483179974941743,0.047619047619047616,-0.00515378501084508,231.125,637.75,0.0025926864722943
external_lung,seed42_main,source_disjoint,7,771,373,179,1284,0.536169453163943,0.5292346450752422,0.006934808088700839,0.047619047619047616,-0.006770615813652731,219.625,599.75,0.00271049615678075
external_lung,seed42_main,source_disjoint,11,771,373,179,1287,0.5147958290110067,0.5073187654088135,0.007477063602193246,0.047619047619047616,-0.00047152653347160565,234.25,599.25,0.00336149894455735
external_lung,seed42_main,target_disjoint,0,1090,700,180,1365,0.5108754578754579,0.5080421245421245,0.0028333333333333544,0.09523809523809523,-0.0027537545787545414,278.0,647.75,0.001754234576202
external_lung,seed42_main,target_disjoint,3,1090,700,180,1356,0.5036172161172162,0.49580402930402934,0.007813186813186879,0.09523809523809523,-0.0007881868131868475,276.25,640.0,0.0025926864722943
external_lung,seed42_main,target_disjoint,7,1090,700,180,1328,0.5146739926739926,0.5030457875457875,0.01162820512820506,0.047619047619047616,-0.0018130952380952582,274.625,618.25,0.00271049615678075
external_lung,seed42_main,target_disjoint,11,1090,700,180,1323,0.5131978021978022,0.5052234432234433,0.007974358974358942,0.047619047619047616,-0.002388553113553163,269.625,616.5,0.00336149894455735
external_lung,seed43,source_disjoint,0,825,386,180,1393,0.5228498589587733,0.516806921052321,0.006042937906452384,0.047619047619047616,-0.004375081142965054,260.9375,670.75,0.0006408747098234999
external_lung,seed43,source_disjoint,3,825,386,180,1389,0.5299697853104678,0.52465565876285,0.005314126547617759,0.047619047619047616,-0.004538694867043502,265.9375,670.25,0.0008138334391328121
external_lung,seed43,source_disjoint,7,825,386,180,1340,0.5301202686274742,0.5269335630908683,0.0031867055366059382,0.09523809523809523,-0.0038806991867998907,248.6875,636.25,0.0007596996821398
external_lung,seed43,source_disjoint,11,825,386,180,1348,0.5236258807700025,0.5195421766379076,0.004083704132094912,0.047619047619047616,-0.004444126429591416,255.5625,639.25,0.00089849749857815
external_lung,seed43,target_disjoint,0,1125,735,180,1371,0.5175004360718647,0.5153793825222396,0.002121053549625107,0.09523809523809523,-0.003929530786673513,269.6875,649.75,0.0006408747098234999
