domain,seed_tag,layer,n_points,pca_dim,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm,h1_max_observed,h1_count_observed,mle_intrinsic_dim,participation_ratio_dim,linearity_top5_ratio
external_lung,seed42_main,0,350,20,67.83042812347412,50.82857673168182,5.119480821536647,17.0018513917923,3.321010856598554,0.047619047619047616,2.3644466400146484,198,10.32227153042318,2.4095321762658553,0.8057420244321037
external_lung,seed43,0,350,20,64.27649760246277,40.25660538673401,4.8631808862502215,24.01989221572876,4.939131974034032,0.047619047619047616,1.5013065338134766,161,10.364666601326675,2.0980184499062093,0.8290420557191343
external_lung,seed44,0,350,20,71.36417126655579,49.82156826257706,5.01754909535555,21.542603003978726,4.293451362464195,0.047619047619047616,1.258192539215088,198,10.385045503898404,2.311161257293654,0.814785632708796
external_lung,seed42_main,1,350,20,64.90057563781738,49.16123447418213,6.5491221065763305,15.739341163635252,2.4032749588570423,0.047619047619047616,1.45274019241333,199,10.58116054848459,1.9350793822376309,0.8448748626186587
external_lung,seed43,1,350,20,58.701274156570435,41.74990867376327,5.440445011170659,16.951365482807162,3.1158049470007994,0.047619047619047616,1.06251859664917,196,10.12665827246501,1.8312818356912481,0.8572015384225552
external_lung,seed44,1,350,20,55.72653102874756,40.86882573366165,2.944656211424933,14.857705295085907,5.045650229861823,0.047619047619047616,1.3135380744934082,184,10.30021473606977,1.8598221793890564,0.8583189339021802
external_lung,seed42_main,2,350,20,54.94127702713013,40.68948353528977,4.26332862380253,14.25179349184036,3.3428794132660786,0.047619047619047616,1.1200199127197266,195,9.927699339818469,1.7624682901729416,0.8669271965542035
external_lung,seed43,2,350,20,47.57616376876831,33.68213374614716,5.381009424523372,13.894030022621152,2.5820490030585255,0.09523809523809523,1.2907633781433105,173,10.00236000069581,1.6570274214753853,0.8812187882674756
external_lung,seed44,2,350,20,51.61361575126648,45.958602643013,6.316050722014818,5.655013108253478,0.8953400402006572,0.19047619047619047,1.3426032066345215,191,10.78061495255106,1.7982636719875311,0.8651554164919348
external_lung,seed42_main,3,350,20,47.922598361968994,38.068428659439085,5.4570814378543,9.854169702529909,1.8057582268002152,0.09523809523809523,1.206268310546875,166,10.432286434345604,1.669093283437312,0.8831791900977556
external_lung,seed43,3,350,20,46.45573949813843,36.80801931619644,4.76656438996562,9.647720181941985,2.0240406696756135,0.047619047619047616,1.054457664489746,166,10.954166798898552,1.6552492256272155,0.8856048511314625
external_lung,seed44,3,350,20,50.442885875701904,42.411291015148166,5.21439485720782,8.031594860553739,1.5402736231053638,0.19047619047619047,1.1618742942810059,181,10.26749742641598,1.7476392076871303,0.8734777836242612
external_lung,seed42_main,4,350,20,53.28757047653198,42.92905033826828,4.4638733782531945,10.3585201382637,2.320522841532006,0.047619047619047616,1.210759162902832,185,10.265636525154937,1.6832300584615778,0.8910464022243406
external_lung,seed43,4,350,20,49.440860748291016,33.4291092634201,4.8419090574586505,16.011751484870913,3.3069087608944097,0.047619047619047616,1.4005274772644043,174,9.667581301604228,1.5163160310640418,0.9083328859181766
external_lung,seed44,4,350,20,51.165650606155396,37.360101234912875,4.0974823847909,13.80554937124252,3.369276075259506,0.047619047619047616,1.2171149253845215,187,10.7507833287957,1.6360329980493895,0.8918170192055034
external_lung,seed42_main,5,350,20,56.48554491996765,43.43685395717621,5.98665278060274,13.04869096279144,2.1796304945044866,0.047619047619047616,1.0372281074523926,210,9.822768242242951,1.6528118469124735,0.8932384238507861
external_lung,seed43,5,350,20,58.78429555892944,38.54056913852692,3.337393632685505,20.243726420402524,6.0657293212509815,0.047619047619047616,1.2994952201843262,192,9.222179756817534,1.5637719370022296,0.9039319436701846
external_lung,seed44,5,350,20,50.17394304275513,37.58802181482315,6.10980912850129,12.585921227931976,2.059953258958729,0.09523809523809523,1.1655611991882324,172,9.841090645589231,1.5723850784233386,0.9043903653381946
external_lung,seed42_main,6,350,20,53.868043184280396,43.06526708602905,4.796656299001483,10.802776098251343,2.2521472089313557,0.047619047619047616,1.1913671493530273,201,9.964753502546063,1.6176485915331187,0.9019833250403279
external_lung,seed43,6,350,20,49.28403449058533,34.795938682556155,5.241400490680721,14.488095808029172,2.7641650034232326,0.047619047619047616,1.0255908966064453,183,9.678251238943247,1.5167258895160365,0.9144027529645348
external_lung,seed44,6,350,20,49.899354696273804,39.834540486335754,4.320169350662858,10.06481420993805,2.329726774730265,0.047619047619047616,1.0858407020568848,203,9.998968817000058,1.5557339702282353,0.9104098354574721
