domain,seed_tag,metric,n_layers_valid,spearman_rho,perm_p_two_sided
external_lung,seed42_main,linearity_top5_ratio,12,-0.5244755244755246,0.07896051974012994
external_lung,seed43,linearity_top5_ratio,12,-0.6503496503496504,0.025487256371814093
external_lung,seed44,linearity_top5_ratio,12,-0.35664335664335667,0.23238380809595202
external_lung,seed42_main,mle_intrinsic_dim,12,0.1328671328671329,0.6686656671664168
external_lung,seed43,mle_intrinsic_dim,12,0.1398601398601399,0.6606696651674163
external_lung,seed44,mle_intrinsic_dim,12,-0.034965034965034975,0.9155422288855573
external_lung,seed42_main,participation_ratio_dim,12,0.5314685314685316,0.07596201899050475
external_lung,seed43,participation_ratio_dim,12,0.5804195804195805,0.04847576211894053
external_lung,seed44,participation_ratio_dim,12,0.4125874125874127,0.175912043978011
immune,seed42_main,linearity_top5_ratio,12,-0.4755244755244756,0.12593703148425786
immune,seed43,linearity_top5_ratio,12,0.20979020979020982,0.5132433783108445
immune,seed44,linearity_top5_ratio,12,-0.46153846153846156,0.13393303348325838
immune,seed42_main,mle_intrinsic_dim,12,0.44755244755244755,0.14392803598200898
immune,seed43,mle_intrinsic_dim,12,-0.3426573426573427,0.29185407296351823
immune,seed44,mle_intrinsic_dim,12,-0.06293706293706294,0.8495752123938031
immune,seed42_main,participation_ratio_dim,12,0.4755244755244756,0.1329335332333833
immune,seed43,participation_ratio_dim,12,-0.1258741258741259,0.6906546726636682
immune,seed44,participation_ratio_dim,12,0.44755244755244755,0.14042978510744628
