domain,layer,mean_h1_sum_observed,mean_h1_sum_null_mean,mean_h1_sum_delta,mean_h1_sum_z,delta_positive_fraction,fisher_stat,fisher_p,mean_mle_intrinsic_dim,mean_participation_ratio_dim,mean_linearity_top5_ratio
external_lung,0,67.82369899749756,46.9689167936643,20.854782203833263,4.184531397698927,1.0,18.26713462634054,0.005598163615730096,10.35732787854942,2.2729039611552397,0.8165232376200113
external_lung,1,59.77612694104513,43.92665629386902,15.849470647176107,3.5215767119065546,1.0,18.26713462634054,0.005598163615730096,10.336011185673122,1.8753944657726453,0.853465111647798
external_lung,2,51.37701884905497,40.11007330814997,11.266945540904997,2.273422818841754,1.0,14.108251542980867,0.02845003431291927,10.23689143102178,1.7392531278786194,0.8711004671045379
external_lung,3,48.273741245269775,39.0959129969279,9.177828248341877,1.790024173193731,1.0,14.108251542980867,0.02845003431291927,10.551316886553378,1.6906605722505528,0.8807539416178264
external_lung,4,51.2980272769928,37.90608694553375,13.391940331459045,2.998902559228641,1.0,18.26713462634054,0.005598163615730096,10.228000385184956,1.6118596958583364,0.8970654357826735
external_lung,5,55.14792784055074,39.85514830350876,15.29277953704198,3.4351043582380654,1.0,16.880840265220648,0.009731296002612492,9.628679548216573,1.5963229541126804,0.9005202442863883
external_lung,6,51.01714412371317,39.23191541830699,11.785228705406189,2.448679662361618,1.0,18.26713462634054,0.005598163615730096,9.88065785282979,1.5633694837591303,0.9089319711541116
external_lung,7,53.334858894348145,41.551430173714955,11.78342872063319,2.7662573630500256,1.0,14.683615687884426,0.02286548691456298,9.749905200942043,1.589421425897587,0.9109301037733829
external_lung,8,56.37665414810181,39.64081154266993,16.735842605431877,4.111138399692329,1.0,18.26713462634054,0.005598163615730096,9.444042535463272,1.536192102528446,0.9274666753672761
external_lung,9,46.47646482785543,33.97329109112422,12.503173736731213,3.174024852542933,1.0,18.26713462634054,0.005598163615730096,9.781292508806537,1.3539373967750965,0.9495848235324423
external_lung,10,31.07969081401825,23.97765209078789,7.102038723230361,2.7269275412733704,1.0,16.880840265220648,0.009731296002612492,9.834555542949067,1.1659288127187837,0.9724992198929248
external_lung,11,22.06405746936798,18.018982005119323,4.045075464248658,1.9271778527522085,1.0,16.880840265220648,0.009731296002612492,9.633670570263918,1.1092723262069264,0.9806913415946369
immune,0,33.84392770131429,20.763648583491644,13.080279117822647,4.4689440665827425,1.0,18.26713462634054,0.005598163615730096,9.312734065762276,1.8984133294390941,0.8450668050555691
immune,1,29.67794195810954,18.919909026225408,10.75803293188413,2.9415203891849084,1.0,18.26713462634054,0.005598163615730096,8.948277267783256,1.6144732998571192,0.8753842424141185
immune,2,29.44815270105998,17.726077646017075,11.722075055042902,3.9130258352008993,1.0,18.26713462634054,0.005598163615730096,9.642964178806684,1.5419070409889832,0.8861785144883844
immune,3,30.669248239480385,19.062111286322274,11.607136953158111,4.762892533680537,1.0,18.26713462634054,0.005598163615730096,8.938548323351837,1.5540142191761628,0.887379905389384
immune,4,33.41290473937988,16.57079214453697,16.842112594842913,8.310143861969133,1.0,18.26713462634054,0.005598163615730096,8.696896331955383,1.4778890852571178,0.9013221647219954
immune,5,27.32021411259969,16.574380463361738,10.745833649237952,4.196666822580525,1.0,18.26713462634054,0.005598163615730096,8.67220272969776,1.4447519513474116,0.9107651607095101
immune,6,31.145751237869263,16.712534177303315,14.43321706056595,5.143963916952138,1.0,18.26713462634054,0.005598163615730096,8.577110096698462,1.450830387879952,0.9113809498500526
immune,7,34.44919284184774,16.138386472066244,18.310806369781492,9.184439993518607,1.0,18.26713462634054,0.005598163615730096,8.354742568853224,1.4386316844256857,0.9186429822720809
immune,8,27.39473287264506,15.005803740024568,12.388929132620492,5.546999318124218,1.0,18.26713462634054,0.005598163615730096,8.26501887505556,1.3839398383434964,0.9285949667430917
immune,9,26.18934480349223,13.12838394542535,13.060960858066878,7.729343124040587,1.0,18.26713462634054,0.005598163615730096,8.586218055778444,1.2695046263669554,0.9510336253232516
immune,10,18.802241166432697,11.1881745805343,7.614066585898399,4.194928276891731,1.0,18.26713462634054,0.005598163615730096,8.517644706852192,1.1464001964020911,0.9720274102674441
immune,11,12.158130407333374,7.8350271582603455,4.323103249073029,4.235363116073822,1.0,18.26713462634054,0.005598163615730096,8.180858658867189,1.1081687827793303,0.9801778520971024
