domain,n_layers,n_layers_fisher_p_lt_0_05,frac_layers_fisher_p_lt_0_05,mean_layer_h1_delta,median_layer_h1_delta,min_layer_h1_delta,max_layer_h1_delta,top_layer,top_layer_mean_delta,top_layer_fisher_p
external_lung,12,12,1.0,12.482377872036563,12.144201221068702,4.045075464248658,20.854782203833263,0,20.854782203833263,0.005598163615730096
immune,12,12,1.0,12.073879463166241,12.055502093831697,4.323103249073029,18.310806369781492,7,18.310806369781492,0.005598163615730096
