domain,seed_tag,split_regime,layer_type,layer,n_genes_pool,n_points,pca_dim,null_family,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm
external_lung,seed44,source_disjoint,weak,11,4114,180,14,feature_shuffle,8.213475584983826,6.539784860610962,1.1595389296907883,1.6736907243728636,1.443410548859944,0.14285714285714285
external_lung,seed42_main,target_disjoint,top,0,4115,180,14,distance_permutation,27.35517191886902,901.2926990389835,115.20491791831328,-873.9375271201145,-7.585939410435577,1.0
external_lung,seed43,target_disjoint,top,0,4115,180,14,distance_permutation,24.81765055656433,2993.5428496599197,104.28456675868168,-2968.7251991033554,-28.46754118415841,1.0
external_lung,seed44,target_disjoint,top,0,4115,180,14,distance_permutation,28.992815256118774,3562.5786306262016,135.15802810362482,-3533.585815370083,-26.144106013700945,1.0
external_lung,seed42_main,target_disjoint,top,0,4115,180,14,feature_shuffle,27.35517191886902,20.474989271163942,3.9689353909093525,6.880182647705077,1.7335083513151364,0.09523809523809523
external_lung,seed43,target_disjoint,top,0,4115,180,14,feature_shuffle,24.81765055656433,22.645254719257355,3.120680236775598,2.1723958373069756,0.6961289436227039,0.3333333333333333
external_lung,seed44,target_disjoint,top,0,4115,180,14,feature_shuffle,28.992815256118774,26.474656307697295,3.5183728353680794,2.5181589484214797,0.7157169139075399,0.19047619047619047
external_lung,seed42_main,target_disjoint,weak,11,4115,180,14,distance_permutation,7.656903982162476,149.87617202103155,17.48381716659502,-142.21926803886907,-8.13433740902199,1.0
external_lung,seed43,target_disjoint,weak,11,4115,180,14,distance_permutation,12.108108043670654,225.09413814544723,25.42804829983339,-212.98603010177658,-8.376027431676544,1.0
external_lung,seed44,target_disjoint,weak,11,4115,180,14,distance_permutation,12.199949264526367,1265.2141424417496,37.656608288328435,-1253.0141931772232,-33.274749110432154,1.0
external_lung,seed42_main,target_disjoint,weak,11,4115,180,14,feature_shuffle,7.656903982162476,7.4949514925479885,1.1560882614726387,0.16195248961448705,0.14008661351522025,0.42857142857142855
external_lung,seed43,target_disjoint,weak,11,4115,180,14,feature_shuffle,12.108108043670654,7.254297110438347,1.2041473784712846,4.853810933232308,4.030911013038547,0.047619047619047616
external_lung,seed44,target_disjoint,weak,11,4115,180,14,feature_shuffle,12.199949264526367,8.979476180672645,1.0551864761156853,3.2204730838537223,3.0520416568043696,0.047619047619047616
immune,seed42_main,source_disjoint,top,7,2470,180,14,distance_permutation,26.6759352684021,106.6741180419926,18.83810123459209,-79.9981827735905,-4.246616034871102,1.0
immune,seed43,source_disjoint,top,7,2470,180,14,distance_permutation,21.382521629333496,308.79524362087335,44.8059630133551,-287.41272199153985,-6.414608740793219,1.0
immune,seed44,source_disjoint,top,7,2470,180,14,distance_permutation,20.601419925689697,45.06316274404537,15.888928561159753,-24.461742818355674,-1.5395464031862092,1.0
immune,seed42_main,source_disjoint,top,7,2470,180,14,feature_shuffle,26.6759352684021,14.403954398632049,3.0615263467553735,12.27198086977005,4.008451822982849,0.047619047619047616
immune,seed43,source_disjoint,top,7,2470,180,14,feature_shuffle,21.382521629333496,15.114452934265136,2.4754004051593532,6.26806869506836,2.5321433572815106,0.047619047619047616
immune,seed44,source_disjoint,top,7,2470,180,14,feature_shuffle,20.601419925689697,12.157006669044495,3.041944354870179,8.444413256645202,2.775992019824305,0.047619047619047616
immune,seed42_main,source_disjoint,weak,11,2470,180,14,distance_permutation,8.94851267337799,163.61609211564098,11.845633070539494,-154.667579442263,-13.056928110821682,1.0
immune,seed43,source_disjoint,weak,11,2470,180,14,distance_permutation,10.249795079231262,144.96602271497295,18.131627655506197,-134.7162276357417,-7.429902609289535,1.0
immune,seed44,source_disjoint,weak,11,2470,180,14,distance_permutation,6.78020715713501,43.99752408266079,9.93144393386578,-37.21731692552578,-3.7474225469741587,1.0
immune,seed42_main,source_disjoint,weak,11,2470,180,14,feature_shuffle,8.94851267337799,6.907586342096328,1.085679973821612,2.0409263312816623,1.8798599758800991,0.09523809523809523
immune,seed43,source_disjoint,weak,11,2470,180,14,feature_shuffle,10.249795079231262,6.990229326486587,1.3273399032638584,3.259565752744675,2.4557129204613397,0.047619047619047616
immune,seed44,source_disjoint,weak,11,2470,180,14,feature_shuffle,6.78020715713501,6.232795608043671,0.8627143878985029,0.5474115490913389,0.6345223357063321,0.42857142857142855
immune,seed42_main,target_disjoint,top,7,2471,180,14,distance_permutation,0.9521756172180176,0.0,0.0,0.9521756172180176,952175617.2180176,0.2
immune,seed43,target_disjoint,top,7,2471,180,14,distance_permutation,3.193042278289795,0.0,0.0,3.193042278289795,3193042278.289795,0.2
immune,seed44,target_disjoint,top,7,2471,180,14,distance_permutation,5.597111225128174,0.0,0.0,5.597111225128174,5597111225.128174,0.2
immune,seed42_main,target_disjoint,top,7,2471,180,14,feature_shuffle,0.9521756172180176,2.5895457834005358,0.5787756524089697,-1.6373701661825182,-2.8290239171922,1.0
immune,seed43,target_disjoint,top,7,2471,180,14,feature_shuffle,3.193042278289795,3.009315475821495,0.68326272810494,0.18372680246829987,0.26889627465700955,0.38095238095238093
immune,seed44,target_disjoint,top,7,2471,180,14,feature_shuffle,5.597111225128174,3.2654257118701935,1.0590974349598727,2.3316855132579803,2.201577904062005,0.047619047619047616
immune,seed42_main,target_disjoint,weak,11,2471,180,14,distance_permutation,3.0155301094055176,0.0,0.0,3.0155301094055176,3015530109.4055176,0.2
immune,seed43,target_disjoint,weak,11,2471,180,14,distance_permutation,1.7749238014221191,0.0,0.0,1.7749238014221191,1774923801.4221191,0.2
immune,seed44,target_disjoint,weak,11,2471,180,14,distance_permutation,3.808441638946533,0.0,0.0,3.808441638946533,3808441638.946533,0.2
immune,seed42_main,target_disjoint,weak,11,2471,180,14,feature_shuffle,3.0155301094055176,1.3693881623446942,0.4007192390527881,1.6461419470608234,4.107968329257091,0.047619047619047616
immune,seed43,target_disjoint,weak,11,2471,180,14,feature_shuffle,1.7749238014221191,1.7419916570186615,0.6294479271706842,0.0329321444034576,0.05231909254061053,0.38095238095238093
immune,seed44,target_disjoint,weak,11,2471,180,14,feature_shuffle,3.808441638946533,1.792160977423191,0.3792512356402621,2.016280661523342,5.316477487022357,0.047619047619047616
lung,seed42_main,source_disjoint,top,0,4090,180,14,distance_permutation,29.322389364242554,3421.9769364595413,87.70110584317884,-3392.6545470952988,-38.68428470130273,1.0
lung,seed43,source_disjoint,top,0,4090,180,14,distance_permutation,38.17342925071716,3421.869721591472,51.847610909850154,-3383.696292340755,-65.26233770267415,1.0
lung,seed44,source_disjoint,top,0,4090,180,14,distance_permutation,33.08558487892151,3217.6765502095222,79.86128213207223,-3184.5909653306007,-39.87653190971992,1.0
lung,seed42_main,source_disjoint,top,0,4090,180,14,feature_shuffle,29.322389364242554,23.27836263179779,3.5966346257404735,6.044026732444763,1.6804672588948215,0.09523809523809523
lung,seed43,source_disjoint,top,0,4090,180,14,feature_shuffle,38.17342925071716,24.95008544921875,4.117651662594493,13.223343801498412,3.2113799033585884,0.047619047619047616
lung,seed44,source_disjoint,top,0,4090,180,14,feature_shuffle,33.08558487892151,28.49311227798462,4.603762263412871,4.59247260093689,0.9975477310018266,0.2857142857142857
lung,seed42_main,source_disjoint,weak,11,4090,180,14,distance_permutation,12.98958420753479,936.6124809235334,12.569439757790628,-923.6228967159986,-73.48162801528596,1.0
lung,seed43,source_disjoint,weak,11,4090,180,14,distance_permutation,12.199233412742615,1471.3985634446144,22.66741764318446,-1459.1993300318718,-64.37430822236794,1.0
lung,seed44,source_disjoint,weak,11,4090,180,14,distance_permutation,12.206869721412659,1378.551300123334,30.417762976506015,-1366.3444304019213,-44.9192937499163,1.0
lung,seed42_main,source_disjoint,weak,11,4090,180,14,feature_shuffle,12.98958420753479,13.507971870899201,1.496946672494859,-0.5183876633644111,-0.34629668013099824,0.6190476190476191
lung,seed43,source_disjoint,weak,11,4090,180,14,feature_shuffle,12.199233412742615,9.46279656291008,1.6530328406479826,2.7364368498325344,1.6554038013573025,0.09523809523809523
lung,seed44,source_disjoint,weak,11,4090,180,14,feature_shuffle,12.206869721412659,10.478330689668656,1.6089648111826995,1.7285390317440026,1.074317485787082,0.14285714285714285
lung,seed42_main,target_disjoint,top,0,4091,180,14,distance_permutation,21.258681774139404,190.36808097362587,46.0930178069676,-169.10939919948646,-3.668872363793337,1.0
lung,seed43,target_disjoint,top,0,4091,180,14,distance_permutation,15.955980062484741,3.260030532937348e-15,2.8168421884639902e-15,15.955980062484738,15955935117.133541,0.2
lung,seed44,target_disjoint,top,0,4091,180,14,distance_permutation,28.19663405418396,262.110542178155,116.7097716176306,-233.91390812397105,-2.0042358482914806,1.0
lung,seed42_main,target_disjoint,top,0,4091,180,14,feature_shuffle,21.258681774139404,16.633431231975557,3.105670134172775,4.6252505421638475,1.489292275371201,0.047619047619047616
lung,seed43,target_disjoint,top,0,4091,180,14,feature_shuffle,15.955980062484741,10.837873142957687,2.524700010886145,5.1181069195270545,2.0272138849888286,0.047619047619047616
lung,seed44,target_disjoint,top,0,4091,180,14,feature_shuffle,28.19663405418396,18.79640222787857,2.7139184136035217,9.40023182630539,3.4637120171789233,0.047619047619047616
lung,seed42_main,target_disjoint,weak,11,4091,180,14,distance_permutation,7.85933530330658,23.277723193168672,6.596821357272017,-15.418387889862093,-2.33724502339727,1.0
lung,seed43,target_disjoint,weak,11,4091,180,14,distance_permutation,6.9344013929367065,0.46800735592842185,0.9360147118568434,6.466394037008285,6.908432045124565,0.2
lung,seed44,target_disjoint,weak,11,4091,180,14,distance_permutation,8.32694947719574,27.730819821357773,7.394395386990229,-19.403870344162033,-2.6241321062810976,1.0
lung,seed42_main,target_disjoint,weak,11,4091,180,14,feature_shuffle,7.85933530330658,6.299443602561951,1.2736480013022877,1.559891700744629,1.2247431770198027,0.14285714285714285
lung,seed43,target_disjoint,weak,11,4091,180,14,feature_shuffle,6.9344013929367065,4.279828146100044,0.6945163159035165,2.6545732468366623,3.822189892776041,0.047619047619047616
lung,seed44,target_disjoint,weak,11,4091,180,14,feature_shuffle,8.32694947719574,6.072111621499062,0.7411776251961989,2.254837855696678,3.0422368080223117,0.047619047619047616
