domain,seed_tag,split_regime,layer_type,layer,n_genes_pool,n_points,pca_dim,null_family,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm
external_lung,seed42_main,source_disjoint,top,0,4114,180,14,distance_permutation,32.525423526763916,2609.144327610732,241.6117155579982,-2576.618904083968,-10.664296216442343,1.0
external_lung,seed43,source_disjoint,top,0,4114,180,14,distance_permutation,30.82919979095459,1645.3488006591806,65.64697678617833,-1614.519600868226,-24.59396730640552,1.0
external_lung,seed44,source_disjoint,top,0,4114,180,14,distance_permutation,27.10754919052124,733.3874174952524,46.655634766987426,-706.2798683047312,-15.138147231668194,1.0
external_lung,seed42_main,source_disjoint,top,0,4114,180,14,feature_shuffle,32.525423526763916,21.38304212093353,4.084604596062427,11.142381405830385,2.7278971907938856,0.047619047619047616
external_lung,seed43,source_disjoint,top,0,4114,180,14,feature_shuffle,30.82919979095459,20.90420033931732,4.117582332199332,9.92499945163727,2.410394898873975,0.047619047619047616
external_lung,seed44,source_disjoint,top,0,4114,180,14,feature_shuffle,27.10754919052124,20.14063423871994,3.9690364586410416,6.9669149518013,1.755316440814803,0.09523809523809523
external_lung,seed42_main,source_disjoint,weak,11,4114,180,14,distance_permutation,10.250655770301819,861.3177502155306,47.473995842059026,-851.0670944452288,-17.92701623976866,1.0
external_lung,seed43,source_disjoint,weak,11,4114,180,14,distance_permutation,9.305568099021912,877.6856859326363,28.773880944716318,-868.3801178336143,-30.179457525102936,1.0
external_lung,seed44,source_disjoint,weak,11,4114,180,14,distance_permutation,8.213475584983826,215.12878388166462,19.86546186108167,-206.9153082966808,-10.415831745227718,1.0
external_lung,seed42_main,source_disjoint,weak,11,4114,180,14,feature_shuffle,10.250655770301819,7.797455126047135,0.9691873999078258,2.453200644254684,2.53119328827098,0.047619047619047616
external_lung,seed43,source_disjoint,weak,11,4114,180,14,feature_shuffle,9.305568099021912,8.166171762347222,1.3626063370569923,1.1393963366746895,0.8361889306191038,0.23809523809523808
