domain,split_regime,layer_type,layer,null_family,n_seed_runs,mean_h1_sum_observed,mean_h1_sum_null_mean,mean_h1_sum_delta,mean_h1_sum_z,delta_positive_fraction,fisher_stat,fisher_p
external_lung,source_disjoint,top,0,distance_permutation,3,30.154057502746582,1662.6268485883884,-1632.4727910856418,-16.798803584838684,0.0,-0.0,1.0
external_lung,source_disjoint,top,0,feature_shuffle,3,30.154057502746582,20.809292232990263,9.344765269756317,2.2978695101608877,1.0,16.880840265220648,0.009731296002612492
external_lung,source_disjoint,weak,11,distance_permutation,3,9.256566484769186,651.3774066766105,-642.1208401918412,-19.507435170033105,0.0,-0.0,1.0
external_lung,source_disjoint,weak,11,feature_shuffle,3,9.256566484769186,7.50113724966844,1.7554292351007457,1.6035975892500094,1.0,12.851034224136118,0.04546347941497861
external_lung,target_disjoint,top,0,distance_permutation,3,27.05521257718404,2485.8047264417014,-2458.7495138645177,-20.732528869431643,0.0,-0.0,1.0
external_lung,target_disjoint,top,0,feature_shuffle,3,27.05521257718404,23.19830009937287,3.856912477811177,1.0484514029484602,1.0,10.21643124487024,0.11582856565430216
external_lung,target_disjoint,weak,11,distance_permutation,3,10.654987096786499,546.7281508694094,-536.0731637726229,-16.59503798371023,0.0,-0.0,1.0
external_lung,target_disjoint,weak,11,feature_shuffle,3,10.654987096786499,7.909574927886326,2.7454121689001725,2.407679761119379,1.0,13.872685471668099,0.031091125374453788
immune,source_disjoint,top,7,distance_permutation,3,22.88662560780843,153.51084146897043,-130.624215861162,-4.06692372628351,0.0,-0.0,1.0
immune,source_disjoint,top,7,feature_shuffle,3,22.88662560780843,13.891804667313892,8.994820940494538,3.105529066696221,1.0,18.26713462634054,0.005598163615730096
immune,source_disjoint,weak,11,distance_permutation,3,8.659504969914755,117.52654630442491,-108.86704133451015,-8.07808442236179,0.0,-0.0,1.0
immune,source_disjoint,weak,11,feature_shuffle,3,8.659504969914755,6.710203758875529,1.9493012110392254,1.6566984106825906,1.0,12.486391110548208,0.05195712522054671
immune,target_disjoint,top,7,distance_permutation,3,3.2474430402119956,0.0,3.2474430402119956,3247443040.2119956,1.0,9.656627474604601,0.13987696408170694
immune,target_disjoint,top,7,feature_shuffle,3,3.2474430402119956,2.9547623236974077,0.2926807165145873,-0.11951657949106176,0.6666666666666666,8.01920666753402,0.23669955157995057
immune,target_disjoint,weak,11,distance_permutation,3,2.86629851659139,0.0,2.86629851659139,2866298516.59139,1.0,9.656627474604601,0.13987696408170694
immune,target_disjoint,weak,11,feature_shuffle,3,2.86629851659139,1.6345135989288488,1.231784917662541,3.158921636273353,1.0,14.108251542980867,0.02845003431291927
lung,source_disjoint,top,0,distance_permutation,3,33.52713449796041,3353.841069420179,-3320.3139349222183,-47.94105143789893,0.0,-0.0,1.0
lung,source_disjoint,top,0,feature_shuffle,3,33.52713449796041,25.573853453000385,7.953281044960022,1.9631316310850788,1.0,13.297321326764537,0.03855005503308798
lung,source_disjoint,weak,11,distance_permutation,3,12.465229113896688,1262.1874481638272,-1249.7222190499306,-60.9250766625234,0.0,-0.0,1.0
lung,source_disjoint,weak,11,feature_shuffle,3,12.465229113896688,11.14969970782598,1.3155294060707086,0.794474869004462,0.6666666666666666,9.553716972961354,0.14474804718066397
lung,target_disjoint,top,0,distance_permutation,3,21.803765296936035,150.8262077172603,-129.02244242032427,5318645037.153478,0.3333333333333333,3.2188758248682006,0.7809166218848437
lung,target_disjoint,top,0,feature_shuffle,3,21.803765296936035,15.422568867603937,6.381196429332097,2.3267393925129842,1.0,18.26713462634054,0.005598163615730096
lung,target_disjoint,weak,11,distance_permutation,3,7.706895391146342,17.158850123484957,-9.451954732338613,0.6490183051487324,0.3333333333333333,3.2188758248682006,0.7809166218848437
lung,target_disjoint,weak,11,feature_shuffle,3,7.706895391146342,5.550461123387019,2.156434267759323,2.6963899592727185,1.0,16.069910049004317,0.013383610672947337
