hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_semantic_hardening_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_tf_sign_upper,p_motif_decoy_upper,p_string_bin_upper,p_go_semantic_upper,p_label_upper,p_best_upper,motif_coverage,string_conf_mean,same_community_rate,go_semantic_mean,go_anchor_semantic_mean
H135,immune,seed42_main,dual_axis_disjoint,11,240,58,0.8411330049261083,0.9742326638878362,0.1330996589617279,0.1469306555513452,-0.0138309965896172,0.0303030303030303,0.0303030303030303,0.8787878787878788,1.0,0.0909090909090909,0.0303030303030303,0.1708333333333333,0.2390958333333333,0.75,0.0490442949170959,0.1900542204367019
H135,immune,seed42_main,source_disjoint,11,240,59,0.9006461279145986,0.961138683397322,0.0604925554827232,0.0616162562037643,-0.001123700721041,0.0303030303030303,0.0303030303030303,0.2121212121212121,0.1515151515151515,0.1212121212121212,0.0303030303030303,0.1458333333333333,0.2187375,0.7,0.0455130072545696,0.1731611759338461
H135,lung,seed42_main,dual_axis_disjoint,11,220,173,0.8110933464518509,0.9421965317919074,0.1311031853400565,0.1397429590456278,-0.0086397737055713,0.1212121212121212,0.0303030303030303,0.6363636363636364,0.696969696969697,0.0303030303030303,0.0303030303030303,0.4818181818181818,0.4918636363636363,0.209090909090909,0.0624848214074096,0.2741703334922918
H135,lung,seed42_main,source_disjoint,11,240,107,0.7965005972876116,0.954254795868175,0.1577541985805634,0.1609936055090997,-0.0032394069285363,0.0303030303030303,0.0303030303030303,0.6363636363636364,0.3636363636363636,0.0303030303030303,0.0303030303030303,0.3041666666666666,0.3427166666666667,0.2041666666666666,0.0970043721632603,0.3076744256735527
H135,immune,seed43,dual_axis_disjoint,11,240,60,0.8257407407407408,0.9391666666666666,0.1134259259259258,0.1162430555555554,-0.0028171296296296,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0606060606060606,0.3333333333333333,0.0303030303030303,0.1333333333333333,0.2112416666666666,0.1791666666666666,0.0390856991471865,0.1448313005470359
H135,immune,seed43,source_disjoint,11,240,59,0.8294784155819833,0.9541155538908136,0.1246371383088303,0.150014046259013,-0.0253769079501826,0.0303030303030303,0.0303030303030303,0.5757575757575758,0.8787878787878788,0.2727272727272727,0.0303030303030303,0.175,0.2221083333333333,0.1833333333333333,0.0460477231257546,0.1713503021613385
H135,lung,seed43,dual_axis_disjoint,11,196,163,0.6995724112288529,0.9051868377021752,0.2056144264733223,0.2130507529280535,-0.0074363264547312,0.0303030303030303,0.0303030303030303,0.5151515151515151,0.8181818181818182,0.0303030303030303,0.0303030303030303,0.5357142857142857,0.500280612244898,0.5051020408163265,0.0622742461170977,0.2822049692818489
H135,lung,seed43,source_disjoint,11,240,108,0.7590488215488215,0.9356762065095398,0.1766273849607182,0.1800259539842872,-0.0033985690235689,0.0303030303030303,0.0303030303030303,0.4242424242424242,0.4848484848484848,0.0303030303030303,0.0303030303030303,0.2916666666666667,0.2752083333333334,0.4125,0.092864868265043,0.2972355943028246
H135,immune,seed44,dual_axis_disjoint,11,240,58,0.8543008715422508,0.9584122773777948,0.1041114058355439,0.1061244789693066,-0.0020130731337627,0.0303030303030303,0.0303030303030303,0.0909090909090909,0.2424242424242424,0.2424242424242424,0.0303030303030303,0.1583333333333333,0.2057833333333333,0.1625,0.049464111787517,0.1849462817656255
H135,immune,seed44,source_disjoint,11,240,59,0.8062552673471299,0.9615132503043357,0.1552579829572056,0.1729609513999437,-0.0177029684427381,0.0606060606060606,0.0303030303030303,0.6666666666666666,0.8787878787878788,0.303030303030303,0.0303030303030303,0.1791666666666666,0.2120291666666666,0.1666666666666666,0.0458886302738733,0.1793609056254358
H135,lung,seed44,dual_axis_disjoint,11,215,169,0.7828659634679702,0.9452019552354,0.1623359917674297,0.1613133521996398,0.0010226395677899,0.0303030303030303,0.0303030303030303,0.1212121212121212,0.0909090909090909,0.0303030303030303,0.0303030303030303,0.4883720930232558,0.4845581395348837,0.3953488372093023,0.0623298103820588,0.2706311154513067
H135,lung,seed44,source_disjoint,11,240,107,0.8039491251493218,0.943854964514089,0.1399058393647672,0.1392242287962898,0.0006816105684773,0.0303030303030303,0.0303030303030303,0.0606060606060606,0.2121212121212121,0.0303030303030303,0.0303030303030303,0.2958333333333333,0.28875,0.4041666666666667,0.0907868437154111,0.3003525192164901
