domain,split_regime,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,source_disjoint,2,0.008484848484848595,-0.026395833333333216,0.5,0.0,0.2898349509698663
external_lung,target_disjoint,2,0.00046390013495267723,-0.026241987179487197,0.5,0.0,0.095847021232529
immune,source_disjoint,2,0.016639935846030574,-0.03414695268644734,1.0,0.0,0.10658030840228354
immune,target_disjoint,2,0.007149376331000934,-0.03637562113375914,1.0,0.0,0.6181575003297625
lung,source_disjoint,2,0.028017241379310276,-0.005595886267392664,1.0,0.0,0.03432537827021015
lung,target_disjoint,2,0.007171543316121631,-0.022512498975493796,0.5,0.0,0.19937150029878362
