hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_rank_surface_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_axis_upper,p_label_upper,p_best_upper,mean_conn_mean,mean_conn_high_minus_low_margin,mean_one_axis_conn
H133,external_lung,seed42_main,source_disjoint,11,240,116,0.856924360400445,0.7834399332591769,-0.07348442714126802,0.014780311457174743,-0.08826473859844276,1.0,1.0,1.0,0.7291666666666666,0.0,0.796875
H133,external_lung,seed42_main,target_disjoint,11,240,154,0.8444578677136817,0.7909996979764421,-0.0534581697372396,0.023852310480217444,-0.07731048021745704,1.0,1.0,1.0,0.6899305555555555,-0.008333333333333333,0.753125
H133,immune,seed42_main,source_disjoint,11,240,59,0.8729281767955801,0.8057870587133626,-0.06714111808221745,0.00042138777039039434,-0.06756250585260785,1.0,1.0,1.0,0.6479166666666667,0.0,0.7520833333333333
H133,immune,seed42_main,target_disjoint,11,240,59,0.8745200861503887,0.8468957767581234,-0.027624309392265234,-0.020985110965446217,-0.0066391984268190166,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5614583333333333,0.0,0.640625
H133,lung,seed42_main,source_disjoint,11,240,115,0.734608695652174,0.7140173913043478,-0.02059130434782619,0.015499130434782701,-0.03609043478260889,0.38095238095238093,0.8095238095238095,0.38095238095238093,0.5913194444444444,-0.007291666666666667,0.6822916666666666
H133,lung,seed42_main,target_disjoint,11,240,148,0.8167596944770857,0.7823883666274971,-0.03437132784958863,0.010120446533490104,-0.04449177438307873,1.0,1.0,1.0,0.671875,0.0,0.721875
