hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_semantic_hardening_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_tf_sign_upper,p_motif_decoy_upper,p_string_bin_upper,p_go_semantic_upper,p_label_upper,p_best_upper,motif_coverage,string_conf_mean,same_community_rate,go_semantic_mean,go_anchor_semantic_mean
H130,immune,seed42_main,dual_axis_disjoint,11,240,58,0.8411330049261083,0.9742326638878362,0.13309965896172793,0.1469306555513452,-0.013830996589617284,0.030303030303030304,0.030303030303030304,0.8787878787878788,1.0,0.09090909090909091,0.030303030303030304,0.17083333333333334,0.2390958333333333,0.75,0.04904429491709594,0.19005422043670198
H130,immune,seed42_main,source_disjoint,11,240,59,0.9006461279145986,0.9611386833973219,0.060492555482723254,0.061616256203764326,-0.0011237007210410724,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.15151515151515152,0.12121212121212122,0.030303030303030304,0.14583333333333334,0.21873750000000003,0.7,0.0455130072545696,0.1731611759338461
H130,lung,seed42_main,dual_axis_disjoint,11,220,173,0.8110933464518509,0.9421965317919074,0.1311031853400565,0.1397429590456278,-0.008639773705571313,0.12121212121212122,0.030303030303030304,0.6363636363636364,0.696969696969697,0.030303030303030304,0.030303030303030304,0.4818181818181818,0.49186363636363634,0.20909090909090908,0.06248482140740962,0.2741703334922918
H130,lung,seed42_main,source_disjoint,11,240,107,0.7965005972876116,0.954254795868175,0.1577541985805634,0.1609936055090997,-0.0032394069285363036,0.030303030303030304,0.030303030303030304,0.6363636363636364,0.36363636363636365,0.030303030303030304,0.030303030303030304,0.30416666666666664,0.3427166666666667,0.20416666666666666,0.0970043721632603,0.3076744256735527
H130,immune,seed43,dual_axis_disjoint,11,240,60,0.8257407407407408,0.9391666666666666,0.11342592592592582,0.11624305555555546,-0.0028171296296296416,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.3333333333333333,0.030303030303030304,0.13333333333333333,0.21124166666666663,0.17916666666666667,0.03908569914718656,0.1448313005470359
H130,immune,seed43,source_disjoint,11,240,59,0.8294784155819833,0.9541155538908137,0.12463713830883039,0.15001404625901305,-0.02537690795018266,0.030303030303030304,0.030303030303030304,0.5757575757575758,0.8787878787878788,0.2727272727272727,0.030303030303030304,0.175,0.22210833333333332,0.18333333333333332,0.046047723125754676,0.17135030216133856
H130,lung,seed43,dual_axis_disjoint,11,196,163,0.6995724112288529,0.9051868377021752,0.2056144264733223,0.21305075292805353,-0.007436326454731246,0.030303030303030304,0.030303030303030304,0.5151515151515151,0.8181818181818182,0.030303030303030304,0.030303030303030304,0.5357142857142857,0.500280612244898,0.5051020408163265,0.062274246117097753,0.2822049692818489
H130,lung,seed43,source_disjoint,11,240,108,0.7590488215488215,0.9356762065095398,0.17662738496071828,0.18002595398428728,-0.003398569023568998,0.030303030303030304,0.030303030303030304,0.42424242424242425,0.48484848484848486,0.030303030303030304,0.030303030303030304,0.2916666666666667,0.2752083333333334,0.4125,0.092864868265043,0.2972355943028246
H130,immune,seed44,dual_axis_disjoint,11,240,58,0.8543008715422508,0.9584122773777947,0.1041114058355439,0.10612447896930668,-0.0020130731337627827,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.24242424242424243,0.24242424242424243,0.030303030303030304,0.15833333333333333,0.20578333333333332,0.1625,0.04946411178751709,0.18494628176562553
H130,immune,seed44,source_disjoint,11,240,59,0.8062552673471299,0.9615132503043355,0.1552579829572056,0.17296095139994375,-0.017702968442738137,0.06060606060606061,0.030303030303030304,0.6666666666666666,0.8787878787878788,0.30303030303030304,0.030303030303030304,0.17916666666666667,0.21202916666666663,0.16666666666666666,0.045888630273873375,0.17936090562543588
H130,lung,seed44,dual_axis_disjoint,11,215,169,0.7828659634679702,0.9452019552354,0.16233599176742974,0.1613133521996398,0.0010226395677899458,0.030303030303030304,0.030303030303030304,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.4883720930232558,0.4845581395348837,0.3953488372093023,0.06232981038205886,0.27063111545130675
H130,lung,seed44,source_disjoint,11,240,107,0.8039491251493218,0.943854964514089,0.1399058393647672,0.13922422879628985,0.0006816105684773477,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.21212121212121213,0.030303030303030304,0.030303030303030304,0.29583333333333334,0.28875,0.4041666666666667,0.09078684371541117,0.3003525192164901
