hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_id_phase_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_profile_upper,p_swap_upper,p_label_upper,p_best_upper,id_sign_flip_count_mean,id_hysteresis_mean,id_slope_asymmetry_mean
H134,external_lung,seed42_main,source_disjoint,7,230,110,0.8361363636363636,0.8188636363636365,-0.017272727272727106,0.021553030303030175,-0.03882575757575728,0.631578947368421,0.5263157894736842,0.8947368421052632,0.5263157894736842,1.873913043478261,0.19365842410074527,0.0
H134,external_lung,seed42_main,source_disjoint,11,230,110,0.7721969696969696,0.8064393939393939,0.034242424242424296,0.04820833333333345,-0.013965909090909154,0.42105263157894735,0.15789473684210525,0.3157894736842105,0.15789473684210525,1.8521739130434782,0.16576794587380278,0.0
H134,external_lung,seed42_main,target_disjoint,7,230,152,0.8607456140350879,0.8410087719298246,-0.019736842105263275,0.004369095816464114,-0.02410593792172739,0.7894736842105263,0.7894736842105263,0.3684210526315789,0.3684210526315789,1.6434782608695653,0.1541130852644088,0.0
H134,external_lung,seed42_main,target_disjoint,11,230,152,0.784919028340081,0.8055836707152496,0.02066464237516863,0.049042678812415634,-0.028378036437247005,0.7894736842105263,0.7368421052631579,0.05263157894736842,0.05263157894736842,1.6043478260869566,0.15882669709179498,0.0
H134,immune,seed42_main,source_disjoint,7,230,58,0.9393544506816358,0.9526864474739375,0.013331996792301681,0.018228748997594146,-0.004896752205292464,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.05263157894736842,1.3695652173913044,0.1923507776034441,0.0
H134,immune,seed42_main,source_disjoint,11,230,58,0.8624699278267842,0.8824178027265437,0.019947874899759466,0.08334502806736167,-0.06339715316760221,0.42105263157894735,0.5263157894736842,0.8947368421052632,0.42105263157894735,1.3521739130434782,0.1503693738552542,0.0
H134,immune,seed42_main,target_disjoint,7,230,57,0.8820606429368217,0.8835817868370347,0.0015211439002129623,0.054857519521346584,-0.05333637562113362,0.9473684210526315,0.9473684210526315,0.8421052631578947,0.8421052631578947,1.308695652173913,0.1453354980171065,0.0
H134,immune,seed42_main,target_disjoint,11,230,57,0.8709055876685934,0.8836831964303823,0.012777608761788906,0.03219247540817357,-0.019414866646384664,0.5789473684210527,0.5789473684210527,0.3157894736842105,0.3157894736842105,1.2782608695652173,0.1784807996440736,0.0
H134,lung,seed42_main,source_disjoint,7,230,114,0.8255444646098004,0.8350725952813067,0.009528130671506374,0.015592861464004867,-0.006064730792498493,0.3157894736842105,0.3157894736842105,0.10526315789473684,0.10526315789473684,1.2391304347826086,0.11600796243922933,0.0
H134,lung,seed42_main,source_disjoint,11,230,114,0.7385057471264368,0.785012099213551,0.04650635208711418,0.05163339382940101,-0.005127041742286835,0.05263157894736842,0.3684210526315789,0.10526315789473684,0.05263157894736842,1.2826086956521738,0.15874843648437037,0.0
H134,lung,seed42_main,target_disjoint,7,230,147,0.866568314072617,0.8875502008032129,0.020981886730595867,0.02941152364560272,-0.008429636915006852,0.47368421052631576,0.7368421052631579,0.10526315789473684,0.10526315789473684,1.5565217391304347,0.22471075606088126,0.0
H134,lung,seed42_main,target_disjoint,11,230,147,0.8138677157610031,0.8072289156626505,-0.006638800098352604,0.02995656093762814,-0.03659536103598074,0.8947368421052632,0.8421052631578947,0.47368421052631576,0.47368421052631576,1.5826086956521739,0.26033719576169173,0.0
