domain,split_regime,n_rows,mean_auc_triangle_defect,mean_auc_directed_geodesic_baseline,mean_delta_auc_triangle_defect_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.8533316568260408,0.8281907892832235,0.02514086754281712,0.8333333333333334,0.0,0.00952149960767654
external_lung,target_disjoint,6,0.8693343512229926,0.8188439136565918,0.05049043756640089,1.0,0.0,0.00952149960767654
immune,source_disjoint,6,0.8916809932972853,0.8900597648437656,0.0016212284535197148,0.5,0.0,0.00952149960767654
immune,target_disjoint,6,0.8926234502195806,0.883930957657903,0.008692492561677534,0.8333333333333334,0.0,0.00952149960767654
lung,source_disjoint,6,0.8291311405972849,0.811164962978333,0.01796617761895179,0.8333333333333334,0.0,0.00952149960767654
lung,target_disjoint,6,0.867453165775011,0.8143697702896046,0.053083395485406304,1.0,0.0,0.00952149960767654
