domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_triangle_defect,auc_directed_geodesic_baseline,delta_auc_triangle_defect_minus_baseline,mean_triangle_median_defect,mean_triangle_tail_defect,mean_triangle_close_frac,p_swap_upper,p_random_third_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,704,337,169,0.8691855529232932,0.8413958715707598,0.027789681352533457,0.4283648670526217,0.4801250322269674,0.21164772727272727,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed42_main,source_disjoint,11,704,337,169,0.850831588224355,0.8523354813670874,-0.0015038931427323599,0.40371828761961764,0.45607346381709263,0.21164772727272727,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
external_lung,seed42_main,target_disjoint,7,1014,671,170,0.8748441254296055,0.8225788931710645,0.05226523225854107,0.3961442292822292,0.44406985588000353,0.24753451676528598,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed42_main,target_disjoint,11,1014,671,170,0.8507558015754737,0.8349272006013391,0.015828600974134632,0.27732675729698925,0.3619291527663108,0.40717455621301774,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
external_lung,seed43,source_disjoint,7,784,378,170,0.8809588969687492,0.8140068287851537,0.06695206818359545,0.3911428341852149,0.44036332971594566,0.29846938775510207,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed43,source_disjoint,11,784,378,170,0.8283681288607396,0.8202622044986577,0.008105924362081907,0.2684964992823293,0.3566589047122074,0.45758042800453513,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111
external_lung,seed43,target_disjoint,7,1034,686,170,0.8900401293522334,0.8025137394859422,0.08752638986629124,0.4079414616128363,0.45724789111523284,0.2311411992263056,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed43,target_disjoint,11,1034,686,170,0.8655101203042793,0.8119638249388427,0.05354629536543665,0.39156600005571884,0.4421726320604619,0.2311411992263056,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed44,source_disjoint,7,759,351,170,0.8332355734316519,0.8139698899502822,0.0192656834813697,0.2949166976145951,0.3869848039968373,0.3999597423510467,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed44,source_disjoint,11,759,351,170,0.8574102005474553,0.8271744595274008,0.030235741020054552,0.408767474494582,0.4623380118360617,0.21739130434782608,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed44,target_disjoint,7,1041,684,170,0.8808090487657052,0.8114035087719298,0.06940553999377541,0.4386166817138437,0.4904810026144892,0.18924111431316043,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
external_lung,seed44,target_disjoint,11,1041,684,170,0.854046881910659,0.8296763149704327,0.024370566940226324,0.27545229289581086,0.3653817250096678,0.3742395132885046,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.1111111111111111
immune,seed42_main,source_disjoint,7,953,240,170,0.9075327255726974,0.8781323048153342,0.029400420757363155,0.4431847540391256,0.49541042427575155,0.24239244491080797,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed42_main,source_disjoint,11,953,240,170,0.8935776063581112,0.8956054230949042,-0.0020278167367929756,0.4181641376360991,0.47001421769273916,0.24239244491080797,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
immune,seed42_main,target_disjoint,7,1111,276,170,0.8980343660505077,0.8777011195001303,0.020333246550377382,0.3647458382976261,0.41014035298843476,0.31683168316831684,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed42_main,target_disjoint,11,1111,276,170,0.8951965633949492,0.8948711273105961,0.00032543608435309235,0.343232823836074,0.38605160883703543,0.31683168316831684,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed43,source_disjoint,7,920,234,170,0.8935237098502404,0.8890321696444147,0.004491540205825761,0.32257168992619817,0.4147249296073504,0.40098128019323664,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed43,source_disjoint,11,920,234,170,0.8681069497396028,0.8918977847549275,-0.02379083501532475,0.30215020439707596,0.3969177206649133,0.40526117149758445,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
immune,seed43,target_disjoint,7,1082,274,170,0.8805512394305123,0.8680259449302594,0.01252529450025286,0.27509227088299815,0.3614913620238962,0.45147874306839186,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed43,target_disjoint,11,1082,274,170,0.8963783695887837,0.8803073281780733,0.016071041410710363,0.3501257867833622,0.3943591084437696,0.34473197781885395,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed44,source_disjoint,7,949,242,170,0.9050989514535869,0.887161443417069,0.017937508036517835,0.4124154206640342,0.46231677963006534,0.2950474183350896,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
immune,seed44,source_disjoint,11,949,242,170,0.8822460168094732,0.898529463335944,-0.016283446526470735,0.38890729785961803,0.43997654124767416,0.2950474183350896,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
immune,seed44,target_disjoint,7,1110,272,170,0.8935666151902287,0.8845289905938509,0.009037624596377802,0.27987212585063864,0.36649020926210985,0.44927427427427424,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
immune,seed44,target_disjoint,11,1110,272,170,0.8920135476625017,0.898151235434508,-0.006137687772006295,0.3328234637125723,0.374167306829462,0.3621621621621622,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
lung,seed42_main,source_disjoint,7,690,342,170,0.8099919338576326,0.773240572696108,0.036751361161524554,0.27676014467003834,0.3644824840773494,0.4659923510466988,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,source_disjoint,11,690,342,170,0.8091517106943604,0.8004217920279627,0.008729918666397718,0.33684213409667146,0.3820789170764681,0.36086956521739133,0.1111111111111111,1.0,0.2222222222222222,0.1111111111111111
lung,seed42_main,target_disjoint,7,879,561,167,0.8711308422740165,0.8187031244744897,0.05242771779952682,0.39357749840679856,0.442622445073669,0.2354948805460751,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed42_main,target_disjoint,11,879,561,167,0.8604524714402627,0.8340228029462213,0.02642966849404138,0.3723559142209411,0.4248733175528214,0.2354948805460751,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed43,source_disjoint,7,760,384,169,0.8491384086879434,0.8176390735815602,0.03149933510638325,0.3920340360995226,0.4447111432827934,0.3078947368421053,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed43,source_disjoint,11,760,384,169,0.8326130319148937,0.8382507757092199,-0.005637743794326244,0.38179847081074697,0.43196178083234327,0.3078947368421053,0.1111111111111111,1.0,0.2222222222222222,0.1111111111111111
lung,seed43,target_disjoint,7,847,559,170,0.870537045319022,0.8018876714370902,0.06864937388193182,0.37591323989247993,0.42638337480385125,0.3069657615112161,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed43,target_disjoint,11,847,559,170,0.8580954333134565,0.8044530162989465,0.05364241701451,0.3493153398744744,0.39677827181272585,0.3069657615112161,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
lung,seed44,source_disjoint,7,751,368,169,0.8456053468044045,0.8092859575434215,0.03631938926098299,0.391167342030436,0.4423206866051772,0.3155792276964048,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
