domain,split_regime,n_rows,mean_auc_rank_surface,mean_auc_baseline,mean_delta_auc_rank_surface_minus_baseline,mean_delta_auc_rank_surface_minus_one_axis,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.7725455463657119,0.807074024605488,-0.03452847823977619,-0.005955867262409487,0.0,0.0,0.9338341269284555
external_lung,target_disjoint,6,0.7806396305375366,0.7995263151466814,-0.018886684609144926,0.0024243037079616316,0.16666666666666666,0.0,0.41706889079169424
immune,source_disjoint,6,0.8484492733482868,0.8800765863428625,-0.031627312994575774,0.00416159379505419,0.0,0.0,0.17827103219265514
immune,target_disjoint,6,0.8348495359177098,0.8750354539550403,-0.04018591803733066,0.017472825766567408,0.0,0.0,0.007240656855532992
lung,source_disjoint,6,0.7647136913879917,0.7971464936268657,-0.032432802238874035,0.0005632889410797463,0.0,0.0,0.7917867801984528
lung,target_disjoint,6,0.7662853698787648,0.791494209023952,-0.02520883914518694,0.005451563113081,0.0,0.0,0.33290542235810106
