domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_rank_surface,auc_one_axis,auc_directed_baseline,delta_auc_rank_surface_minus_baseline,delta_auc_rank_surface_minus_one_axis,mean_conn_rank_surface,mean_conn_margin_contrast,mean_cycle_rank_surface,p_axis_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,7,704,337,169,0.7876155208240687,0.7920301748882188,0.8193913275495437,-0.031775806725474975,-0.004414654064150092,0.7494081439393938,-0.002840909090909091,5.689842209072978,0.8461538461538461,1.0,0.8461538461538461
external_lung,seed42_main,source_disjoint,11,704,337,169,0.7904292563814391,0.8047809248134282,0.8256575489775952,-0.03522829259615612,-0.014351668431989095,0.7426609848484848,-0.002840909090909091,5.79585798816568,1.0,1.0,1.0
external_lung,seed42_main,target_disjoint,7,1014,671,170,0.7718952175292089,0.7726468914157103,0.7985209838672536,-0.0266257663380447,-0.0007516738865014361,0.7295364891518737,-0.0029585798816568047,5.45343137254902,0.6153846153846154,1.0,0.6153846153846154
external_lung,seed42_main,target_disjoint,11,1014,671,170,0.8022923881070418,0.7967221804625619,0.8154054042310984,-0.013113016124056576,0.005570207644479908,0.6932117028270874,-0.00616370808678501,5.48137254901961,0.3076923076923077,1.0,0.3076923076923077
external_lung,seed43,source_disjoint,7,784,378,170,0.7531732999713295,0.7486707326608804,0.7915721844293273,-0.03839888445799777,0.004502567310449179,0.6795280612244898,0.0,5.446078431372549,0.23076923076923078,1.0,0.23076923076923078
external_lung,seed43,source_disjoint,11,784,378,170,0.7568092371048036,0.7654950869236583,0.8016459457346158,-0.04483670862981215,-0.008685849818854674,0.6772959183673469,0.0,5.498039215686275,1.0,1.0,1.0
external_lung,seed43,target_disjoint,7,1034,686,170,0.7470007707516504,0.7451869910525787,0.7785010555946515,-0.03150028484300116,0.0018137796990717048,0.7456479690522244,-0.0021760154738878143,5.8838235294117665,0.46153846153846156,1.0,0.46153846153846156
external_lung,seed43,target_disjoint,11,1034,686,170,0.7565262558225261,0.7698259106598305,0.7903513622197648,-0.03382510639723868,-0.013299654837304442,0.7317053513862024,-0.0019342359767891683,5.828921568627451,1.0,1.0,1.0
external_lung,seed44,source_disjoint,7,759,351,170,0.7718598123009888,0.7688432210491034,0.7967816043796436,-0.02492179207865486,0.003016591251885359,0.7193675889328063,0.0,5.42156862745098,0.3076923076923077,1.0,0.3076923076923077
external_lung,seed44,source_disjoint,11,759,351,170,0.7753861516116419,0.7911883414334395,0.8073955365622032,-0.03200938495056127,-0.015802189821797596,0.7269433465085638,0.0,5.702450980392158,1.0,1.0,1.0
external_lung,seed44,target_disjoint,7,1041,684,170,0.7918140940586761,0.7765799302177012,0.7913718118826478,0.0004422821760282636,0.015234163840974868,0.7435158501440923,-0.002881844380403458,5.308333333333333,0.07692307692307693,0.5384615384615384,0.07692307692307693
external_lung,seed44,target_disjoint,11,1041,684,170,0.8143090569561158,0.8083300571690666,0.8230072730846725,-0.008698216128556702,0.0059789997870491884,0.7283061159141851,-0.0009606147934678194,5.233823529411763,0.3076923076923077,1.0,0.3076923076923077
immune,seed42_main,source_disjoint,7,953,240,170,0.834253740065451,0.8277845956054231,0.8677682328190743,-0.03351449275362328,0.006469144460027998,0.641395592864638,0.0,2.6499999999999995,0.07692307692307693,1.0,0.07692307692307693
immune,seed42_main,source_disjoint,11,953,240,170,0.844807737260402,0.8448077372604021,0.8827986208508649,-0.037990883590462876,-1.1102230246251565e-16,0.6190975865687304,0.0,2.7764705882352936,0.38461538461538464,1.0,0.38461538461538464
immune,seed42_main,target_disjoint,7,1111,276,170,0.8405623535537621,0.8266553848824092,0.870919031502213,-0.030356677948450872,0.013906968671352882,0.5915841584158416,0.0,3.425,0.07692307692307693,1.0,0.07692307692307693
immune,seed42_main,target_disjoint,11,1111,276,170,0.851115160982383,0.8389308339842054,0.8891738262605223,-0.03805866527813928,0.01218432699817762,0.5686318631863186,0.0,3.452941176470588,0.07692307692307693,1.0,0.07692307692307693
immune,seed43,source_disjoint,7,920,234,170,0.8405752410854452,0.83557287383818,0.8770993745483541,-0.03652413346290884,0.005002367247265216,0.60625,0.0,2.2323529411764698,0.3076923076923077,1.0,0.3076923076923077
immune,seed43,source_disjoint,11,920,234,170,0.8412729560688744,0.842556253270539,0.882357155316339,-0.04108419924746454,-0.001283297201664535,0.5855978260869565,0.0,2.31029411764706,0.5384615384615384,1.0,0.5384615384615384
immune,seed43,target_disjoint,7,1082,274,170,0.7976620654766207,0.7874358603743585,0.8572531979475321,-0.05959113247091141,0.010226205102262131,0.5517560073937153,0.0,3.316176470588235,0.07692307692307693,1.0,0.07692307692307693
immune,seed43,target_disjoint,11,1082,274,170,0.7963747560887475,0.7939220929392208,0.8707360699573607,-0.07436131386861322,0.002452663149526746,0.5330406654343808,0.0,3.389705882352941,0.46153846153846156,1.0,0.46153846153846156
immune,seed44,source_disjoint,7,949,242,170,0.8662343507077982,0.8513536418576922,0.8800571615603119,-0.01382281085251369,0.01488070885010595,0.6106427818756586,0.0,2.5426470588235293,0.07692307692307693,1.0,0.07692307692307693
immune,seed44,source_disjoint,11,949,242,170,0.8635516149017498,0.8636509754871592,0.8903789729622312,-0.02682735806048142,-9.936058540938042e-05,0.5966807165437302,0.0,2.59264705882353,0.7692307692307693,1.0,0.7692307692307693
immune,seed44,target_disjoint,7,1110,272,170,0.8593377088305488,0.8223382879404744,0.8740019128176332,-0.014664203987084345,0.036999420890074464,0.5905405405405405,0.0,3.152941176470588,0.07692307692307693,1.0,0.07692307692307693
immune,seed44,target_disjoint,11,1110,272,170,0.8640451705741963,0.8349778007861857,0.8881286852449811,-0.024083514670784845,0.02906736978801061,0.5878378378378378,0.0,3.257352941176471,0.07692307692307693,1.0,0.07692307692307693
lung,seed42_main,source_disjoint,7,690,342,170,0.7363505747126436,0.7312420178799488,0.7688504066680111,-0.03249983195536743,0.005108556832694844,0.5935990338164251,-0.007246376811594203,5.437254901960784,0.46153846153846156,1.0,0.46153846153846156
lung,seed42_main,source_disjoint,11,690,342,170,0.7559697855750487,0.7493236203535659,0.78122689386301,-0.02525710828796135,0.006646165221482758,0.5791062801932367,-0.002898550724637681,5.589215686274511,0.07692307692307693,1.0,0.07692307692307693
lung,seed42_main,target_disjoint,7,879,561,167,0.7858804470902141,0.7666425632574356,0.7996530230159531,-0.013772575925738995,0.01923788383277847,0.6633485020857035,-0.0022753128555176336,6.9101796407185665,0.07692307692307693,1.0,0.07692307692307693
lung,seed42_main,target_disjoint,11,879,561,167,0.7964074709357729,0.7893614278186974,0.8179884303635692,-0.021580959427796254,0.007046043117075462,0.6712172923777019,0.0,7.0598802395209574,0.15384615384615385,1.0,0.15384615384615385
lung,seed43,source_disjoint,7,760,384,169,0.7772502493351063,0.772609845966312,0.8048087045656028,-0.027558455230496492,0.0046404033687943436,0.6640350877192982,-0.002302631578947368,5.385601577909272,0.5384615384615384,1.0,0.5384615384615384
lung,seed43,source_disjoint,11,760,384,169,0.7851804909131205,0.7899940436613475,0.8213548592641844,-0.03617436835106391,-0.004813552748227035,0.6491228070175439,-0.004605263157894736,5.429980276134122,1.0,1.0,1.0
lung,seed43,target_disjoint,7,847,559,170,0.7416424418604652,0.7433133323394951,0.7792095259391771,-0.0375670840787119,-0.0016708904790299073,0.6950019677292404,-0.0029515938606847697,6.843137254901961,1.0,1.0,1.0
lung,seed43,target_disjoint,11,847,559,170,0.7553201401311866,0.7567425710594315,0.7778678443649374,-0.022547704233750743,-0.0014224309282449,0.676702085792995,-0.004722550177095631,6.7264705882352915,0.9230769230769231,1.0,0.9230769230769231
lung,seed44,source_disjoint,7,751,368,169,0.7588758655920083,0.759635032353275,0.7946773186513794,-0.0358014530593711,-0.0007591667612667496,0.6504660452729694,0.0,5.0917159763313595,1.0,1.0,1.0
lung,seed44,source_disjoint,11,751,368,169,0.7746551822000227,0.7820978544670224,0.8119607787490066,-0.03730559654898391,-0.007442672266999684,0.6541278295605859,0.0,5.294871794871795,1.0,1.0,1.0
lung,seed44,target_disjoint,7,859,549,170,0.7547153181738058,0.7470474175921029,0.7850343733474352,-0.030319055173629428,0.007667900581702858,0.6746216530849826,-0.006984866123399301,6.828921568627449,0.15384615384615385,1.0,0.15384615384615385
lung,seed44,target_disjoint,11,859,549,170,0.7637464010811446,0.7618955285269405,0.7892120571126389,-0.02546565603149431,0.0018508725542040194,0.6610399689561505,-0.007566938300349243,6.933333333333333,0.6923076923076923,1.0,0.6923076923076923
