domain,split_regime,layer,train_domains,n_train_genes,n_shared_target_symbols,n_edges_eval,n_positive_eval,n_tokens_sc,n_tokens_gf,auc_transfer,auc_baseline,delta_auc_transfer_minus_baseline,null_q95,null_gap_q95,mapped_to_sc_cosine,cycle_back_cosine,train_align_rmse,train_cycle_rmse,p_random_map_upper,p_anchor_shuffle_upper,p_signature_destroy_upper,p_best_upper
external_lung,source_disjoint,7,immune+lung,440,220,994,610,12,12,0.47345030737704924,0.8764941939890711,-0.4030438866120219,-0.30863537397540985,-0.09440851263661204,0.09146260535000947,0.838200440236428,1.0456098807004048,0.6321711351840605,0.46153846153846156,0.3076923076923077,0.8461538461538461,0.3076923076923077
external_lung,source_disjoint,11,immune+lung,440,220,994,610,12,12,0.6315317622950818,0.8722891051912569,-0.24075734289617512,-0.2694165172472678,0.028659174351092664,0.01916609075051182,0.7331241448840837,1.0254226122293204,0.6828639533131483,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
external_lung,target_disjoint,7,immune+lung,440,220,817,502,12,12,0.5026433946752671,0.8756371340036678,-0.37299373932840074,-0.3109538038322898,-0.06203993549611092,0.09146260535000947,0.838200440236428,1.0456098807004048,0.6321711351840605,0.3076923076923077,0.5384615384615384,0.6923076923076923,0.3076923076923077
external_lung,target_disjoint,11,immune+lung,440,220,817,502,12,12,0.6093467400240309,0.8735028141402643,-0.26415607411623343,-0.24666334661354578,-0.017492727502687655,0.01916609075051182,0.7331241448840837,1.0254226122293204,0.6828639533131483,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.07692307692307693
immune,source_disjoint,7,external_lung+lung,440,220,1026,249,12,12,0.6000604735544495,0.8558506871759884,-0.255790213621539,-0.23040747287735253,-0.02538274074418645,-0.05890007011491325,0.803354506273661,1.0448578542112503,0.6492864050618508,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385
immune,source_disjoint,11,external_lung+lung,440,220,1026,249,12,12,0.4818682710248975,0.8537418657900585,-0.371873594765161,-0.2529209502101067,-0.11895264455505433,-0.0739665634862291,0.776852990451132,1.0476179806296242,0.65545013176791,0.3076923076923077,0.7692307692307693,1.0,0.3076923076923077
immune,target_disjoint,7,external_lung+lung,440,220,943,244,12,12,0.5934179976078239,0.8939321982222849,-0.300514200614461,-0.2079712821595255,-0.09254291845493548,-0.05890007011491325,0.803354506273661,1.0448578542112503,0.6492864050618508,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.07692307692307693
immune,target_disjoint,11,external_lung+lung,440,220,943,244,12,12,0.4366513051431788,0.8876028987546613,-0.45095159361148246,-0.26152407420436696,-0.1894275194071155,-0.0739665634862291,0.776852990451132,1.0476179806296242,0.65545013176791,0.38461538461538464,0.3076923076923077,0.8461538461538461,0.3076923076923077
lung,source_disjoint,7,external_lung+immune,440,220,970,627,12,12,0.6696867400411977,0.8640897233808083,-0.1944029833396106,-0.2584063358767978,0.0640033525371872,0.04434825837834111,0.8349921273918796,1.0292228639403034,0.6042504170082288,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693
lung,source_disjoint,11,external_lung+immune,440,220,970,627,12,12,0.5758761467676613,0.8647244270230307,-0.28884828025536935,-0.32393076847964064,0.03508248822427129,0.011485515596793557,0.8910121408856708,1.056368887314543,0.5907293044766911,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693
lung,target_disjoint,7,external_lung+immune,440,220,750,484,12,12,0.6732585596221959,0.8659898713726464,-0.19273131175045044,-0.2168654461567139,0.02413413440626347,0.04434825837834111,0.8349921273918796,1.0292228639403034,0.6042504170082288,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
lung,target_disjoint,11,external_lung+immune,440,220,750,484,12,12,0.5462235133287765,0.8657995712421548,-0.3195760579133783,-0.3062628161312371,-0.01331324178214116,0.011485515596793557,0.8910121408856708,1.056368887314543,0.5907293044766911,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693
