domain,split_regime,n_rows,mean_auc_transfer,mean_auc_baseline,mean_delta_auc_transfer_minus_baseline,mean_null_gap_q95,mean_mapped_to_sc_cosine,mean_cycle_back_cosine,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,0.5524910348360655,0.874391649590164,-0.3219006147540985,-0.03287466914275969,0.05531434805026064,0.7856622925602559,0.0,0.5,0.0,0.11227465926161383
external_lung,target_disjoint,2,0.555995067349649,0.8745699740719661,-0.3185749067223171,-0.03976633149939929,0.05531434805026064,0.7856622925602559,0.0,0.0,0.0,0.11227465926161383
immune,source_disjoint,2,0.5409643722896735,0.8547962764830235,-0.31383190419335,-0.07216769264962039,-0.06643331680057117,0.7901037483623965,0.0,0.0,0.0,0.19173761766831893
immune,target_disjoint,2,0.5150346513755013,0.8907675484884731,-0.37573289711297175,-0.1409852189310255,-0.06643331680057117,0.7901037483623965,0.0,0.0,0.0,0.11227465926161383
lung,source_disjoint,2,0.6227814434044294,0.8644070752019195,-0.24162563179748997,0.049542920380729244,0.027916886987567335,0.8630021341387752,0.0,1.0,0.0,0.036271590029130614
lung,target_disjoint,2,0.6097410364754863,0.8658947213074006,-0.25615368483191436,0.005410446312061154,0.027916886987567335,0.8630021341387752,0.0,0.5,0.0,0.036271590029130614
