domain,split_regime,n_rows,mean_delta_auc_motif_grammar_minus_h70,mean_null_gap_q95_delta_auc,mean_motif_loglik_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,1,-0.058785676432735245,-0.06703384056325234,2.3517564258581336,0.0,0.0,0.0,0.0588235294117647
external_lung,target_disjoint,1,-0.08046308503625577,-0.05732325313117999,1.880510287594059,0.0,0.0,0.0,0.0588235294117647
immune,source_disjoint,1,0.009076158604603979,-0.07238616773146743,3.243076253705654,1.0,0.0,0.0,0.0588235294117647
immune,target_disjoint,1,0.02457922824302128,-0.07703971674876865,3.9681415255002888,1.0,0.0,0.0,0.0588235294117647
lung,source_disjoint,1,0.020289196759785022,-0.0016466045877808616,2.0296104569874682,1.0,0.0,0.0,0.0588235294117647
lung,target_disjoint,1,0.03080985915492951,-0.0024387804097311325,2.364839367891846,1.0,0.0,0.0,0.0588235294117647
