domain,split_regime,n_rows,mean_delta_auc_h93_with_string_minus_h70,mean_null_gap_q95_unconditioned,mean_null_gap_q95_conditioned,mean_conditioned_minus_unconditioned_null_gap,fraction_conditional_gain_positive,fraction_p_conditioned_lt_0_05,combined_fisher_p_conditioned
external_lung,source_disjoint,2,0.05492213570634047,-0.047965621523915355,-0.06112955367074516,-0.013163932146829802,0.5,0.0,0.9899591306939627
external_lung,target_disjoint,2,0.06565237088492909,-0.034278729990939276,-0.0685923814557536,-0.03431365146481432,0.5,0.0,1.0
immune,source_disjoint,2,0.05393763460998224,-0.029799138496113813,-0.10771607828448357,-0.07791693978836975,0.0,0.0,1.0
immune,target_disjoint,2,0.06620470081468294,-0.02634727034366517,-0.07052860754752337,-0.044181337203858195,0.0,0.0,0.8294939736806558
lung,source_disjoint,2,0.1124173913043478,0.03708608695652176,-0.06799826086956536,-0.10508434782608711,0.0,0.0,0.9805835520163103
lung,target_disjoint,2,0.0727820211515865,-0.0410674941245592,-0.0739369124559341,-0.032869418331374904,0.0,0.0,1.0
