domain,split_regime,n_rows,mean_delta_auc_interaction_derivative_minus_h91_h93,mean_null_gap_q95_delta_auc,mean_interaction_signal_pos_minus_neg,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,-0.005155279503105598,-0.03621428571428574,-0.14357858650839933,0.25,0.0,0.0,0.47123818599469336
external_lung,target_disjoint,4,-0.0033552388004443046,-0.04880831173639392,-0.07234316158481517,0.0,0.0,0.0,0.49767350202875194
immune,source_disjoint,4,-0.010743801652892515,-0.030077134986225856,-0.2373509634510141,0.5,0.0,0.0,0.6748358161519475
immune,target_disjoint,4,-0.0016253443526171307,-0.02455785123966948,-0.2570474570460832,0.5,0.0,0.0,0.6852193916959268
lung,source_disjoint,4,0.0014877262583684325,-0.02400766592280354,-0.1311094634615767,0.5,0.0,0.0,0.09711285838826733
lung,target_disjoint,4,0.0011607142857143204,-0.03698046874999993,-0.08848998949626413,0.75,0.0,0.0,0.25618995215823065
