domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_depth_motif_grammar,delta_auc_motif_grammar_minus_h70,motif_loglik_pos_minus_neg,q95_null_delta_auc,null_gap_q95_delta_auc,p_layer_order_upper,p_token_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,-1,230,111,0.8630479218714513,0.804262245438716,-0.058785676432735245,2.3517564258581336,0.008248164130517094,-0.06703384056325234,0.9411764705882353,0.058823529411764705,0.8823529411764706,0.058823529411764705
external_lung,seed42_main,target_disjoint,-1,230,148,0.8684904416611734,0.7880273566249176,-0.08046308503625577,1.880510287594059,-0.023139831905075774,-0.05732325313117999,0.6470588235294118,0.058823529411764705,0.47058823529411764,0.058823529411764705
immune,seed42_main,source_disjoint,-1,230,57,0.8942804989351992,0.9033566575398032,0.009076158604603979,3.243076253705654,0.08146232633607141,-0.07238616773146743,0.5294117647058824,0.058823529411764705,0.8235294117647058,0.058823529411764705
immune,seed42_main,target_disjoint,-1,230,56,0.8877257799671593,0.9123050082101806,0.02457922824302128,3.9681415255002888,0.10161894499178993,-0.07703971674876865,0.11764705882352941,0.058823529411764705,0.8235294117647058,0.058823529411764705
lung,seed42_main,source_disjoint,-1,230,111,0.7796956620486033,0.7999848588083883,0.020289196759785022,2.0296104569874682,0.021935801347565884,-0.0016466045877808616,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705
lung,seed42_main,target_disjoint,-1,230,142,0.8247439180537772,0.8555537772087067,0.03080985915492951,2.364839367891846,0.03324863956466064,-0.0024387804097311325,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.058823529411764705
