split_regime,layer,n_seed_rows,mean_auc_same_community,mean_delta_positive_rate_same_minus_diff,mean_same_community_edge_fraction,positive_auc_fraction,positive_delta_fraction,combined_fisher_p_auc_upper,combined_fisher_p_delta_upper,mean_graph_modularity
source_disjoint,0,3,0.5450997483456641,0.080495577421654,0.2820344902859638,1.0,1.0,1.117460637154516e-05,1.117460637154516e-05,0.3583642387357342
source_disjoint,1,3,0.5376375201181736,0.06899342395307843,0.26959179218511237,1.0,1.0,0.00011279625808648474,0.00011279625808648474,0.3526101645497781
source_disjoint,2,3,0.5444395100457009,0.08637036373596092,0.24732591137306267,1.0,1.0,6.039085942824401e-06,6.039085942824401e-06,0.38976096450283126
source_disjoint,3,3,0.5476410949325824,0.09223514192980797,0.25343811394891946,1.0,1.0,0.00042107529336763664,0.00042107529336763664,0.40065015811892907
source_disjoint,4,3,0.5538485947987237,0.10098870331659789,0.2595503165247763,1.0,1.0,8.425967686552764e-05,8.425967686552764e-05,0.4094412085413994
source_disjoint,5,3,0.5360158614672802,0.06890176478515402,0.25649421523684784,1.0,1.0,0.0001501794249641677,0.0001501794249641677,0.41185530009719146
source_disjoint,6,3,0.5437402952450244,0.0819370188930515,0.26304300371098016,1.0,1.0,1.117460637154516e-05,1.117460637154516e-05,0.39850079369764774
source_disjoint,7,3,0.5259949637636654,0.04940263891179475,0.25802226588081206,1.0,1.0,0.003026705016174633,0.003026705016174633,0.39766164282651967
source_disjoint,8,3,0.5368583838059333,0.07239973917118549,0.24055882994979264,1.0,1.0,0.0013000825723057982,0.0013000825723057982,0.386621639401092
source_disjoint,9,3,0.5249288186734447,0.04586969987441347,0.26697227679545954,1.0,1.0,0.002677167795401993,0.002677167795401993,0.3879551285320457
source_disjoint,10,3,0.5264213430593482,0.04930289133217546,0.26195153896529144,1.0,1.0,0.0007322673391952591,0.0007322673391952591,0.3792770157538499
source_disjoint,11,3,0.5418981634587825,0.07590077370022809,0.2759222877101069,1.0,1.0,2.0612552875908235e-05,2.0612552875908235e-05,0.39922056922632176
target_disjoint,0,3,0.5290936470857899,0.051466986369476976,0.2930602957906712,1.0,1.0,0.000805544324637682,0.000805544324637682,0.26628049954613037
target_disjoint,1,3,0.547501912919199,0.0916650947168135,0.259613196814562,1.0,1.0,2.5085585413959318e-05,2.5085585413959318e-05,0.278499827093552
target_disjoint,2,3,0.5326093734726141,0.06355884850312053,0.25506257110352676,1.0,1.0,0.00022684560027221254,0.00022684560027221254,0.29467318814305515
target_disjoint,3,3,0.5315041780851932,0.06243115706460611,0.24459613196814564,1.0,1.0,0.00024219453903608418,0.00024219453903608418,0.29847024096677044
target_disjoint,4,3,0.5469002282019909,0.09046767381328673,0.2605233219567691,1.0,1.0,6.039085942824401e-06,6.039085942824401e-06,0.29859567274783566
target_disjoint,5,3,0.5469781775526096,0.08820436480073213,0.26507394766780434,1.0,1.0,3.789272833950271e-05,3.789272833950271e-05,0.30238652746882994
target_disjoint,6,3,0.5479953112412234,0.08792696161093734,0.27940841865756544,1.0,1.0,1.117460637154516e-05,1.117460637154516e-05,0.3078756797093071
target_disjoint,7,3,0.543704726174465,0.08457006815099959,0.25415244596131964,1.0,1.0,5.006234796878462e-05,5.006234796878462e-05,0.30591033324070965
target_disjoint,8,3,0.5411429313000772,0.07687640034307519,0.2757679180887372,1.0,1.0,1.117460637154516e-05,1.117460637154516e-05,0.30615025628774356
target_disjoint,9,3,0.5314995432589402,0.05922592280751956,0.26234357224118315,1.0,1.0,0.0008344665433076235,0.0008344665433076235,0.3084915153662273
target_disjoint,10,3,0.5520933403445615,0.09440516234639695,0.2844141069397042,1.0,1.0,6.039085942824401e-06,6.039085942824401e-06,0.2863518681064911
target_disjoint,11,3,0.5447585171252616,0.08243333009717285,0.2796359499431172,1.0,1.0,1.117460637154516e-05,1.117460637154516e-05,0.3117849016309584
