domain,seed_tag,split_regime,layer,n_edges,positive_rate,n_unique_genes,pca_dim,knn_k,n_communities,largest_community_fraction,graph_modularity,same_community_edge_fraction,auc_same_community,positive_rate_same_community,positive_rate_diff_community,delta_positive_rate_same_minus_diff,p_auc_upper,p_delta_upper
immune,seed42_main,source_disjoint,0,1527,0.2383759004584152,340,14,20,4,0.3352941176470588,0.36522358266693983,0.3058284217419777,0.5571336445154158,0.30620985010706636,0.20849056603773586,0.0977192840693305,0.0033222591362126247,0.0033222591362126247
immune,seed43,source_disjoint,0,1527,0.2383759004584152,340,14,20,4,0.3176470588235294,0.35263673944975193,0.26653569089718404,0.532429629699621,0.28255528255528256,0.22232142857142856,0.060233853983854,0.006644518272425249,0.006644518272425249
immune,seed44,source_disjoint,0,1527,0.2383759004584152,340,14,20,4,0.2852941176470588,0.3572323940905109,0.2737393582187295,0.5457359708219554,0.29904306220095694,0.21550946798917944,0.0835335942117775,0.0033222591362126247,0.0033222591362126247
immune,seed42_main,source_disjoint,1,1527,0.2383759004584152,340,14,20,4,0.27647058823529413,0.35971010660748104,0.2914210870988867,0.5521635501214177,0.30337078651685395,0.21164510166358594,0.09172568485326801,0.0033222591362126247,0.0033222591362126247
immune,seed43,source_disjoint,1,1527,0.2383759004584152,340,14,20,5,0.3352941176470588,0.3505260358714234,0.24885396201702684,0.5314126973628264,0.28421052631578947,0.22319093286835223,0.06101959344743724,0.023255813953488372,0.023255813953488372
immune,seed44,source_disjoint,1,1527,0.2383759004584152,340,14,20,4,0.31470588235294117,0.3475943511704298,0.2685003274394237,0.5293363128702767,0.2780487804878049,0.22381378692927484,0.054234993558530065,0.013289036544850499,0.013289036544850499
immune,seed42_main,source_disjoint,2,1527,0.2383759004584152,340,14,20,5,0.2852941176470588,0.40944394288475255,0.2429600523903078,0.5406926478508594,0.2991913746630728,0.21885813148788927,0.0803332431751835,0.0033222591362126247,0.0033222591362126247
immune,seed43,source_disjoint,2,1527,0.2383759004584152,340,14,20,5,0.3176470588235294,0.3803494524715849,0.22789783889980353,0.5379560250583466,0.2988505747126437,0.2205258693808312,0.07832470533181249,0.0033222591362126247,0.0033222591362126247
immune,seed44,source_disjoint,2,1527,0.2383759004584152,340,14,20,4,0.31470588235294117,0.37948949815215643,0.27111984282907664,0.5546698572278967,0.3115942028985507,0.21114106019766396,0.10045314270088676,0.0033222591362126247,0.0033222591362126247
immune,seed42_main,source_disjoint,3,1527,0.2383759004584152,340,14,20,5,0.25588235294117645,0.43323318927000637,0.24950884086444008,0.5941069893133522,0.3753280839895013,0.19284467713787085,0.18248340685163045,0.0033222591362126247,0.0033222591362126247
immune,seed43,source_disjoint,3,1527,0.2383759004584152,340,14,20,6,0.3176470588235294,0.39555116570611215,0.23903077930582842,0.5288437916339893,0.2821917808219178,0.22461273666092943,0.057579044160988385,0.016611295681063124,0.016611295681063124
immune,seed44,source_disjoint,3,1527,0.2383759004584152,340,14,20,4,0.3088235294117647,0.37316611938066885,0.27177472167648986,0.5199725038504058,0.26506024096385544,0.22841726618705036,0.03664297477680509,0.08637873754152824,0.08637873754152824
immune,seed42_main,source_disjoint,4,1527,0.2383759004584152,340,14,20,6,0.3058823529411765,0.41761304390630344,0.2593320235756385,0.5894616990919657,0.36363636363636365,0.1945181255526083,0.16911823808375534,0.0033222591362126247,0.0033222591362126247
immune,seed43,source_disjoint,4,1527,0.2383759004584152,340,14,20,6,0.3176470588235294,0.4031097268072625,0.2357563850687623,0.5219756597658575,0.2722222222222222,0.22793487574978577,0.04428734647243643,0.0664451827242525,0.0664451827242525
immune,seed44,source_disjoint,4,1527,0.2383759004584152,340,14,20,5,0.3,0.40760085491063225,0.28356254092992794,0.5501084255383482,0.302540415704388,0.2129798903107861,0.0895605253936019,0.0033222591362126247,0.0033222591362126247
immune,seed42_main,source_disjoint,5,1527,0.2383759004584152,340,14,20,4,0.3411764705882353,0.41043963598318167,0.26981008513425014,0.5230658206797502,0.26941747572815533,0.22690582959641256,0.04251164613174277,0.04318936877076412,0.04318936877076412
immune,seed43,source_disjoint,5,1527,0.2383759004584152,340,14,20,6,0.28823529411764703,0.40715799098276245,0.21872953503601833,0.5349571967155802,0.2964071856287425,0.22212908633696563,0.0742780992917769,0.009966777408637873,0.009966777408637873
