domain,seed_tag,split_regime,layer,n_unique_genes,pca_dim_intrinsic,participation_ratio_dim,local_linearity_top5,delta_auc_geodesic_minus_euclidean
immune,seed42_main,source_disjoint,0,340,64,7.4301926040688775,0.5000659310804226,0.0100453072293141
immune,seed43,source_disjoint,0,340,64,6.554729902942752,0.5134744312625541,0.0038645791010365
immune,seed44,source_disjoint,0,340,64,6.271992667459835,0.5207355157007434,0.0003933083253805
immune,seed42_main,source_disjoint,1,340,64,5.098407111904464,0.5629298773075577,0.0049783621365736
immune,seed43,source_disjoint,1,340,64,4.47330753759486,0.5819740330051617,0.0002881898840626
immune,seed44,source_disjoint,1,340,64,4.2920427925410545,0.5901972190858116,-0.0017338637287047
immune,seed42_main,source_disjoint,2,340,64,4.441658336279067,0.5951459323374635,-0.002020872506685
immune,seed43,source_disjoint,2,340,64,3.93519744179533,0.6145222821962518,0.0070996286602478
immune,seed44,source_disjoint,2,340,64,3.795746543241223,0.6223625290535232,-0.0008574830156945
immune,seed42_main,source_disjoint,3,340,64,4.188469375235245,0.6149269834656259,0.0027567015959105
immune,seed43,source_disjoint,3,340,64,3.7108883494253577,0.634426776600733,0.0106783800893861
immune,seed44,source_disjoint,3,340,64,3.594323742572719,0.6415513383021471,0.0071480540096189
immune,seed42_main,source_disjoint,4,340,64,3.5227602180671376,0.6570436281805002,0.0028240246425973
immune,seed43,source_disjoint,4,340,64,3.1393298424742273,0.675636604251119,0.0148039836345941
immune,seed44,source_disjoint,4,340,64,3.045469949868869,0.6831660280136559,0.0157417818638798
immune,seed42_main,source_disjoint,5,340,64,3.263748313462437,0.6777446832215331,-0.0017929190328157
immune,seed43,source_disjoint,5,340,64,2.9227572799527572,0.697188768677504,0.0081236476335357
immune,seed44,source_disjoint,5,340,64,2.834238316233961,0.7046805192093725,0.009722865268867
immune,seed42_main,source_disjoint,6,340,64,3.0058630427200534,0.7001487901770046,-0.0022960702238432
immune,seed43,source_disjoint,6,340,64,2.7109878979103423,0.717218202935301,0.0077043549743464
immune,seed44,source_disjoint,6,340,64,2.6309250203975427,0.7258379577257023,0.0035055228520404
immune,seed42_main,source_disjoint,7,340,64,2.79699629128107,0.7248922113084143,-0.0005208677822606
immune,seed43,source_disjoint,7,340,64,2.5463841544574985,0.7401841020881054,0.0060094677463551
immune,seed44,source_disjoint,7,340,64,2.4671136919624903,0.7482215960413519,-0.0003543318246671
immune,seed42_main,source_disjoint,8,340,64,2.5150800483455025,0.7553566262783247,0.0019488250356693
immune,seed43,source_disjoint,8,340,64,2.315802040360484,0.7709016858929849,0.0119350769608722
immune,seed44,source_disjoint,8,340,64,2.236122386481075,0.7790134729135949,0.0027992214148705
immune,seed42_main,source_disjoint,9,340,64,1.9653410570008547,0.8147608283887625,0.0043547381251595
immune,seed43,source_disjoint,9,340,64,1.8381311159850708,0.8299344722967568,0.013089017603205
immune,seed44,source_disjoint,9,340,64,1.78473740918909,0.8373369581832278,0.0091181389547684
immune,seed42_main,source_disjoint,10,340,64,1.485208845347096,0.8918774673897153,0.0092929426549375
immune,seed43,source_disjoint,10,340,64,1.4202001868511978,0.9015490323687994,0.0060909640660284
immune,seed44,source_disjoint,10,340,64,1.389713615425852,0.9072037470599843,0.0057673409994991
immune,seed42_main,source_disjoint,11,340,64,1.3280101642464892,0.9267166064849776,0.0054649778424499
immune,seed43,source_disjoint,11,340,64,1.2769542449311866,0.9338039116023583,0.007697268337853
immune,seed44,source_disjoint,11,340,64,1.2552828091522192,0.9383294821186706,0.0030696947076999
immune,seed42_main,target_disjoint,0,227,64,6.476846574810921,0.5139722096783231,0.0043053322411995
immune,seed43,target_disjoint,0,227,64,5.680663655167349,0.5309120514195387,0.0048021013459537
immune,seed44,target_disjoint,0,227,64,6.066630604526314,0.5184772038629919,0.0050536460071392
immune,seed42_main,target_disjoint,1,227,64,4.474579287074662,0.5794544409993534,0.0075842611412796
immune,seed43,target_disjoint,1,227,64,3.910148936023366,0.6030436268603799,0.0119793404726511
immune,seed44,target_disjoint,1,227,64,4.133799782998877,0.5902689024010394,0.0078775192387423
immune,seed42_main,target_disjoint,2,227,64,3.8935360140640163,0.6121012430559613,0.0054631961087683
immune,seed43,target_disjoint,2,227,64,3.4331638606511254,0.6359189877194565,0.0095713375602949
immune,seed44,target_disjoint,2,227,64,3.6261520075286455,0.6238950956469056,0.0081315919869752
immune,seed42_main,target_disjoint,3,227,64,3.645546488276588,0.6332094336875529,0.0112108020103347
immune,seed43,target_disjoint,3,227,64,3.227035393352146,0.65707887572476,0.0120387505182579
immune,seed44,target_disjoint,3,227,64,3.42279281071093,0.6440529198123022,0.0127643115007736
immune,seed42_main,target_disjoint,4,227,64,3.072526171457308,0.6775470352848274,0.0125696487981474
immune,seed43,target_disjoint,4,227,64,2.7446834617763147,0.6995827943024279,0.0210463246670509
immune,seed44,target_disjoint,4,227,64,2.889767425001653,0.6880836499184078,0.0192994165175095
immune,seed42_main,target_disjoint,5,227,64,2.8503734971300743,0.6993810355740613,0.0085120690875628
immune,seed43,target_disjoint,5,227,64,2.558163649167497,0.7217804524263955,0.0177534912882121
immune,seed44,target_disjoint,5,227,64,2.6942121835116586,0.7102789963006274,0.0146490003943815
immune,seed42_main,target_disjoint,6,227,64,2.6328770793871055,0.7212699089937852,0.0119502674716095
immune,seed43,target_disjoint,6,227,64,2.3752889016064858,0.7434600559004678,0.0262541839840629
immune,seed44,target_disjoint,6,227,64,2.4983164451689452,0.7315157811795692,0.013005743813771
immune,seed42_main,target_disjoint,7,227,64,2.455388119910113,0.7457589817191913,0.0110186673947556
immune,seed43,target_disjoint,7,227,64,2.235293873671377,0.7662782822334986,0.0266435093893152
immune,seed44,target_disjoint,7,227,64,2.3345792118310347,0.7544798706192793,0.0142811637290295
immune,seed42_main,target_disjoint,8,227,64,2.234638992931442,0.7763995674083339,0.0192008211226729
immune,seed43,target_disjoint,8,227,64,2.0562927556683026,0.7965385059556632,0.0297404160220045
immune,seed44,target_disjoint,8,227,64,2.1284321995518374,0.7870522115805326,0.0156678194743601
immune,seed42_main,target_disjoint,9,227,64,1.7887760212622024,0.8368728997739349,0.0078787832822658
immune,seed43,target_disjoint,9,227,64,1.6688235752524798,0.8532963693086821,0.0247335396252363
