split_regime,metric,n_seeds,mean_seed_spearman_rho,positive_seed_fraction,p_mean_rho_upper,p_mean_rho_lower,p_mean_rho_two_sided,null_mean_rho_mean,null_mean_rho_std
source_disjoint,local_linearity_top5,3,0.23543123543123548,1.0,0.08563812062645784,0.915361546151283,0.16461179606797735,0.0033698523698523697,0.16970049820475408
source_disjoint,participation_ratio_dim,3,-0.23543123543123548,0.0,0.9113628790403199,0.08930356547817395,0.17594135288237253,-0.003895881895881896,0.17142987654535272
target_disjoint,local_linearity_top5,3,0.407925407925408,1.0,0.005664778407197601,0.9946684438520493,0.01432855714761746,0.000745143745143746,0.1691945960141522
target_disjoint,participation_ratio_dim,3,-0.407925407925408,0.0,0.9896701099633456,0.010996334555148283,0.01899366877707431,-0.0038049728049728048,0.17540803141563763
