domain,split_regime,n_rows,mean_auc_transition_id_gradient,mean_auc_geodesic_baseline,mean_delta_auc_transition_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,9,0.5059816145950783,0.5488083323540748,-0.04282671775899648,0.2222222222222222,0.1111111111111111,0.0801033390326346
external_lung,target_disjoint,9,0.5132027217261219,0.5018797608290125,0.01132296089710938,0.6666666666666666,0.2222222222222222,0.011071212247443655
immune,source_disjoint,9,0.5670122304294419,0.6032164542781143,-0.03620422384867234,0.1111111111111111,0.2222222222222222,0.013545245535001952
immune,target_disjoint,9,0.544315201409806,0.580850084369281,-0.03653488295947499,0.1111111111111111,0.2222222222222222,0.12004728646080452
lung,source_disjoint,9,0.5344621093685862,0.5423531718628741,-0.007891062494287886,0.4444444444444444,0.2222222222222222,0.034840107809830816
lung,target_disjoint,9,0.5093200835339498,0.5208687373663997,-0.011548653832450037,0.4444444444444444,0.2222222222222222,0.04333412138943518
