domain,seed_tag,split_regime,transition_from,transition_to,transition,n_edges_eval,n_positive_eval,n_nodes_graph,auc_transition_id_gradient,auc_geodesic_baseline,delta_auc_transition_minus_baseline,mean_delta_id,std_delta_id,mean_abs_edge_delta_id_gap,p_order_upper,p_endpoint_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,3,0->3,704,337,169,0.5047784991793272,0.5722677253211944,-0.06748922614186725,0.6355251898113351,29.2195710020044,31.41604646405884,0.8,1.0,1.0,0.8
external_lung,seed42_main,source_disjoint,3,7,3->7,704,337,169,0.5110811051188965,0.5829122163018782,-0.07183111118298169,-1.1600361354379687,28.324787936177977,32.08370337520798,0.08,1.0,1.0,0.08
external_lung,seed42_main,source_disjoint,7,11,7->11,704,337,169,0.4829720486097074,0.567004099321631,-0.0840320507119236,-0.2385241168087038,30.697189767296557,30.894267226983796,0.12,1.0,1.0,0.12
external_lung,seed42_main,target_disjoint,0,3,0->3,1014,671,170,0.561109348998275,0.5231997844911863,0.03790956450708871,-5.484773626511011,32.804839987141435,26.96939485992707,0.92,0.04,0.24,0.04
external_lung,seed42_main,target_disjoint,3,7,3->7,1014,671,170,0.5379899458186511,0.5228608795018966,0.01512906631675448,4.858779569239726,29.49832176543872,24.128431991025085,0.4,0.16,0.88,0.16
external_lung,seed42_main,target_disjoint,7,11,7->11,1014,671,170,0.520860036584359,0.5218767515522282,-0.0010167149678692589,-4.772096788015821,32.23815743519969,31.16093401706837,0.2,0.36,0.72,0.2
external_lung,seed43,source_disjoint,0,3,0->3,784,378,170,0.5010946907498631,0.5487984465816979,-0.04770375583183473,1.5118075580433543,31.840946154687263,30.631484116287073,0.16,1.0,1.0,0.16
external_lung,seed43,source_disjoint,3,7,3->7,784,378,170,0.5465830010164985,0.5321956368754399,0.014387364141058567,-1.8091534244165721,31.953014387746396,31.386786043437507,0.72,0.04,0.24,0.04
external_lung,seed43,source_disjoint,7,11,7->11,784,378,170,0.4898610785310293,0.5372650976099251,-0.047404019078895854,-3.0398185805526516,28.824263655777244,29.40867619686957,0.68,1.0,0.8,0.68
external_lung,seed43,target_disjoint,0,3,0->3,1034,686,170,0.49958111323347076,0.49922505948192086,0.0003560537515499007,-1.690102733588995,31.753430974126125,26.731676285742523,0.76,0.4,0.8,0.4
external_lung,seed43,target_disjoint,3,7,3->7,1034,686,170,0.46200906470962777,0.4912389832780403,-0.029229918568412505,-1.1709344056786326,31.555167136741037,33.12548070106297,0.04,0.76,0.64,0.04
external_lung,seed43,target_disjoint,7,11,7->11,1034,686,170,0.4689751516370095,0.47705128849569384,-0.008076136858684357,0.725482784909427,30.52512634129545,31.193887853162515,0.28,0.88,0.56,0.28
external_lung,seed44,source_disjoint,0,3,0->3,759,351,170,0.49640383218814593,0.5423055974526563,-0.04590176526451034,0.9696917881556649,35.60978933206795,34.066774512239306,0.48,1.0,0.72,0.48
external_lung,seed44,source_disjoint,3,7,3->7,759,351,170,0.49809019049215125,0.5366180660298308,-0.0385278755376795,-2.062805049028999,28.95257616658409,26.785341119289015,0.44,0.96,0.68,0.44
external_lung,seed44,source_disjoint,7,11,7->11,759,351,170,0.5229700854700855,0.5199081056924194,0.0030619797776660906,1.7985476396231461,31.5513242095945,28.501454034044105,0.36,0.68,0.2,0.2
external_lung,seed44,target_disjoint,0,3,0->3,1041,684,170,0.5204965026946451,0.4927596769702033,0.027736825724441805,-3.1199353536808108,28.61616756120708,26.309226847301527,0.6,0.12,0.12,0.12
external_lung,seed44,target_disjoint,3,7,3->7,1041,684,170,0.529395383884548,0.4971169754451489,0.03227840843939911,2.217252225286293,29.32618659890751,26.183911415188078,0.72,0.4,0.24,0.24
external_lung,seed44,target_disjoint,7,11,7->11,1041,684,170,0.5184079479745115,0.491588448244795,0.026819499729716534,0.38458482035649744,34.58940415025429,32.38231442172339,0.76,0.4,0.2,0.2
immune,seed42_main,source_disjoint,0,3,0->3,953,240,170,0.5625759700794764,0.5943723702664796,-0.03179640018700325,1.1098005909902033,28.921464960495683,25.486477089718026,0.36,0.16,0.8,0.16
immune,seed42_main,source_disjoint,3,7,3->7,953,240,170,0.5846423562412343,0.5821411874707807,0.002501168770453588,-2.6467109487619003,28.650369130420273,25.528468249250853,0.08,0.08,0.44,0.08
immune,seed42_main,source_disjoint,7,11,7->11,953,240,170,0.5388762272089762,0.5959531323048153,-0.05707690509583907,-1.4110532550131727,27.09382915616497,24.517834361106605,0.52,0.2,0.92,0.2
immune,seed42_main,target_disjoint,0,3,0->3,1111,276,170,0.5659073158031763,0.6113121582921114,-0.04540484248893506,-1.0079608561209918,29.25528489241759,27.395505994160477,0.2,0.44,0.96,0.2
immune,seed42_main,target_disjoint,3,7,3->7,1111,276,170,0.5724529202464635,0.5843139807341837,-0.011861060487720176,-1.018374178224257,24.762744033548568,21.111329956269177,0.52,0.6,0.92,0.52
immune,seed42_main,target_disjoint,7,11,7->11,1111,276,170,0.5621170702074113,0.5848129827301918,-0.02269591252278047,2.945022656228466,26.066176284287252,22.117596402999506,0.16,0.92,0.96,0.16
immune,seed43,source_disjoint,0,3,0->3,920,234,170,0.5493010390969575,0.6032805063417308,-0.053979467244773316,-1.555372357515968,28.855597844525803,21.137086499977766,0.04,0.36,1.0,0.04
immune,seed43,source_disjoint,3,7,3->7,920,234,170,0.5830966086068127,0.6062956318058359,-0.023199023199023228,1.2143047034916403,31.988760836689583,27.99553552962171,0.08,0.16,0.8,0.08
immune,seed43,source_disjoint,7,11,7->11,920,234,170,0.5452611447509407,0.6070774463631606,-0.06181630161221996,-0.807678763640562,33.438478227683476,27.933220448204953,0.04,0.52,1.0,0.04
immune,seed43,target_disjoint,0,3,0->3,1082,274,170,0.5880406699429066,0.5575065946375659,0.03053407530534069,-2.5212994479595308,22.18687391902031,17.561225920526432,0.76,0.04,0.24,0.04
immune,seed43,target_disjoint,3,7,3->7,1082,274,170,0.49677946809279466,0.5639589506395895,-0.06717948254679479,3.0102506457329516,22.04002574748991,20.436164915478457,0.2,0.04,1.0,0.04
