domain,split_regime,n_rows,mean_auc_topology_score,mean_auc_distance_baseline,mean_delta_auc_topology_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.5225768037271128,0.5468447943732327,-0.024267990646120053,0.0,0.0,0.7176084935976543
external_lung,target_disjoint,6,0.49415379822415967,0.5025070203343888,-0.008353222110229172,0.3333333333333333,0.0,0.08645992015995028
immune,source_disjoint,6,0.570976919998581,0.6018460701378799,-0.030869150139298956,0.16666666666666666,0.0,0.2685360115643973
immune,target_disjoint,6,0.5697648377134334,0.5679975686444835,0.0017672690689500097,0.5,0.16666666666666666,0.13532598962902773
lung,source_disjoint,6,0.5340310236816485,0.544796184673739,-0.010765160992090664,0.16666666666666666,0.0,0.17377892048126792
lung,target_disjoint,6,0.5448408269062311,0.51548874051705,0.02935208638918102,0.8333333333333334,0.5,0.0014729284383575715
