domain,split_regime,n_rows,mean_auc_transfer,mean_auc_baseline,mean_delta_auc_transfer_minus_baseline,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best,mean_alignment_diag_cosine
external_lung,source_disjoint,2,0.40711663251366126,0.37606941598360655,0.031047216530054683,-0.181118831113388,1.0,0.0,0.0,0.19375460486756385,0.04364849294482981
external_lung,target_disjoint,2,0.4092771770062607,0.37566242964649343,0.0336147473597673,-0.18325681401378613,1.0,0.0,0.0,0.22200380416974472,0.04364849294482981
immune,source_disjoint,2,0.5709711432602999,0.4800101306125403,0.0909610126477596,0.0002893168555818809,1.0,0.5,1.0,0.011900402639578249,-0.029172612899949962
immune,target_disjoint,2,0.550748727690612,0.46077241492530313,0.08997631276530882,-0.0071954372757334,1.0,0.0,1.0,0.011900402639578249,-0.029172612899949962
lung,source_disjoint,2,0.4083399593603675,0.39562961206355407,0.012710347296813446,-0.19996326623609118,0.5,0.0,0.0,0.2820582915446604,0.07628824266619769
lung,target_disjoint,2,0.4007371217299447,0.3736445970297645,0.027092524700180254,-0.20413650344870443,1.0,0.0,0.0,0.14214462003783712,0.07628824266619769
