hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_torsion_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_path_reversal_upper,p_endpoint_swap_upper,p_label_upper,p_best_upper,mean_turning_gap,mean_torsion_abs_gap
H126,external_lung,seed42_main,source_disjoint,7,240,115,0.852591304347826,0.8680347826086956,0.015443478260869559,0.026869565217391256,-0.011426086956521697,0.64,0.04,0.2,0.04,0.008045090994509665,-0.0010028652114771387
H126,external_lung,seed42_main,source_disjoint,11,240,115,0.7951304347826086,0.8121739130434782,0.017043478260869604,0.03421565217391295,-0.017172173913043348,0.36,0.12,0.4,0.12,-0.00019830421738121218,-0.06277975892963421
H126,external_lung,seed42_main,target_disjoint,7,240,159,0.831896886404224,0.8228899759298083,-0.009006910474415708,0.025852162434971567,-0.03485907290938728,0.92,0.64,0.04,0.04,-0.02282500225217647,0.07299291111534714
H126,external_lung,seed42_main,target_disjoint,11,240,159,0.817454771333178,0.8482025001941145,0.030747728860936463,0.022622097988974348,0.008125630871962115,0.04,0.04,0.12,0.04,0.00230183212373599,-0.041881886948420814
H126,immune,seed42_main,source_disjoint,7,240,60,0.860925925925926,0.9481481481481482,0.0872222222222222,0.059013888888888914,0.028208333333333287,0.04,0.04,0.08,0.04,-0.003208327660598358,0.03652597350944211
H126,immune,seed42_main,source_disjoint,11,240,60,0.8191666666666667,0.9338888888888889,0.11472222222222217,0.1077824074074075,0.0069398148148146765,0.04,0.04,0.2,0.04,-0.009649956961254643,0.0028262204382950647
H126,immune,seed42_main,target_disjoint,7,240,60,0.8773148148148149,0.9205555555555555,0.04324074074074058,0.06267129629629632,-0.019430555555555742,0.04,0.04,0.32,0.04,-0.017407691883366654,-0.00023033276366838385
H126,immune,seed42_main,target_disjoint,11,240,60,0.8903703703703705,0.9043518518518519,0.013981481481481373,0.06541435185185178,-0.05143287037037041,0.04,0.04,0.44,0.04,-0.010121910465764753,-0.023231948922978182
H126,lung,seed42_main,source_disjoint,7,240,119,0.798180429196472,0.840475032988402,0.04229460379192995,0.056330300715327346,-0.014035696923397394,0.84,0.04,0.04,0.04,-0.004563126006370584,0.07999097033278453
H126,lung,seed42_main,source_disjoint,11,240,119,0.7740815334398222,0.8215153830127091,0.04743384957288688,0.03927008820056944,0.00816376137231744,0.12,0.04,0.08,0.04,-0.003925988466619989,-0.04667533333797727
H126,lung,seed42_main,target_disjoint,7,240,153,0.7652317632033656,0.840057095635189,0.07482533243182343,0.06887160994666068,0.005953722485162752,0.12,0.04,0.04,0.04,0.03128500998625696,0.07609967831100371
H126,lung,seed42_main,target_disjoint,11,240,153,0.779580797836376,0.8320937570430471,0.052512959206671095,0.04811434152204935,0.004398617684621742,0.04,0.04,0.16,0.04,0.017804817841123543,0.007913074214022273
