domain,n_rows,mean_delta_vs_h70,mean_null_gap_q95,mean_cycle_consistency_error,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,4,-0.00957233387553097,-0.024043034850174543,0.8707445432864015,0.25,0.0,0.04137822893285386
immune,4,0.3266737757961642,-0.018943316334333327,0.7087158216725601,1.0,0.0,0.0004795903051864635
lung,4,-0.021437667684982342,-0.01568225119849713,0.7043599261055712,0.25,0.0,0.029996996531433395
