hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_signed_string_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_tf_sign_upper,p_motif_decoy_upper,p_string_bin_upper,p_label_upper,p_best_upper,motif_coverage,string_conf_mean,same_community_rate
H124,external_lung,seed42_main,dual_axis_disjoint,11,240,203,0.8645985887365198,0.9426174943416322,0.07801890560511238,0.0886699507389162,-0.010651045133803827,0.015384615384615385,0.015384615384615385,0.8769230769230769,0.015384615384615385,0.015384615384615385,0.4875,0.46905,0.8333333333333334
H124,external_lung,seed42_main,source_disjoint,11,240,109,0.8242173821696197,0.9603613698438266,0.13614398767420688,0.13532110091743133,0.0008228867567755538,0.015384615384615385,0.015384615384615385,0.12307692307692308,0.046153846153846156,0.015384615384615385,0.29583333333333334,0.40353333333333335,0.14166666666666666
H124,external_lung,seed42_main,target_disjoint,11,240,149,0.8198244708311823,0.9503650711704402,0.13054060033925796,0.13035622096024777,0.00018437937901019663,0.015384615384615385,0.015384615384615385,0.2153846153846154,0.015384615384615385,0.015384615384615385,0.37916666666666665,0.4121208333333333,0.37083333333333335
H124,immune,seed42_main,dual_axis_disjoint,11,240,58,0.8161235316407731,0.9551913603637741,0.13906782872300094,0.13354964001515715,0.005518188707843791,0.015384615384615385,0.015384615384615385,0.07692307692307693,0.015384615384615385,0.015384615384615385,0.15,0.18089583333333334,0.7166666666666667
H124,immune,seed42_main,source_disjoint,11,240,58,0.8741947707464949,0.962675255778704,0.08848048503220918,0.08971201212580515,-0.0012315270935959743,0.015384615384615385,0.015384615384615385,0.18461538461538463,0.09230769230769231,0.015384615384615385,0.16666666666666666,0.22766666666666666,0.1375
H124,immune,seed42_main,target_disjoint,11,240,58,0.8611216369837059,0.9483232284956421,0.08720159151193618,0.10781782872300097,-0.020616237211064786,0.03076923076923077,0.015384615384615385,0.9384615384615385,0.13846153846153847,0.015384615384615385,0.17916666666666667,0.207825,0.7375
H124,lung,seed42_main,dual_axis_disjoint,11,220,173,0.8295412618374124,0.9551100725618005,0.12556881072438808,0.1294121264297135,-0.003843315705325423,0.046153846153846156,0.015384615384615385,0.5076923076923077,0.015384615384615385,0.015384615384615385,0.4954545454545455,0.4914954545454545,0.19090909090909092
H124,lung,seed42_main,source_disjoint,11,240,113,0.8060065500661975,0.9630687756950734,0.15706222562887595,0.15735837223886834,-0.00029614660999238707,0.015384615384615385,0.015384615384615385,0.24615384615384617,0.015384615384615385,0.015384615384615385,0.3125,0.36097083333333335,0.5791666666666667
H124,lung,seed42_main,target_disjoint,11,240,144,0.8289930555555556,0.9444444444444444,0.11545138888888884,0.11348017939814806,0.001971209490740783,0.015384615384615385,0.015384615384615385,0.12307692307692308,0.015384615384615385,0.015384615384615385,0.3875,0.3997083333333334,0.5458333333333333
H124,external_lung,seed43,dual_axis_disjoint,11,240,194,0.764567458538772,0.9404975347377857,0.1759300761990138,0.17615419094576412,-0.00022411474675032572,0.015384615384615385,0.015384615384615385,0.24615384615384617,0.015384615384615385,0.015384615384615385,0.4791666666666667,0.5230291666666668,0.42083333333333334
H124,external_lung,seed43,source_disjoint,11,240,105,0.7673368606701939,0.9572486772486773,0.18991181657848344,0.19301587301587309,-0.003104056437389646,0.015384615384615385,0.015384615384615385,0.49230769230769234,0.015384615384615385,0.015384615384615385,0.26666666666666666,0.3388291666666667,0.48333333333333334
H124,external_lung,seed43,target_disjoint,11,240,152,0.7990056818181818,0.9488636363636362,0.14985795454545447,0.14897951555023922,0.0008784389952152527,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.015384615384615385,0.015384615384615385,0.4083333333333333,0.37990416666666665,0.37916666666666665
H124,immune,seed43,dual_axis_disjoint,11,240,60,0.8557407407407408,0.9741666666666666,0.11842592592592582,0.1143055555555555,0.00412037037037033,0.015384615384615385,0.015384615384615385,0.06153846153846154,0.015384615384615385,0.015384615384615385,0.16666666666666666,0.22510416666666666,0.6541666666666667
H124,immune,seed43,source_disjoint,11,240,60,0.8907407407407407,0.980925925925926,0.09018518518518526,0.10344907407407414,-0.01326388888888888,0.015384615384615385,0.015384615384615385,0.4307692307692308,0.38461538461538464,0.015384615384615385,0.175,0.221025,0.25
H124,immune,seed43,target_disjoint,11,240,59,0.8274182975934077,0.9684427380840903,0.14102444049068263,0.1402753066766551,0.000749133814027525,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.07692307692307693,0.015384615384615385,0.15416666666666667,0.18844583333333328,0.19583333333333333
H124,lung,seed43,dual_axis_disjoint,11,196,163,0.6986428704220117,0.9089050009295407,0.21026213050752907,0.21372467001301343,-0.0034625395054843633,0.015384615384615385,0.015384615384615385,0.4307692307692308,0.015384615384615385,0.015384615384615385,0.5357142857142857,0.500280612244898,0.3673469387755102
H124,lung,seed43,source_disjoint,11,240,111,0.7877645086947412,0.9498568335777638,0.1620923248830226,0.1657937006774216,-0.0037013757943989978,0.015384615384615385,0.015384615384615385,0.6615384615384615,0.015384615384615385,0.015384615384615385,0.3,0.3165833333333333,0.3375
H124,lung,seed43,target_disjoint,11,240,148,0.8135282021151586,0.9368390129259694,0.12331081081081074,0.12222752643948295,0.0010832843713277918,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.015384615384615385,0.015384615384615385,0.3416666666666667,0.42075416666666665,0.7333333333333333
H124,external_lung,seed44,dual_axis_disjoint,11,239,198,0.8000739098300075,0.9174673564917468,0.11739344666173934,0.11917960088691784,-0.001786154225178499,0.015384615384615385,0.015384615384615385,0.2923076923076923,0.015384615384615385,0.015384615384615385,0.4811715481171548,0.4988242677824268,0.698744769874477
H124,external_lung,seed44,source_disjoint,11,240,102,0.7989485649332198,0.9437340153452686,0.14478545041204882,0.1367043194089229,0.008081131003125935,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.25,0.29933333333333334,0.775
H124,external_lung,seed44,target_disjoint,11,240,149,0.8457113356442214,0.9442436757873,0.09853234014307855,0.10207242422007537,-0.0035400840769968245,0.015384615384615385,0.015384615384615385,0.49230769230769234,0.03076923076923077,0.015384615384615385,0.3625,0.389,0.325
H124,immune,seed44,dual_axis_disjoint,11,240,59,0.8777039048600057,0.9899803352373817,0.112276430377376,0.10721977713269026,0.005056653244685738,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.015384615384615385,0.1625,0.20891666666666664,0.7
H124,immune,seed44,source_disjoint,11,240,59,0.8443206292724037,0.9434403970409214,0.09911976776851772,0.10427006273995698,-0.005150294971439262,0.03076923076923077,0.015384615384615385,0.36923076923076925,0.06153846153846154,0.015384615384615385,0.16666666666666666,0.22528749999999995,0.6416666666666667
H124,immune,seed44,target_disjoint,11,240,59,0.8470362393482536,0.9405843243749415,0.09354808502668799,0.09442597621500137,-0.0008778911883133844,0.015384615384615385,0.015384615384615385,0.3076923076923077,0.046153846153846156,0.015384615384615385,0.15416666666666667,0.22208333333333333,0.19583333333333333
H124,lung,seed44,dual_axis_disjoint,11,215,169,0.7831232312837664,0.9400565989194752,0.15693336763570886,0.15940957036274767,-0.002476202727038801,0.015384615384615385,0.015384615384615385,0.36923076923076925,0.015384615384615385,0.015384615384615385,0.4883720930232558,0.4845581395348837,0.3953488372093023
H124,lung,seed44,source_disjoint,11,240,114,0.7863408521303259,0.9447925368978001,0.15845168476747418,0.15222082985240876,0.00623085491506542,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.3125,0.3216625,0.43333333333333335
H124,lung,seed44,target_disjoint,11,240,138,0.8091787439613527,0.9459363455527139,0.1367576015913612,0.13801861324239845,-0.0012610116510372582,0.015384615384615385,0.015384615384615385,0.3230769230769231,0.015384615384615385,0.015384615384615385,0.37083333333333335,0.37869166666666665,0.2375
