hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_transfer,auc_baseline,delta_vs_h70,transfer_delta_auc_vs_h70,q95_null_delta_auc,null_gap_q95,cycle_consistency_error,alignment_rmse_train,cycle_rmse_train,p_anchor_upper,p_random_upper,p_label_upper,p_best_upper
H125,external_lung,seed42_main,source_disjoint,7,994,610,0.6362107240437158,0.6366248292349727,-0.00041410519125684164,-0.00041410519125684164,0.02049713968579231,-0.02091124487704915,0.8475069936764018,1.0473759738099793,0.7021138547193415,1.0,0.12121212121212122,0.21212121212121213,0.12121212121212122
H125,external_lung,seed42_main,source_disjoint,11,994,610,0.6207821038251365,0.6366248292349727,-0.01584272540983611,-0.01584272540983611,0.0038934426229507713,-0.019736168032786883,0.8939820928964012,1.0354902669004464,0.7408220617608089,1.0,0.09090909090909091,0.2727272727272727,0.09090909090909091
H125,external_lung,seed42_main,target_disjoint,7,817,502,0.6366280908113577,0.6211819389110226,0.015446151900335159,0.015446151900335159,0.029717637386960177,-0.014271485486625018,0.8475069936764018,1.0473759738099793,0.7021138547193415,1.0,0.12121212121212122,0.21212121212121213,0.12121212121212122
H125,external_lung,seed42_main,target_disjoint,11,817,502,0.5837032821096565,0.6211819389110226,-0.037478656801366084,-0.037478656801366084,0.003774584202871037,-0.04125324100423712,0.8939820928964012,1.0354902669004464,0.7408220617608089,1.0,0.24242424242424243,0.6363636363636364,0.24242424242424243
H125,immune,seed42_main,source_disjoint,7,1026,249,0.601099378207812,0.3249988370470298,0.2761005411607822,0.2761005411607822,0.3067443519250749,-0.030643810764292678,0.7060460380931024,1.056880922532595,0.7146284205457505,1.0,0.24242424242424243,0.030303030303030304,0.030303030303030304
H125,immune,seed42_main,source_disjoint,11,1026,249,0.6524812247703814,0.3249988370470298,0.3274823877233516,0.3274823877233516,0.32968166100696217,-0.002199273283610581,0.7113856052520179,1.040783377748793,0.687154844759867,0.9393939393939394,0.09090909090909091,0.030303030303030304,0.030303030303030304
H125,immune,seed42_main,target_disjoint,7,943,244,0.6080847346326133,0.2825934004080771,0.32549133422453613,0.32549133422453613,0.36216110837496196,-0.03666977415042583,0.7060460380931024,1.056880922532595,0.7146284205457505,1.0,0.2727272727272727,0.030303030303030304,0.030303030303030304
H125,immune,seed42_main,target_disjoint,11,943,244,0.6602142404840639,0.2825934004080771,0.37762084007598673,0.37762084007598673,0.38388124721499095,-0.00626040713900422,0.7113856052520179,1.040783377748793,0.687154844759867,1.0,0.15151515151515152,0.030303030303030304,0.030303030303030304
H125,lung,seed42_main,source_disjoint,7,970,627,0.6127377813736568,0.6271476464816959,-0.0144098651080391,-0.0144098651080391,-0.004038970338648085,-0.010370894769391015,0.6767838670729803,1.0486247055461992,0.6384707192019005,0.696969696969697,0.12121212121212122,0.30303030303030304,0.12121212121212122
H125,lung,seed42_main,source_disjoint,11,970,627,0.5967330199338793,0.6271476464816959,-0.03041462654781657,-0.03041462654781657,-0.008516188430259364,-0.021898438117557206,0.731935985138162,1.0495741544063864,0.676843526798143,1.0,0.18181818181818182,0.3939393939393939,0.18181818181818182
H125,lung,seed42_main,target_disjoint,7,750,484,0.643237743118126,0.6420648729261169,0.0011728701920090678,0.0011728701920090678,0.009614040265954193,-0.008441170073945126,0.6767838670729803,1.0486247055461992,0.6384707192019005,0.9090909090909091,0.21212121212121213,0.06060606060606061,0.06060606060606061
H125,lung,seed42_main,target_disjoint,11,750,484,0.5999658236500341,0.6420648729261169,-0.04209904927608277,-0.04209904927608277,-0.020080547442987595,-0.022018501833095172,0.731935985138162,1.0495741544063864,0.676843526798143,1.0,0.15151515151515152,0.30303030303030304,0.15151515151515152
