domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,n_knn_edges,auc_directed_signed,auc_distance_only,delta_auc_directed_minus_distance,null_degree_mean_delta,null_sign_mean_delta,null_label_mean_delta,null_metric_mean_delta,p_degree_upper,p_sign_upper,p_label_upper,p_metric_upper,p_best_upper,orientation_entropy,sign_balance,knn_density,degree_assortativity,margin_iqr
external_lung,seed42_main,source_disjoint,7,610,304,149,1060,0.5097770467836257,0.5300352597179223,-0.020258212934296638,-0.032866098399337865,-0.03593175551470594,0.009484699513028872,-0.08959591409206225,0.2153846153846154,0.09230769230769231,0.9692307692307692,0.015384615384615385,0.015384615384615385,0.4689955935892811,0.8,0.09613640486123708,-0.21394805185205437,0.0
external_lung,seed42_main,source_disjoint,11,610,304,149,1070,0.5011663656690747,0.5136362659098728,-0.012469900240798082,-0.014109094158496777,-0.023986501467363298,0.00668846211730306,-0.09778046189692982,0.4461538461538462,0.15384615384615385,0.9230769230769231,0.015384615384615385,0.015384615384615385,0.4660260267937596,0.8018691588785047,0.09704335207690912,-0.2088793852772769,0.0
external_lung,seed42_main,target_disjoint,7,869,610,150,1074,0.5223273624912969,0.512750807013102,0.009576555478194804,-0.012058862507120667,0.0015726865624407062,-0.0017768134059117776,-0.01337406639660738,0.09230769230769231,0.15384615384615385,0.16923076923076924,0.15384615384615385,0.09230769230769231,0.4249914824042952,0.8268156424581006,0.09610738255033557,-0.14315106246567116,0.0
external_lung,seed42_main,target_disjoint,11,869,610,150,1088,0.5259573390720932,0.5076587125767453,0.01829862649534786,-0.0034743595322488377,0.002519542376099802,0.0029513339451864165,-0.009836312820431674,0.07692307692307693,0.046153846153846156,0.13846153846153847,0.046153846153846156,0.046153846153846156,0.4488644887230294,0.8125,0.09736017897091723,-0.15999809206622126,0.0
external_lung,seed43,source_disjoint,7,657,321,150,1102,0.5353387850467289,0.5310228452751817,0.004315939771547206,-0.031016760773624103,-0.025318262892189615,-0.00227386515353807,-0.08778168344830144,0.03076923076923077,0.015384615384615385,0.2923076923076923,0.015384615384615385,0.015384615384615385,0.4938094968956257,0.7840290381125228,0.09861297539149888,-0.2160068283405814,0.0
external_lung,seed43,source_disjoint,11,657,321,150,1105,0.5233644859813084,0.5247042352766652,-0.0013397492953568513,-0.025961191890112784,-0.02101231908748708,-0.005859737172711761,-0.09527749962913513,0.07692307692307693,0.015384615384615385,0.38461538461538464,0.015384615384615385,0.015384615384615385,0.46467769885753274,0.8027149321266969,0.09888143176733781,-0.17785921023528845,0.0
external_lung,seed43,target_disjoint,7,905,627,150,1087,0.5369637304510457,0.5088379057519534,0.028125824699092306,-0.006431173840831588,0.013752529674824779,-0.002712677346161342,-0.010314699795187773,0.015384615384615385,0.13846153846153847,0.03076923076923077,0.046153846153846156,0.015384615384615385,0.4430984036235035,0.8160073597056117,0.09727069351230425,-0.18777489304420578,0.0
external_lung,seed43,target_disjoint,11,905,627,150,1104,0.5322019896044887,0.5121424391587208,0.020059550445767904,-0.01642585453168559,0.002845391151193922,-0.009961244521129484,-0.006906944540061745,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.43538044374872725,0.8206521739130435,0.09879194630872483,-0.1491820324317309,0.0
external_lung,seed44,source_disjoint,7,652,327,149,1066,0.519369560103505,0.5129381322041872,0.006431427899317832,-0.014169607151258437,-0.007872706422018245,0.002515878616796056,-0.09484466890143495,0.12307692307692308,0.09230769230769231,0.35384615384615387,0.015384615384615385,0.015384615384615385,0.5104086155662142,0.7729831144465291,0.0966805731906403,-0.17520687498055493,0.0
external_lung,seed44,source_disjoint,11,652,327,149,1073,0.5044083745001176,0.5075088214537756,-0.003100446953658076,-0.005476064455422278,-0.009804825335215272,-0.009963170430486924,-0.09612466184427193,0.4461538461538462,0.27692307692307694,0.3384615384615385,0.015384615384615385,0.015384615384615385,0.513730910417173,0.7707362534948743,0.09731543624161074,-0.1571406218107688,0.0
external_lung,seed44,target_disjoint,7,902,626,150,1072,0.5072434828911423,0.48474035745705424,0.022503125434088056,0.01740923761112652,0.017512017004676545,0.004338122409941206,-0.024290347400680663,0.35384615384615387,0.23076923076923078,0.09230769230769231,0.015384615384615385,0.015384615384615385,0.44733604448548553,0.8134328358208955,0.09592841163310963,-0.2063368023042784,0.0
external_lung,seed44,target_disjoint,11,902,626,150,1099,0.5035421586331434,0.4875850812612863,0.015957077371857142,0.010596632344770094,0.011667382911978497,-0.0036528510904292244,-0.022492996712506343,0.38461538461538464,0.36923076923076925,0.046153846153846156,0.015384615384615385,0.015384615384615385,0.42756929392170756,0.8252957233848954,0.09834451901565995,-0.10748171634651488,0.0
immune,seed42_main,source_disjoint,7,853,217,150,1071,0.5254470625742689,0.5262223574761615,-0.0007752949018926536,-0.02601919353027275,-0.028713479172101,-0.007983510944700432,-0.03650594015375474,0.09230769230769231,0.015384615384615385,0.3230769230769231,0.046153846153846156,0.015384615384615385,0.35902156388673834,0.8636788048552755,0.09583892617449664,-0.16401198232480635,0.0
immune,seed42_main,source_disjoint,11,853,217,150,1088,0.5193533895603282,0.5237624264556705,-0.004409036895342333,-0.0267267859860012,-0.037702507300089824,-0.004364543481726228,-0.0403704138951685,0.12307692307692308,0.03076923076923077,0.5076923076923077,0.09230769230769231,0.03076923076923077,0.3264224759228385,0.880514705882353,0.09736017897091723,-0.24184532851465101,0.0
immune,seed42_main,target_disjoint,7,935,243,150,1140,0.5379082518613667,0.5189050643450129,0.01900318751635377,-0.017006297351863715,-0.013684001016912842,-0.014039604593353763,-0.029329257504935875,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.3295306629422638,0.8789473684210527,0.10201342281879194,-0.16091959252235308,0.0
immune,seed42_main,target_disjoint,11,935,243,150,1124,0.53406063417303,0.514813625443041,0.019247008729988968,-0.011439061793810525,-0.0041722325548895186,-0.003198248575727313,-0.030882316866481123,0.06153846153846154,0.046153846153846156,0.046153846153846156,0.015384615384615385,0.015384615384615385,0.32233814326870436,0.8825622775800712,0.10058165548098434,-0.17142526165184446,0.0
immune,seed43,source_disjoint,7,820,213,150,1087,0.5723445560789227,0.5309534306332228,0.041391125445699894,-0.03240624589105199,-0.008230585462251841,-0.0010379323580140733,-0.02214632350666328,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.2771413358244037,0.904323827046918,0.09727069351230425,-0.22052119338026147,0.0
immune,seed43,source_disjoint,11,820,213,150,1096,0.5415806204608209,0.5247000951342322,0.01688052532658868,-0.023128664214833332,-0.01994682779543834,0.003936009660378532,-0.024953520546673776,0.03076923076923077,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.015384615384615385,0.2754438295277747,0.9051094890510949,0.09807606263982104,-0.2328929090649465,0.0
immune,seed43,target_disjoint,7,913,243,150,1133,0.5496591118481665,0.52079724832627,0.02886186352189657,-0.01881151725938216,-0.005470717400651118,-0.0014655215435169884,-0.02474418992997974,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.34478770167591155,0.8711385701676964,0.10138702460850112,-0.1628065317884467,0.0
immune,seed43,target_disjoint,11,913,243,150,1153,0.5307045021804558,0.5114458571340826,0.019258645046373202,-0.015204408129107498,0.004607268441741951,0.011169653276825758,-0.025568098934340623,0.03076923076923077,0.1076923076923077,0.3230769230769231,0.03076923076923077,0.03076923076923077,0.3163978830964005,0.8855160450997399,0.10317673378076063,-0.17874427088331485,0.0
immune,seed44,source_disjoint,7,849,221,150,1079,0.5477959189555293,0.535892872582644,0.011903046372885306,-0.03394757201631257,-0.034599364228175236,-0.0030182049240568016,-0.03640117931665562,0.03076923076923077,0.015384615384615385,0.16923076923076924,0.046153846153846156,0.015384615384615385,0.29051642080974416,0.8980537534754403,0.09655480984340045,-0.19615743829757554,0.0
immune,seed44,source_disjoint,11,849,221,150,1110,0.5580813903219299,0.5385984379052943,0.019482952416635668,-0.03585988612127835,-0.033991310037611154,-0.006208209643485031,-0.03482182582427876,0.015384615384615385,0.015384615384615385,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.2883073653267928,0.899099099099099,0.09932885906040269,-0.16653999427547828,0.0
immune,seed44,target_disjoint,7,949,243,150,1141,0.5225200806724256,0.5201331328180556,0.002386947854369992,-0.023734229094533554,-0.025520614748364916,-0.015492665017078768,-0.040473465970692124,0.09230769230769231,0.015384615384615385,0.07692307692307693,0.046153846153846156,0.015384615384615385,0.29727986954225916,0.894829097283085,0.10210290827740492,-0.17877533263590498,0.0
immune,seed44,target_disjoint,11,949,243,150,1151,0.5233536180183961,0.5229339348791663,0.0004196831392297984,-0.017986446274729305,-0.020000023680038316,-0.009227655515918799,-0.04985659004534909,0.15384615384615385,0.09230769230769231,0.24615384615384617,0.015384615384615385,0.015384615384615385,0.29537112576423147,0.8957428323197221,0.10299776286353468,-0.15708295703915728,0.0
lung,seed42_main,source_disjoint,7,593,310,149,1122,0.5088852160036477,0.5114783996352444,-0.002593183631596774,-0.013693202866750197,-0.01021493502792653,-0.0021677839678559286,-0.0522091929784566,0.16923076923076924,0.27692307692307694,0.5538461538461539,0.015384615384615385,0.015384615384615385,0.4453908554468218,0.8146167557932265,0.10175947759840377,-0.16984845854718195,0.0
lung,seed42_main,source_disjoint,11,593,310,149,1126,0.5354781716630571,0.5178103271400889,0.017667844522968212,-0.01801763934799954,-0.00846311125042742,-0.002350339821041811,-0.052392194089821056,0.015384615384615385,0.015384615384615385,0.18461538461538463,0.015384615384615385,0.015384615384615385,0.455910215509437,0.808170515097691,0.10212225648467259,-0.14951999491817772,0.0
lung,seed42_main,target_disjoint,7,759,522,148,1083,0.558813068852353,0.5147275166917245,0.044085552160628594,-0.017158590074688382,-0.0005508546930824273,0.008836093227120631,-0.028828335919944402,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.47395181070183223,0.7968605724838411,0.09955874241588528,-0.19000698840829092,0.09999999999999998
lung,seed42_main,target_disjoint,11,759,522,148,1086,0.5477310571156053,0.5043042824579271,0.04342677465767819,-0.002239161493444543,0.009634305232229187,0.012927561250141478,-0.03315989904133729,0.015384615384615385,0.015384615384615385,0.06153846153846154,0.015384615384615385,0.015384615384615385,0.46136018485204267,0.8047882136279927,0.09983452840595698,-0.19465043424201092,0.09999999999999995
lung,seed43,source_disjoint,7,647,333,149,1122,0.5149958876073526,0.5207436736099156,-0.005747786002562982,-0.022655741928233903,-0.010898961262217559,0.00799607828369769,-0.0502031689332645,0.15384615384615385,0.2923076923076923,0.7692307692307693,0.03076923076923077,0.03076923076923077,0.4933757335098128,0.7843137254901962,0.10175947759840377,-0.12789831150808958,0.0
lung,seed43,source_disjoint,11,647,333,149,1129,0.503237313746868,0.5140203898165682,-0.010783076069700193,-0.015409816663797572,-0.006928380410665435,0.008538146028193801,-0.04163588349495996,0.4461538461538462,0.676923076923077,0.9384615384615385,0.13846153846153847,0.13846153846153847,0.4994081343827484,0.7803365810451728,0.10239434064937421,-0.13990316090993316,0.0
