domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,n_nodes_graph,auc_anisotropy_tail,auc_geodesic_distance_baseline,delta_auc_anisotropy_minus_baseline,null_swap_mean_delta,null_neighborhood_mean_delta,null_label_mean_delta,p_swap_upper,p_neighborhood_upper,p_label_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,704,337,169,0.5496123028161612,0.5785177758552382,-0.02890547303907698,-0.07294639752908745,-0.0708542881168186,0.013855761015747758,0.04,0.12,1.0,0.04
external_lung,seed42_main,source_disjoint,3,704,337,169,0.530069777407644,0.5761527826065864,-0.04608300519894237,-0.08382486113244773,-0.08473413702676554,0.01117695135525564,0.04,0.08,1.0,0.04
external_lung,seed42_main,source_disjoint,7,704,337,169,0.5625166762344456,0.5846788864722385,-0.022162210237792968,-0.09705551602670347,-0.09755647684732242,0.041675257454108335,0.04,0.12,1.0,0.04
external_lung,seed42_main,source_disjoint,11,704,337,169,0.5811132043435021,0.568427137994324,0.012686066349178127,-0.048852607691416174,-0.05171873020749948,0.049778391373367085,0.04,0.12,1.0,0.04
external_lung,seed42_main,target_disjoint,0,1014,671,170,0.5806963194049176,0.5140493497803635,0.06664696962455408,0.014282346960500144,-0.00888856181178032,0.022871289243821858,0.04,0.08,0.04,0.04
external_lung,seed42_main,target_disjoint,3,1014,671,170,0.567409505850456,0.5218528544055476,0.04555665144490839,0.00637420179909307,-0.03108801536369286,0.020970017770787257,0.04,0.04,0.12,0.04
external_lung,seed42_main,target_disjoint,7,1014,671,170,0.5650893101545493,0.5233562021785507,0.04173310797599861,0.008710328926120225,-0.0027184814739180017,0.03166969363857954,0.04,0.04,0.36,0.04
external_lung,seed42_main,target_disjoint,11,1014,671,170,0.5427172359256669,0.512220131825351,0.03049710410031592,0.0017963593783265734,-0.007898550094936866,0.015315808034944858,0.04,0.12,0.28,0.04
external_lung,seed43,source_disjoint,0,784,378,170,0.45907290119112776,0.5478731722574087,-0.08880027106628097,-0.07210691588257272,-0.08848845253299277,-0.06962879340752903,0.88,0.52,0.88,0.52
external_lung,seed43,source_disjoint,3,784,378,170,0.47174003701097295,0.5446998722860792,-0.07295983527510624,-0.0766654123335158,-0.09631500269328679,-0.04895632422828645,0.4,0.24,0.88,0.24
external_lung,seed43,source_disjoint,7,784,378,170,0.49221987645632964,0.545110381317278,-0.05289050486094832,-0.05423877724780857,-0.05278774185280763,-0.030010870887307677,0.52,0.52,0.84,0.52
external_lung,seed43,source_disjoint,11,784,378,170,0.5099043448797144,0.5356426095342351,-0.02573826465452078,-0.03777687639551352,-0.03455063379119209,-0.014785927142248982,0.2,0.4,0.68,0.2
external_lung,seed43,target_disjoint,0,1034,686,170,0.489102660768741,0.519526406621762,-0.03042374585302099,-0.05634707700814312,0.011234368542162393,0.004511235939367524,0.04,0.88,1.0,0.04
external_lung,seed43,target_disjoint,3,1034,686,170,0.5064278174323917,0.5046266043363158,0.0018012130960759487,-0.02390848580811633,0.013059667627313672,0.010682485227260017,0.08,0.68,0.68,0.08
external_lung,seed43,target_disjoint,7,1034,686,170,0.47863049160550925,0.48293664756543014,-0.004306155959920899,-0.0028038360253789924,0.010724024831607497,0.0052409715938920715,0.56,0.76,0.68,0.56
external_lung,seed43,target_disjoint,11,1034,686,170,0.47341535136221974,0.478299571059951,-0.004884219697731285,-0.016730075650949985,0.02910294351730844,0.01628404851267271,0.12,0.8,0.96,0.12
external_lung,seed44,source_disjoint,0,759,351,170,0.47340581531758,0.5469142785319256,-0.07350846321434562,-0.07187985889987529,-0.09531430390294775,-0.05481013630523437,0.6,0.4,0.88,0.4
external_lung,seed44,source_disjoint,3,759,351,170,0.45879769286632033,0.5429410368135859,-0.08414334394726553,-0.06979504171089139,-0.10350082281250583,-0.04358695044969554,0.8,0.28,1.0,0.28
external_lung,seed44,source_disjoint,7,759,351,170,0.4802909055360036,0.5367961287078934,-0.056505223171889774,-0.03872397724521904,-0.06414184263448967,-0.028682784248552234,0.88,0.52,0.92,0.52
external_lung,seed44,source_disjoint,11,759,351,170,0.5073005698005698,0.5204318194514272,-0.013131249650857435,-0.02475405819972809,-0.027110333687131016,-0.011524030314879969,0.28,0.4,0.56,0.28
external_lung,seed44,target_disjoint,0,1041,684,170,0.529567382508559,0.516114632987698,0.013452749520860952,-0.0035385133585597813,-0.017572696720013537,0.027308535499969977,0.08,0.2,0.8,0.08
external_lung,seed44,target_disjoint,3,1041,684,170,0.5703924844791718,0.4915065441381231,0.07888594034104868,0.04708445268945782,0.008751283164337834,0.0533420970727472,0.08,0.04,0.12,0.04
external_lung,seed44,target_disjoint,7,1041,684,170,0.5767236719249105,0.49456566252231887,0.0821580094025916,0.05256144855603059,0.008466239809764043,0.03475105929311297,0.04,0.04,0.04,0.04
external_lung,seed44,target_disjoint,11,1041,684,170,0.5804666895998165,0.4914533064687863,0.08901338313103019,0.059279547589016136,0.0404673687213677,0.054171120202466956,0.04,0.04,0.04,0.04
immune,seed42_main,source_disjoint,0,953,240,170,0.5399982468443197,0.5966806919121085,-0.056682445067788745,-0.07744747837774661,-0.0846428432289232,-0.010906941522518317,0.16,0.4,0.96,0.16
immune,seed42_main,source_disjoint,3,953,240,170,0.5262125993454885,0.5929610799438991,-0.06674848059841065,-0.10055687042231581,-0.0943045572307933,-0.009503443002960877,0.04,0.36,1.0,0.04
immune,seed42_main,source_disjoint,7,953,240,170,0.5754938055165966,0.5804669237961664,-0.00497311827956981,-0.014247677068723633,-0.07512211216300445,0.01253628058282689,0.24,0.2,0.76,0.2
immune,seed42_main,source_disjoint,11,953,240,170,0.48046692379616646,0.5957602851799906,-0.11529336138382412,-0.1311820652173912,-0.10366056471092404,-0.05197205664640799,0.16,0.6,1.0,0.16
immune,seed42_main,target_disjoint,0,1111,276,170,0.5128655732014233,0.6114488414475396,-0.0985832682461163,-0.12432933046949572,-0.07170975078827842,-0.02114385359715351,0.04,0.6,1.0,0.04
immune,seed42_main,target_disjoint,3,1111,276,170,0.5604703636205849,0.6010262084526599,-0.04055584483207497,-0.09550952442940204,-0.07101042480256874,0.013415288987242896,0.04,0.28,1.0,0.04
immune,seed42_main,target_disjoint,7,1111,276,170,0.6149700598802395,0.5862449015013451,0.028725158378894333,-0.005438850559750029,-0.059975610373455945,0.06799001634412333,0.04,0.04,1.0,0.04
immune,seed42_main,target_disjoint,11,1111,276,170,0.5698125488154127,0.5843790679510544,-0.014566519135641776,-0.0441059909167173,-0.04939703925482367,0.024915115421331274,0.08,0.2,0.96,0.08
immune,seed43,source_disjoint,0,920,234,170,0.5890303007649946,0.6230345618100721,-0.03400426104507748,-0.03467316413744994,-0.12519934713812275,0.019685659672904577,0.44,0.12,1.0,0.12
immune,seed43,source_disjoint,3,920,234,170,0.4419245720266129,0.609497645211931,-0.16757307318531806,-0.15671228808983914,-0.11264592833470387,-0.033758062138164166,0.76,0.8,1.0,0.76
immune,seed43,source_disjoint,7,920,234,170,0.4863914430240961,0.6099928982582044,-0.12360145523410826,-0.11696018456222534,-0.12388801674515955,-0.015375426727467549,0.6,0.6,1.0,0.6
immune,seed43,source_disjoint,11,920,234,170,0.4550441055543097,0.6068718696269717,-0.15182776407266202,-0.13846929950246278,-0.11465562262756145,-0.05653425136843503,0.8,0.68,1.0,0.68
immune,seed43,target_disjoint,0,1082,274,170,0.5056844872443449,0.5584573968345741,-0.05277290959022918,-0.055062777035002876,-0.032539191419142,-0.012184552739033015,0.52,0.76,1.0,0.52
immune,seed43,target_disjoint,3,1082,274,170,0.5660796234732962,0.5562147683746477,0.00986485509864854,-0.003206416672689144,-0.015647113867408614,0.03394158701910339,0.16,0.44,0.88,0.16
immune,seed43,target_disjoint,7,1082,274,170,0.6015867782033679,0.5528700224037003,0.04871675579966761,0.040318944075064346,0.001367483919924764,0.06351065079135652,0.12,0.12,0.84,0.12
immune,seed43,target_disjoint,11,1082,274,170,0.522311104285611,0.560234787164848,-0.037923682879236975,-0.03200083637469597,-0.02576519627327706,0.014339760846522632,0.72,0.56,1.0,0.56
immune,seed44,source_disjoint,0,949,242,170,0.5828228926788783,0.6149689644289105,-0.032146071750032146,-0.05154318191559421,-0.1319486656457854,-3.908670087785412e-05,0.08,0.08,0.96,0.08
immune,seed44,source_disjoint,3,949,242,170,0.4972792733818836,0.6213192747846213,-0.12404000140273774,-0.13023725262136607,-0.12687944930856723,-0.03006230006117495,0.4,0.44,1.0,0.4
immune,seed44,source_disjoint,7,949,242,170,0.5157807988591067,0.6131366383391587,-0.097355839480052,-0.09995200007013694,-0.1245557997358178,-0.026765379460023917,0.4,0.4,1.0,0.4
immune,seed44,source_disjoint,11,949,242,170,0.5544145323623272,0.6042672449063089,-0.049852712543981714,-0.07230089892106104,-0.12126849860310714,0.023012447348630987,0.08,0.24,1.0,0.08
immune,seed44,target_disjoint,0,1110,272,170,0.5828017513688053,0.6043384985259019,-0.021536747157096636,-0.05013578372876589,-0.08055706060765587,0.017686708111048718,0.04,0.08,1.0,0.04
immune,seed44,target_disjoint,3,1110,272,170,0.5603502737610557,0.5909400007019514,-0.03058972694089568,-0.054027409740745914,-0.07535594786840749,0.01895332827343346,0.12,0.2,1.0,0.12
immune,seed44,target_disjoint,7,1110,272,170,0.5624429664467219,0.5689184683419907,-0.006475501895268798,-0.021418110054284175,-0.030431330870653694,0.039015063438860055,0.12,0.32,1.0,0.12
immune,seed44,target_disjoint,11,1110,272,170,0.5421653446581497,0.5656982661799804,-0.02353292152183073,-0.04050990921428244,-0.05133038075015217,0.02226694115892182,0.08,0.28,1.0,0.08
lung,seed42_main,source_disjoint,0,690,342,170,0.5650836862270618,0.5204888418363918,0.044594844390670074,0.03232741116040418,-0.008663050906320734,0.02954224642064936,0.24,0.16,0.32,0.16
lung,seed42_main,source_disjoint,3,690,342,170,0.5237363043624387,0.5210349868925186,0.0027013174699200837,0.01566701115816367,5.356422665865612e-05,0.013351671203871754,0.8,0.48,0.72,0.48
lung,seed42_main,source_disjoint,7,690,342,170,0.5089735833837468,0.531075653693621,-0.02210207030987421,-0.012154528242701197,-0.04919839209293982,0.008115505478255028,0.76,0.4,0.88,0.4
lung,seed42_main,source_disjoint,11,690,342,170,0.5324242118706729,0.5221356792364051,0.010288532634267766,0.00950292397660823,-0.012485716206224325,0.006860422128117237,0.48,0.32,0.4,0.32
lung,seed42_main,target_disjoint,0,879,561,167,0.5567859505151402,0.5472763147568919,0.00950963575824837,-0.01990586591030541,-0.022225351928459574,-0.0003216123499142169,0.08,0.24,0.36,0.08
lung,seed42_main,target_disjoint,3,879,561,167,0.562823013710916,0.5477163421114587,0.015106671599457333,-0.040717711708277794,-0.02329225477116714,0.022816259150887353,0.04,0.2,0.6,0.04
lung,seed42_main,target_disjoint,7,879,561,167,0.5216818574199262,0.5413037141671991,-0.019621856747272903,-0.030220233223840282,-0.04585229841889104,-0.010957008112945962,0.2,0.32,0.6,0.2
lung,seed42_main,target_disjoint,11,879,561,167,0.597044249374993,0.5205327413984462,0.07651150797654682,0.031316681427669184,-0.007116811847666491,0.06759698352373157,0.04,0.04,0.36,0.04
lung,seed43,source_disjoint,0,760,384,169,0.5419194647606382,0.5536970855496454,-0.011777620789007126,-0.015175388778073251,-0.032479072011672556,-0.0016074034057328805,0.36,0.36,0.64,0.36
lung,seed43,source_disjoint,3,760,384,169,0.5303807901152482,0.5603875775709221,-0.030006787455673867,-0.04287842374039604,-0.047624303939494746,-0.001581863872266535,0.24,0.24,0.92,0.24
lung,seed43,source_disjoint,7,760,384,169,0.5603494847074468,0.5627389461436171,-0.002389461436170248,-0.030324372275783162,-0.016314855985889554,0.048333783521719874,0.08,0.24,1.0,0.08
lung,seed43,source_disjoint,11,760,384,169,0.5702813331117021,0.5543689051418439,0.015912427969858256,-0.02707623420877653,-0.044812213726359275,0.04617836233008273,0.04,0.12,0.84,0.04
lung,seed43,target_disjoint,0,847,559,170,0.5051369012124826,0.542980396541443,-0.037843495328960475,-0.0584847901344994,-0.05943734781852512,-0.008524880118266763,0.08,0.32,0.96,0.08
lung,seed43,target_disjoint,3,847,559,170,0.5027516895249453,0.5268118912741006,-0.02406020174915524,-0.028111515893129237,-0.00545860456834293,0.008447495320678478,0.48,0.76,0.92,0.48
lung,seed43,target_disjoint,7,847,559,170,0.48644032001590143,0.5149790051679587,-0.028538685152057264,-0.020399305555555598,-0.034744480056980095,-0.005722204623004043,0.76,0.48,0.92,0.48
lung,seed43,target_disjoint,11,847,559,170,0.4808499801232359,0.4870024597495527,-0.00615247962631682,0.0038267947061552537,0.02269859164844638,0.009059844588550983,0.72,0.72,0.76,0.72
lung,seed44,source_disjoint,0,751,368,169,0.5809754228629811,0.5510805710069248,0.029894851856056337,-0.0008273084818556884,-0.027853852120936943,0.03752362049229956,0.08,0.04,0.68,0.04
lung,seed44,source_disjoint,3,751,368,169,0.5309378192757407,0.5456990010216822,-0.014761181745941543,-0.0020358262856168354,-0.020858018078101823,0.015444372705944683,0.88,0.4,0.96,0.4
lung,seed44,source_disjoint,7,751,368,169,0.5921749063457827,0.5543513735951868,0.03782353275059591,0.0028091830798046467,-0.0255119054376207,0.05739262283838498,0.04,0.08,0.8,0.04
lung,seed44,source_disjoint,11,751,368,169,0.5777933079804745,0.555635571574526,0.022157736405948425,0.001354852518257857,-0.017260844732659746,0.051962570240662975,0.16,0.16,0.92,0.16
lung,seed44,target_disjoint,0,859,549,170,0.5024237616781244,0.5230389564604265,-0.020615194782302115,-0.03359749887380764,-0.01304253089684073,0.00455777366472766,0.16,0.56,0.84,0.16
lung,seed44,target_disjoint,3,859,549,170,0.5079470004113051,0.5181532404959163,-0.010206240084611129,-0.01734752335624884,-0.0026767877078558593,-0.008023263215621761,0.32,0.64,0.64,0.32
lung,seed44,target_disjoint,7,859,549,170,0.5237704918032787,0.5104060168047476,0.013364474998531106,0.0024337994790136785,-0.005033345084905105,0.0034375795679338996,0.2,0.32,0.44,0.2
lung,seed44,target_disjoint,11,859,549,170,0.5620218579234972,0.48700569951230976,0.07501615841118747,0.036206959868382405,0.03076977691599587,0.04570198503633194,0.04,0.2,0.12,0.04
