domain,layer,direction,f1_path_homology_v2,f1_distance_only,f1_utility_lift,precision_path_homology_v2,precision_distance_only,recall_path_homology_v2,recall_distance_only,p_transfer_upper,null_transfer_mean
external_lung,7,source_to_target,0.8248816768086544,0.8248816768086544,0.0,0.7019562715765247,0.7019562715765247,1.0,1.0,1.0,0.0
external_lung,7,target_to_source,0.6652078774617068,0.6652078774617068,0.0,0.49836065573770494,0.49836065573770494,1.0,1.0,1.0,0.0
external_lung,11,source_to_target,0.8248816768086544,0.8248816768086544,0.0,0.7019562715765247,0.7019562715765247,1.0,1.0,1.0,0.0
external_lung,11,target_to_source,0.6652078774617068,0.6652078774617068,0.0,0.49836065573770494,0.49836065573770494,1.0,1.0,1.0,0.0
immune,7,source_to_target,0.41256366723259763,0.41256366723259763,0.0,0.25989304812834224,0.25989304812834224,1.0,1.0,1.0,0.0
immune,7,target_to_source,0.405607476635514,0.405607476635514,0.0,0.2543962485345838,0.2543962485345838,1.0,1.0,1.0,0.0
immune,11,source_to_target,0.41256366723259763,0.41256366723259763,0.0,0.25989304812834224,0.25989304812834224,1.0,1.0,1.0,0.0
immune,11,target_to_source,0.405607476635514,0.405607476635514,0.0,0.2543962485345838,0.2543962485345838,1.0,1.0,1.0,0.0
lung,7,source_to_target,0.8149882903981265,0.8149882903981265,0.0,0.6877470355731226,0.6877470355731226,1.0,1.0,1.0,0.0
lung,7,target_to_source,0.6866002214839424,0.6866002214839424,0.0,0.5227655986509275,0.5227655986509275,1.0,1.0,1.0,0.0
lung,11,source_to_target,0.8149882903981265,0.8149882903981265,0.0,0.6877470355731226,0.6877470355731226,1.0,1.0,1.0,0.0
lung,11,target_to_source,0.6866002214839424,0.6866002214839424,0.0,0.5227655986509275,0.5227655986509275,1.0,1.0,1.0,0.0
