domain,split_regime,n_rows,mean_auc_directed_signed,mean_auc_distance_only,mean_delta_auc_directed_minus_distance,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.5155707696807267,0.5199742599729341,-0.004403490292207435,0.3333333333333333,1.0,1.3457153621562235e-06
external_lung,target_disjoint,6,0.521372677190535,0.5022858838698103,0.019086793320724677,1.0,0.8333333333333334,1.3511540523945603e-05
immune,source_disjoint,6,0.5441004896586333,0.5300216033645375,0.01407888629409576,0.6666666666666666,1.0,2.3540071023454336e-06
immune,target_disjoint,6,0.5330343664589735,0.5181714771576047,0.014862889301368717,1.0,1.0,2.3540071023454247e-06
lung,source_disjoint,6,0.5144130210855081,0.5175595230046507,-0.0031465019191425267,0.16666666666666666,0.5,0.0005559289811846332
lung,target_disjoint,6,0.5386804892305946,0.5089917001221882,0.02968878910840646,1.0,1.0,1.3457153621562235e-06
