domain,split_regime,n_rows,mean_auc_anisotropy_tail,mean_auc_geodesic_distance_baseline,mean_delta_auc_anisotropy_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,12,0.5063370086550311,0.5523488234856849,-0.04601181483065408,0.08333333333333333,0.3333333333333333,0.0108393514908192
external_lung,target_disjoint,12,0.5383865767514091,0.5042089928241831,0.03417758392722593,0.75,0.6666666666666666,6.1552001176410916e-06
immune,source_disjoint,12,0.5204049578462316,0.6057465065165285,-0.0853415486702969,0.0,0.08333333333333333,0.04048220298595376
immune,target_disjoint,12,0.5584617395799177,0.5783976023233495,-0.019935862743431714,0.25,0.3333333333333333,0.0003426641733064257
lung,source_disjoint,12,0.5512525262503277,0.5443911827719404,0.006861343478387488,0.5833333333333334,0.25,0.007620666587214353
lung,target_disjoint,12,0.5258064228094789,0.5222672315367042,0.0035391912727745964,0.4166666666666667,0.25,0.0052353682233763875
