domain,n_matched_genes,top1_seeded_gw,mutual_top1_seeded_gw,top1_cca_seed,mutual_top1_cca_seed,delta_top1_vs_h27,p_top1_upper,edge_transfer_auc_seeded_gw,edge_transfer_auc_cca_seed,delta_auc_vs_h27,p_edge_transfer_auc_upper
external_lung,280,0.010714285714285714,0.010714285714285714,0.7214285714285714,0.7214285714285714,0.010714285714285714,0.10497237569060773,0.4949359769744254,0.5144614358673492,-5.466083860650173e-06,0.6187845303867403
immune,280,0.010714285714285714,0.010714285714285714,0.7785714285714286,0.7785714285714286,0.007142857142857215,0.09944751381215469,0.5202275824770146,0.5557217955651704,-0.041690427257977225,0.09392265193370165
lung,280,0.0035714285714285713,0.0035714285714285713,0.7357142857142858,0.7357142857142858,0.0035714285714285713,0.6464088397790055,0.4871018115549085,0.5194758620139018,-0.01176276461895609,0.9005524861878453
