domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,best_diffusion_t,best_diffusion_auc,best_baseline_auc,delta_best_diffusion_minus_baseline,p_random_label_upper,p_coexp_degree_matched_upper,null_random_mean,null_matched_mean,coexpression_abs_mean,coexpression_missing_fraction,auc_diffusion_t1,auc_diffusion_t2,auc_diffusion_t4,auc_diffusion_t8
external_lung,seed42_main,source_disjoint,0,1249,489,280,24,24,True,8,0.5714266494457001,0.575535464427941,-0.004108814982240916,0.7851239669421488,1.0,0.005479361747928106,0.02707477890790371,0.035066283410180706,0.0,0.5693830050586589,0.5687600904100742,0.5689296092993219,0.5714266494457001
external_lung,seed42_main,source_disjoint,3,1249,489,280,24,24,True,1,0.5725554299860081,0.5795581745775482,-0.007002744591540155,0.8760330578512396,1.0,0.0051816498044702786,0.02120805752879131,0.035066283410180706,0.0,0.5725554299860081,0.5566959961252825,0.5550330965450436,0.556469970939619
external_lung,seed42_main,source_disjoint,7,1249,489,280,24,24,True,1,0.5652540092562695,0.5884592616510601,-0.023205252394790654,1.0,1.0,0.006152885408818577,0.002481769992465825,0.035066283410180706,0.0,0.5652540092562695,0.5634673339791196,0.5604106124206222,0.5638467333979119
external_lung,seed42_main,source_disjoint,11,1249,489,280,24,24,True,1,0.5642624582929717,0.5762606285652783,-0.011998170272306541,0.8925619834710744,1.0,0.0026074852904244264,0.012969506780755575,0.035066283410180706,0.0,0.5642624582929717,0.551194704552793,0.5464791195780863,0.5473845657087504
external_lung,seed42_main,target_disjoint,0,1944,1104,280,24,24,True,1,0.5416170634920635,0.5225295462387853,0.019087517253278175,0.0743801652892562,0.7768595041322314,0.0034984121592477454,0.023956545102944544,0.0326615610250555,0.0,0.5416170634920635,0.5268827639751553,0.5220766476880607,0.5240720971359558
external_lung,seed42_main,target_disjoint,3,1944,1104,280,24,24,True,2,0.5081608005521049,0.5161355891994479,-0.007974788647343023,0.9256198347107438,0.7024793388429752,0.004356313441741438,-0.0051325312356222666,0.0326615610250555,0.0,0.5040712344720497,0.5081608005521049,0.5053657694962043,0.505664466873706
external_lung,seed42_main,target_disjoint,7,1944,1104,280,24,24,True,1,0.5413474810213941,0.5170063405797101,0.024341140441684006,0.024793388429752067,0.5619834710743802,0.0036874299085576222,0.02525580680641821,0.0326615610250555,0.0,0.5413474810213941,0.5251709152864044,0.5235453329882678,0.5265808316080055
external_lung,seed42_main,target_disjoint,11,1944,1104,280,24,24,True,1,0.5424010093167702,0.5089587646652864,0.03344224465148371,0.008264462809917356,0.23140495867768596,0.003787795462387839,0.027301717599781457,0.0326615610250555,0.0,0.5424010093167702,0.5345248878536921,0.5308278338509317,0.5308181288819875
external_lung,seed43,source_disjoint,0,1329,520,279,24,24,True,8,0.5617203099743273,0.5483098792431301,0.013410430731197187,0.256198347107438,0.4793388429752066,0.004999475056258116,0.012585813444898737,0.03368832799144859,0.0,0.5606779499857374,0.5551440524864505,0.5577030046591234,0.5617203099743273
external_lung,seed43,source_disjoint,3,1329,520,279,24,24,True,1,0.5633830940382238,0.5545105543405914,0.008872539697632464,0.32231404958677684,0.7520661157024794,0.0031533667712592343,0.013644426880289062,0.03368832799144859,0.0,0.5633830940382238,0.5432371398687839,0.5433322240182562,0.5482682799277361
external_lung,seed43,source_disjoint,7,1329,520,279,24,24,True,1,0.5549503185319008,0.559174431872207,-0.004224113340306146,0.743801652892562,0.9173553719008265,0.0037808429209850764,0.008575292779943589,0.03368832799144859,0.0,0.5549503185319008,0.5540125511077304,0.55268018446325,0.5541908338879908
external_lung,seed43,source_disjoint,11,1329,520,279,24,24,True,1,0.5541575544356756,0.5523818579442807,0.0017756964913948625,0.5371900826446281,0.6776859504132231,0.0030708713669931184,0.0064117222908941,0.03368832799144859,0.0,0.5541575544356756,0.5477797851098222,0.544442331463345,0.5448583246172862
