domain,seed_tag,split_regime,layer,perm_idx,null_auc_thinness
external_lung,seed42_main,source_disjoint,0,89,0.46378983955559694
external_lung,seed42_main,source_disjoint,0,90,0.4432858517208205
external_lung,seed42_main,source_disjoint,0,91,0.4610899047264376
external_lung,seed42_main,source_disjoint,0,92,0.439682835241908
external_lung,seed42_main,source_disjoint,0,93,0.4473295472178257
external_lung,seed42_main,source_disjoint,0,94,0.4542717934394687
external_lung,seed42_main,source_disjoint,0,95,0.45330664432237844
external_lung,seed42_main,source_disjoint,0,96,0.4473792011916954
external_lung,seed42_main,source_disjoint,0,97,0.4584706576048165
external_lung,seed42_main,source_disjoint,0,98,0.45104118176457814
external_lung,seed42_main,source_disjoint,0,99,0.4620271234832263
external_lung,seed42_main,source_disjoint,0,100,0.4404214381032182
external_lung,seed42_main,source_disjoint,0,101,0.43337678056046924
external_lung,seed42_main,source_disjoint,0,102,0.4577537783570741
external_lung,seed42_main,source_disjoint,0,103,0.4433634360549918
external_lung,seed42_main,source_disjoint,0,104,0.44538683549017777
external_lung,seed42_main,source_disjoint,0,105,0.46186574806815006
external_lung,seed42_main,source_disjoint,0,106,0.4651491170902772
external_lung,seed42_main,source_disjoint,0,107,0.44075970580020485
external_lung,seed42_main,source_disjoint,0,108,0.44283896595599415
external_lung,seed42_main,source_disjoint,0,109,0.44992396735251217
external_lung,seed42_main,source_disjoint,0,110,0.45015672035502585
external_lung,seed42_main,source_disjoint,0,111,0.4495888030288924
external_lung,seed42_main,source_disjoint,0,112,0.4572075846445085
external_lung,seed42_main,source_disjoint,0,113,0.46664183967973183
external_lung,seed42_main,source_disjoint,0,114,0.47588989231294415
external_lung,seed42_main,source_disjoint,0,115,0.4761319554355584
external_lung,seed42_main,source_disjoint,0,116,0.45901064457064833
external_lung,seed42_main,source_disjoint,0,117,0.45530521677062963
external_lung,seed42_main,source_disjoint,0,118,0.4451044285137945
external_lung,seed42_main,source_disjoint,0,119,0.47682711106973286
external_lung,seed42_main,source_disjoint,0,120,0.462424355274183
external_lung,seed42_main,source_disjoint,0,121,0.4614933432641281
external_lung,seed42_main,source_disjoint,0,122,0.4543679980138411
external_lung,seed42_main,source_disjoint,0,123,0.4471929987896843
external_lung,seed42_main,source_disjoint,0,124,0.4415169289017162
external_lung,seed42_main,source_disjoint,0,125,0.4661794370480712
external_lung,seed42_main,source_disjoint,0,126,0.44607268100425157
external_lung,seed42_main,source_disjoint,0,127,0.44925053533190573
external_lung,seed42_main,source_disjoint,0,128,0.4488781305278838
external_lung,seed42_main,source_disjoint,0,129,0.4495825962821587
external_lung,seed42_main,source_disjoint,0,130,0.45713310368370413
external_lung,seed42_main,source_disjoint,0,131,0.45302734071936196
external_lung,seed42_main,source_disjoint,0,132,0.46040095583899704
external_lung,seed42_main,source_disjoint,0,133,0.45011637650125685
external_lung,seed42_main,source_disjoint,0,134,0.4465568072494802
external_lung,seed42_main,source_disjoint,0,135,0.4583806597771778
external_lung,seed42_main,source_disjoint,0,136,0.46222884275207154
external_lung,seed42_main,source_disjoint,0,137,0.47005555038326663
external_lung,seed42_main,source_disjoint,0,138,0.4719951587375477
external_lung,seed42_main,source_disjoint,0,139,0.46818111286968933
external_lung,seed42_main,source_disjoint,0,140,0.4547776432982652
external_lung,seed42_main,source_disjoint,0,141,0.4459361325761102
external_lung,seed42_main,source_disjoint,0,142,0.4712627626229712
external_lung,seed42_main,source_disjoint,0,143,0.4584489339912484
external_lung,seed42_main,source_disjoint,0,144,0.4566086335847066
external_lung,seed42_main,source_disjoint,0,145,0.450277751916333
external_lung,seed42_main,source_disjoint,0,146,0.4377308133941594
external_lung,seed42_main,source_disjoint,0,147,0.440033516432362
external_lung,seed42_main,source_disjoint,0,148,0.4611333519535735
external_lung,seed42_main,source_disjoint,0,149,0.4480805635726034
external_lung,seed42_main,source_disjoint,0,150,0.44179623250473266
external_lung,seed42_main,source_disjoint,0,151,0.4573906836731527
external_lung,seed42_main,source_disjoint,0,152,0.4503553362505043
external_lung,seed42_main,source_disjoint,0,153,0.4551997020761568
external_lung,seed42_main,source_disjoint,0,154,0.45536418086459984
external_lung,seed42_main,source_disjoint,0,155,0.4541042112776588
external_lung,seed42_main,source_disjoint,0,156,0.44058591689166127
external_lung,seed42_main,source_disjoint,0,157,0.4388852682866275
external_lung,seed42_main,source_disjoint,0,158,0.45839307327064516
external_lung,seed42_main,source_disjoint,0,159,0.43841355553486644
external_lung,seed42_main,source_disjoint,3,0,0.4758960990596779
external_lung,seed42_main,source_disjoint,3,1,0.46391397449027094
external_lung,seed42_main,source_disjoint,3,2,0.46457809639077685
external_lung,seed42_main,source_disjoint,3,3,0.47636470843807216
external_lung,seed42_main,source_disjoint,3,4,0.4633258852372529
external_lung,seed42_main,source_disjoint,3,5,0.47265617726468667
external_lung,seed42_main,source_disjoint,3,6,0.48000496539738696
external_lung,seed42_main,source_disjoint,3,7,0.47964652577351585
external_lung,seed42_main,source_disjoint,3,8,0.4790894702541663
external_lung,seed42_main,source_disjoint,3,9,0.4621760854048351
external_lung,seed42_main,source_disjoint,3,10,0.4743428606895696
external_lung,seed42_main,source_disjoint,3,11,0.46711200074480963
external_lung,seed42_main,source_disjoint,3,12,0.4701315830307544
external_lung,seed42_main,source_disjoint,3,13,0.4759721317071657
external_lung,seed42_main,source_disjoint,3,14,0.48957111380070134
external_lung,seed42_main,source_disjoint,3,15,0.4718942991031251
external_lung,seed42_main,source_disjoint,3,16,0.48846786456878627
external_lung,seed42_main,source_disjoint,3,17,0.46858299972069645
external_lung,seed42_main,source_disjoint,3,18,0.4617571300003103
external_lung,seed42_main,source_disjoint,3,19,0.48877199515873754
external_lung,seed42_main,source_disjoint,3,20,0.46581168730409955
external_lung,seed42_main,source_disjoint,3,21,0.46325916270986556
external_lung,seed42_main,source_disjoint,3,22,0.48070787946497845
external_lung,seed42_main,source_disjoint,3,23,0.4750969804177141
external_lung,seed42_main,source_disjoint,3,24,0.47606057784812095
external_lung,seed42_main,source_disjoint,3,25,0.47136207057071033
external_lung,seed42_main,source_disjoint,3,26,0.47689693697048696
external_lung,seed42_main,source_disjoint,3,27,0.4761722992893275
external_lung,seed42_main,source_disjoint,3,28,0.45446265090152993
external_lung,seed42_main,source_disjoint,3,29,0.4577118828166217
external_lung,seed42_main,source_disjoint,3,30,0.4888945784067281
external_lung,seed42_main,source_disjoint,3,31,0.46361760233373683
external_lung,seed42_main,source_disjoint,3,32,0.4891319864692921
external_lung,seed42_main,source_disjoint,3,33,0.48651273934767086
external_lung,seed42_main,source_disjoint,3,34,0.46440430748223327
external_lung,seed42_main,source_disjoint,3,35,0.4769419358843062
external_lung,seed42_main,source_disjoint,3,36,0.47263600533780215
external_lung,seed42_main,source_disjoint,3,37,0.45646122334978123
external_lung,seed42_main,source_disjoint,3,38,0.47372218601619964
external_lung,seed42_main,source_disjoint,3,39,0.45729447909878035
external_lung,seed42_main,source_disjoint,3,40,0.4937373925456971
external_lung,seed42_main,source_disjoint,3,41,0.4765834962604351
external_lung,seed42_main,source_disjoint,3,42,0.4648480898736927
external_lung,seed42_main,source_disjoint,3,43,0.4802811656270366
external_lung,seed42_main,source_disjoint,3,44,0.4806396052509077
external_lung,seed42_main,source_disjoint,3,45,0.4765338422865654
external_lung,seed42_main,source_disjoint,3,46,0.4570446575427489
external_lung,seed42_main,source_disjoint,3,47,0.4694860813704496
external_lung,seed42_main,source_disjoint,3,48,0.4852993203612327
external_lung,seed42_main,source_disjoint,3,49,0.4642010365267045
external_lung,seed42_main,source_disjoint,3,50,0.48103218198181424
external_lung,seed42_main,source_disjoint,3,51,0.48780684604164726
external_lung,seed42_main,source_disjoint,3,52,0.4910095273562362
external_lung,seed42_main,source_disjoint,3,53,0.48175837134965704
external_lung,seed42_main,source_disjoint,3,54,0.4669459702696831
external_lung,seed42_main,source_disjoint,3,55,0.47281134593302926
external_lung,seed42_main,source_disjoint,3,56,0.47890637122552215
external_lung,seed42_main,source_disjoint,3,57,0.4611178350867393
external_lung,seed42_main,source_disjoint,3,58,0.48880147720572265
external_lung,seed42_main,source_disjoint,3,59,0.45931012010054934
external_lung,seed42_main,source_disjoint,3,60,0.4756509325636967
external_lung,seed42_main,source_disjoint,3,61,0.47482233187474787
external_lung,seed42_main,source_disjoint,3,62,0.477620022964963
external_lung,seed42_main,source_disjoint,3,63,0.4783306954659715
external_lung,seed42_main,source_disjoint,3,64,0.4723737702883034
external_lung,seed42_main,source_disjoint,3,65,0.4637293237749434
external_lung,seed42_main,source_disjoint,3,66,0.46251900816187197
external_lung,seed42_main,source_disjoint,3,67,0.45431213729323777
external_lung,seed42_main,source_disjoint,3,68,0.4642491388138907
external_lung,seed42_main,source_disjoint,3,69,0.4800608261179903
external_lung,seed42_main,source_disjoint,3,70,0.47246842317599225
external_lung,seed42_main,source_disjoint,3,71,0.45447351270831393
external_lung,seed42_main,source_disjoint,3,72,0.4850634639853521
external_lung,seed42_main,source_disjoint,3,73,0.48660273717530955
external_lung,seed42_main,source_disjoint,3,74,0.45479160847841604
external_lung,seed42_main,source_disjoint,3,75,0.4727151413586569
external_lung,seed42_main,source_disjoint,3,76,0.46177109518046117
external_lung,seed42_main,source_disjoint,3,77,0.4712782794898054
external_lung,seed42_main,source_disjoint,3,78,0.4768503863699841
external_lung,seed42_main,source_disjoint,3,79,0.46088353039754215
external_lung,seed42_main,source_disjoint,3,80,0.4652856655184185
external_lung,seed42_main,source_disjoint,3,81,0.4681392173292368
external_lung,seed42_main,source_disjoint,3,82,0.47076001613754154
external_lung,seed42_main,source_disjoint,3,83,0.4798839338360798
external_lung,seed42_main,source_disjoint,3,84,0.4738742513111752
external_lung,seed42_main,source_disjoint,3,85,0.47718555069360397
external_lung,seed42_main,source_disjoint,3,86,0.46307606368122156
external_lung,seed42_main,source_disjoint,3,87,0.474695093566707
external_lung,seed42_main,source_disjoint,3,88,0.4851565651863576
external_lung,seed42_main,source_disjoint,3,89,0.47062036433603327
