domain,split_regime,n_rows,mean_auc_thinness,mean_auc_geodesic,mean_delta_auc_thinness_minus_geodesic,fraction_p_lt_0_05,combined_fisher_p
external_lung,source_disjoint,4,0.4741710113893802,0.5843981783198336,-0.11022716693045344,0.0,0.16381378725361198
external_lung,target_disjoint,4,0.46443345862040386,0.5063970078448037,-0.04196354922439979,0.0,0.9760492854991296
immune,source_disjoint,4,0.5011380346622888,0.5944198086817752,-0.09328177401948642,0.25,0.01628208474419306
immune,target_disjoint,4,0.48059219175034634,0.5816515234252546,-0.10105933167490824,0.0,0.9461556015806889
lung,source_disjoint,4,0.4439626473642417,0.5163593396860302,-0.07239669232178854,0.0,0.9999987079221668
lung,target_disjoint,4,0.43012610196442413,0.5214594137126556,-0.09133331174823135,0.0,0.9999999186841256
