domain,seed_tag,split_regime,layer,null_type,perm_idx,delta_best_diffusion_minus_baseline
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,62,0.022364384888601818
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,63,0.008146324399956995
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,64,0.02632386180174362
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,65,0.037127327521257136
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,66,0.020393391454095355
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,67,0.027082660639328404
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,68,0.05093504466688192
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,69,0.07469728769777206
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,70,0.03358761166720492
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,71,0.026134162092347535
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,72,0.016587288774082443
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,73,0.021908298353245148
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,74,0.016433914540953554
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,75,0.039337800021526315
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,76,0.007103648692282749
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,77,0.02072166612851145
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,78,0.008173232160154864
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,79,0.024199494134108157
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,80,0.040728931223764864
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,81,0.03993111613389311
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,82,0.019870035518243512
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,83,0.029305241631686574
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,84,0.023241577871058072
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,85,0.039308201485308336
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,86,0.033077709611451955
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,87,0.01350769561941667
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,88,0.02535249165859421
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,89,0.033617210203422676
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,90,0.006316596706490207
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,91,0.037247067054138494
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,92,0.020464697018620193
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,93,0.035998546980949286
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,94,0.009392153697126204
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,95,0.029233936067161848
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,96,0.031658325261005205
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,97,0.023427241416424494
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,98,0.012175761489613524
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,99,0.01527419007641806
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,100,0.0377610052739209
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,101,0.026270046281347437
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,102,0.04673743407598746
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,103,0.044543106231837215
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,104,0.013922075126466371
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,105,0.04892772575610804
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,106,0.03515095253471101
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,107,0.03373022279625437
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,108,0.016855020988053027
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,109,0.04146620385319122
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,110,0.018287859218598657
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,111,0.01355612958777297
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,112,0.030259121730707217
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,113,0.005307555699063604
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,114,0.03645866968033584
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,115,0.012544397804326812
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,116,0.04822274243891933
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,117,0.04509875147992681
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,118,0.015276880852437835
external_lung,seed42_main,source_disjoint,0,coexpression_degree_matched_label,119,0.013998762243030982
external_lung,seed42_main,source_disjoint,0,random_label,0,-0.01298164890754483
external_lung,seed42_main,source_disjoint,0,random_label,1,-0.011655096329781456
external_lung,seed42_main,source_disjoint,0,random_label,2,0.01038505004843393
external_lung,seed42_main,source_disjoint,0,random_label,3,-0.0087382951243139
external_lung,seed42_main,source_disjoint,0,random_label,4,-0.0038303196641911175
external_lung,seed42_main,source_disjoint,0,random_label,5,0.010752340975137109
external_lung,seed42_main,source_disjoint,0,random_label,6,-0.017339360671617565
external_lung,seed42_main,source_disjoint,0,random_label,7,0.004624098590033432
external_lung,seed42_main,source_disjoint,0,random_label,8,0.02758987191906148
