domain,n_rows,mean_best_diffusion_auc,mean_best_baseline_auc,mean_delta_best_diffusion_minus_baseline,fraction_delta_positive,fraction_p_random_lt_0_05,fraction_p_matched_lt_0_05,combined_fisher_p_random,combined_fisher_p_matched,mean_coexpression_missing_fraction
external_lung,24,0.5399303937317728,0.5346289640231732,0.005301429708599585,0.6666666666666666,0.08333333333333333,0.0,0.1430421902303805,0.9999936351397295,0.0
immune,24,0.6032332159466935,0.5991608473276229,0.004072368619070625,0.5,0.16666666666666666,0.041666666666666664,0.45245752489664964,0.07488722875974384,0.0
lung,24,0.5436103268826779,0.5297764584314192,0.013833868451258682,0.6666666666666666,0.25,0.08333333333333333,0.00036904566875243356,0.1877728879540855,0.0
