domain,seed_tag,split_regime,layers_used,n_edges_eval,n_positive_eval,auc_baseline,auc_curvature_accel,delta_auc_curvature_minus_baseline,mean_abs_accel,mean_slope,null_q95,null_gap_q95,p_layer_order_upper,p_curvature_shuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,"0,3,7,11",704,337,0.8404983869533227,0.8378059331010115,-0.002692453852311205,0.25971401962388585,0.059476215745103825,0.011192280015200617,-0.013884733867511823,0.30303030303030304,1.0,0.09090909090909091,0.09090909090909091
external_lung,seed42_main,target_disjoint,"0,3,7,11",1014,671,0.8262025695950085,0.8335976502587408,0.00739508066373229,0.15169837885790896,-0.028190367344610726,0.023064005248682462,-0.015668924584950172,0.5757575757575758,0.9393939393939394,0.12121212121212122,0.12121212121212122
immune,seed42_main,source_disjoint,"0,3,7,11",953,240,0.8817233520336607,0.8743367227676484,-0.007386629266012301,0.2618832753452646,-0.0305947219175663,0.010036816269284599,-0.0174234455352969,0.7272727272727273,1.0,0.09090909090909091,0.09090909090909091
immune,seed42_main,target_disjoint,"0,3,7,11",1111,276,0.8806690965894299,0.8917512800485984,0.011082183459168449,0.31336456051920175,0.018623656845594885,0.01272780525904707,-0.0016456217998786216,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.030303030303030304
lung,seed42_main,source_disjoint,"0,3,7,11",690,342,0.7856086576594743,0.7707871210593533,-0.014821536600120977,0.07830843966562522,0.0064830218719226385,0.01667212811722804,-0.03149366471734902,0.48484848484848486,1.0,1.0,0.48484848484848486
lung,seed42_main,target_disjoint,"0,3,7,11",879,561,0.8273018755815649,0.8463155416540544,0.019013666072489555,0.3857922212937418,0.05806090370521833,0.02563789952802159,-0.006624233455532036,0.5454545454545454,0.5151515151515151,0.030303030303030304,0.030303030303030304
