null_kind,domain,split_regime,perm_idx,null_delta_auc
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,1,0.003602734922861117
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,2,0.00928295932678802
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,3,0.001265194015895199
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,4,0.0023521505376342677
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,5,0.0021943665264141377
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,6,0.006992169237961532
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,7,0.008423913043478115
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,8,0.008979079008882507
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,9,0.007331112669471618
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,10,0.0058292426367460015
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,11,0.0011366292660121013
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,12,0.0129821178120616
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,13,0.00042367928938746857
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,14,0.010527699859747441
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,15,-0.0002542075736327032
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,16,0.0024456521739129045
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,17,0.014758648901355698
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,18,0.009405680224403912
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,19,0.00025420757363248114
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,20,0.011503623188405698
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,21,0.014197639083683877
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,22,0.009201145395044241
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,23,0.009791374474053205
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,24,-0.00335729312762989
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,25,0.006004558204768529
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,26,0.009873188405796984
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,27,0.006442847124824458
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,28,-0.0015223235156616166
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,29,0.007903810191678295
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,30,0.008371318373071368
curvature_shuffle_within_geodesic_bins,immune,source_disjoint,31,0.004970196353436096
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,0,0.005276403714310374
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,1,0.004078798923891291
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,2,0.00981949145187877
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,3,0.003853163238739965
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,4,0.0023778529896727463
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,5,0.015152304087477142
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,6,0.004434609042783921
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,7,0.008109867222077516
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,8,0.013972055888223478
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,9,0.006356851514362383
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,10,0.006170268159333303
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,11,0.0073201423240474295
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,12,0.00607480690792328
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,13,0.002733663108565376
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,14,0.010275101969973055
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,15,0.007845179206803499
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,16,0.008504729671092615
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,17,0.006408921287859082
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,18,0.002560097196910416
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,19,0.005458647921548154
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,20,0.005285082009893083
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,21,0.002217304521391794
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,22,0.004052764037142942
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,23,0.012874251497005829
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,24,0.006938297318406561
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,25,0.010557146576412269
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,26,0.005506378547253332
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,27,0.00787121409355196
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,28,0.008483033932135675
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,29,0.0024516185021261627
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,30,0.0060921634990885876
curvature_shuffle_within_geodesic_bins,immune,target_disjoint,31,0.012904625531545588
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,0,0.007494790616387692
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,1,0.00826779592659821
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,2,0.012443705048060916
curvature_shuffle_within_geodesic_bins,lung,source_disjoint,3,0.008385427169456228
