domain,split_regime,n_rows,mean_auc_curvature_accel,mean_auc_baseline,mean_delta_auc_curvature_minus_baseline,mean_null_gap_q95,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,1,0.8378059331010115,0.8404983869533227,-0.002692453852311205,-0.013884733867511823,0.0,0.0,0.0909090909090909
external_lung,target_disjoint,1,0.8335976502587408,0.8262025695950085,0.00739508066373229,-0.015668924584950172,1.0,0.0,0.12121212121212127
immune,source_disjoint,1,0.8743367227676484,0.8817233520336607,-0.007386629266012301,-0.0174234455352969,0.0,0.0,0.0909090909090909
immune,target_disjoint,1,0.8917512800485984,0.8806690965894299,0.011082183459168449,-0.0016456217998786216,1.0,1.0,0.03030303030303031
lung,source_disjoint,1,0.7707871210593533,0.7856086576594743,-0.014821536600120977,-0.03149366471734902,0.0,0.0,0.48484848484848475
lung,target_disjoint,1,0.8463155416540544,0.8273018755815649,0.019013666072489555,-0.006624233455532036,1.0,1.0,0.03030303030303031
